points,name,challenge
9812,ADA INDONESIA COY,"{'challenge_name': ['feedback', 'Multi Image', 'Between Two Worlds', 'Ratatouille', 'V8box', 'Cascade Chaos Revenge', 'Secure Nonsense', 'Hashing Frenzy', ""My boss's boss's boss?"", 'Juggernaut', 'Burn it!', 'Christmas Cookie', 'Kuwu', 'Happy Golfing', 'Cursed Credential', ""Dragon's Shield"", 'Curvy Pool', 'I Like McDonalds', 'Torrent Tempest', 'Merry Christmas', 'Sand Notes', 'EasyPeasyLemonSqueezy', 'Cascade Chaos', 'Betray your master ;)', 'Puffer Mint', 'VulnKart', 'Welcome'], 'challenge_category': ['Misc', 'Misc', 'Reversing ', 'Reversing ', 'Pwn', 'Web', 'Cryptography', 'Cryptography', 'Forensics', 'Web', 'Misc', 'Web', 'Pwn', 'Pwn', 'Forensics', 'Pwn', 'Blockchain', 'Cryptography', 'Forensics', 'Pwn', 'Web', 'Blockchain', 'Web', 'Blockchain', 'Blockchain', 'Web', 'Misc'], 'challenge_points': ['0', '499', '492', '480', '500', '461', '461', '312', '468', '406', '100', '498', '498', '495', '100', '484', '468', '100', '406', '417', '499', '461', '187', '436', '474', '100', '10'], 'solve_time': ['2024-12-23T11:19:23.629833Z', '2024-12-23T09:26:56.769464Z', '2024-12-23T07:33:58.294848Z', '2024-12-23T07:24:34.084928Z', '2024-12-23T07:12:27.577186Z', '2024-12-23T04:51:09.077966Z', '2024-12-23T04:35:19.155559Z', '2024-12-23T03:40:03.857013Z', '2024-12-23T03:23:08.729065Z', '2024-12-23T02:55:01.660785Z', '2024-12-23T01:24:13.906425Z', '2024-12-23T00:44:24.367224Z', '2024-12-22T20:36:14.193376Z', '2024-12-22T19:35:44.329645Z', '2024-12-22T17:52:17.924620Z', '2024-12-22T17:17:52.632235Z', '2024-12-22T16:35:39.753279Z', '2024-12-22T16:32:41.299282Z', '2024-12-22T16:21:09.132823Z', '2024-12-22T15:33:18.320652Z', '2024-12-22T15:31:46.603086Z', '2024-12-22T15:18:37.742872Z', '2024-12-22T14:51:03.271539Z', '2024-12-22T14:27:09.600901Z', '2024-12-22T12:48:23.351428Z', '2024-12-22T12:23:53.357181Z', '2024-12-22T12:01:48.983890Z']}"
9291,TheRomanXpl0it,"{'challenge_name': ['Christmas Cookie', 'Multi Image', 'AESwap', 'Kuwu', 'Betray your master ;)', ""My boss's boss's boss?"", 'Merry Christmas', 'Puffer Mint', 'Decompressor', 'Juggernaut', 'EasyPeasyLemonSqueezy', 'Burn it!', 'Cascade Chaos Revenge', ""Dragon's Shield"", 'Torrent Tempest', 'Happy Golfing', 'Cascade Chaos', 'Curvy Pool', 'VulnKart', 'Hashing Frenzy', 'I Like McDonalds', 'Cursed Credential', 'Sand Notes', 'Secure Nonsense', 'Welcome'], 'challenge_category': ['Web', 'Misc', 'Cryptography', 'Pwn', 'Blockchain', 'Forensics', 'Pwn', 'Blockchain', 'Misc', 'Web', 'Blockchain', 'Misc', 'Web', 'Pwn', 'Forensics', 'Pwn', 'Web', 'Blockchain', 'Web', 'Cryptography', 'Cryptography', 'Forensics', 'Web', 'Cryptography', 'Misc'], 'challenge_points': ['498', '499', '498', '498', '436', '468', '417', '474', '453', '406', '461', '100', '461', '484', '406', '495', '187', '468', '100', '312', '100', '100', '499', '461', '10'], 'solve_time': ['2024-12-23T11:08:18.788425Z', '2024-12-23T10:47:19.506127Z', '2024-12-23T08:04:15.243080Z', '2024-12-23T03:38:58.254144Z', '2024-12-23T02:07:06.518331Z', '2024-12-23T00:33:30.507988Z', '2024-12-23T00:14:06.284292Z', '2024-12-23T00:12:49.440166Z', '2024-12-22T23:58:20.825169Z', '2024-12-22T23:52:57.643828Z', '2024-12-22T23:38:42.914954Z', '2024-12-22T22:42:59.330419Z', '2024-12-22T22:27:44.161904Z', '2024-12-22T21:57:18.114404Z', '2024-12-22T20:55:22.122186Z', '2024-12-22T17:21:33.899936Z', '2024-12-22T17:13:08.784744Z', '2024-12-22T16:41:27.060634Z', '2024-12-22T16:37:26.736745Z', '2024-12-22T16:28:06.438455Z', '2024-12-22T16:00:17.113809Z', '2024-12-22T15:17:47.570674Z', '2024-12-22T14:24:14.432173Z', '2024-12-22T13:09:28.825139Z', '2024-12-22T12:00:59.231834Z']}"
6848,NUS Greyhats,"{'challenge_name': ['Puffer Mint', ""Dragon's Shield"", 'Ratatouille', 'Torrent Tempest', 'Decompressor', 'Curvy Pool', 'Merry Christmas', 'EasyPeasyLemonSqueezy', 'A-Complex-Shamir', 'Hashing Frenzy', 'Juggernaut', 'Burn it!', 'Cascade Chaos Revenge', 'Betray your master ;)', 'Cascade Chaos', 'VulnKart', 'AESwap', 'I Like McDonalds', 'Cursed Credential', 'Welcome'], 'challenge_category': ['Blockchain', 'Pwn', 'Reversing ', 'Forensics', 'Misc', 'Blockchain', 'Pwn', 'Blockchain', 'Cryptography', 'Cryptography', 'Web', 'Misc', 'Web', 'Blockchain', 'Web', 'Web', 'Cryptography', 'Cryptography', 'Forensics', 'Misc'], 'challenge_points': ['474', '484', '480', '406', '453', '468', '417', '461', '495', '312', '406', '100', '461', '436', '187', '100', '498', '100', '100', '10'], 'solve_time': ['2024-12-23T11:00:09.831865Z', '2024-12-23T09:18:06.398690Z', '2024-12-23T09:05:35.533651Z', '2024-12-23T08:49:03.665568Z', '2024-12-23T06:00:15.142280Z', '2024-12-23T05:44:22.935475Z', '2024-12-23T05:17:29.311432Z', '2024-12-23T04:54:04.065498Z', '2024-12-23T04:53:07.919145Z', '2024-12-23T03:15:05.144792Z', '2024-12-23T03:12:31.884675Z', '2024-12-23T02:50:57.097360Z', '2024-12-23T02:49:40.280451Z', '2024-12-23T02:48:53.208923Z', '2024-12-23T02:07:42.925114Z', '2024-12-23T01:32:18.028542Z', '2024-12-22T23:06:42.243045Z', '2024-12-22T13:12:08.005783Z', '2024-12-22T12:24:33.621158Z', '2024-12-22T12:03:30.629116Z']}"
6382,Infobahn,"{'challenge_name': ['I Like McDonalds', 'Decompressor', 'Betray your master ;)', 'Torrent Tempest', 'Time to Break Up!', 'Happy Golfing', 'Juggernaut', 'Cascade Chaos Revenge', 'Between Two Worlds', 'Cursed Credential', 'Impossible...Right?', 'VulnKart', 'Cascade Chaos', 'Curvy Pool', 'A-Complex-Shamir', 'Hashing Frenzy', 'Secure Nonsense', 'Welcome'], 'challenge_category': ['Cryptography', 'Misc', 'Blockchain', 'Forensics', 'Cryptography', 'Pwn', 'Web', 'Web', 'Reversing ', 'Forensics', 'Reversing ', 'Web', 'Web', 'Blockchain', 'Cryptography', 'Cryptography', 'Cryptography', 'Misc'], 'challenge_points': ['100', '453', '436', '406', '500', '495', '406', '461', '492', '100', '500', '100', '187', '468', '495', '312', '461', '10'], 'solve_time': ['2024-12-23T10:00:35.456839Z', '2024-12-23T09:22:56.582299Z', '2024-12-23T08:50:50.555687Z', '2024-12-23T08:11:41.576350Z', '2024-12-23T07:21:45.249888Z', '2024-12-23T06:09:47.869274Z', '2024-12-23T03:29:06.117242Z', '2024-12-23T02:32:35.443064Z', '2024-12-23T00:34:22.144617Z', '2024-12-23T00:22:47.969711Z', '2024-12-22T21:26:20.058431Z', '2024-12-22T21:15:04.404546Z', '2024-12-22T20:46:10.298863Z', '2024-12-22T15:45:50.417502Z', '2024-12-22T15:39:14.380708Z', '2024-12-22T13:24:54.436071Z', '2024-12-22T13:03:49.213389Z', '2024-12-22T12:00:54.660729Z']}"
5933,L3ak,"{'challenge_name': ['GoBlind', 'Christmas Cookie', 'Juggernaut', 'Curvy Pool', 'Decompressor', 'EasyPeasyLemonSqueezy', 'Burn it!', 'Cascade Chaos Revenge', 'Cascade Chaos', 'Betray your master ;)', 'Secure Nonsense', 'Torrent Tempest', 'Hashing Frenzy', 'Cursed Credential', 'Puffer Mint', 'VulnKart', 'I Like McDonalds', 'Welcome'], 'challenge_category': ['Reversing ', 'Web', 'Web', 'Blockchain', 'Misc', 'Blockchain', 'Misc', 'Web', 'Web', 'Blockchain', 'Cryptography', 'Forensics', 'Cryptography', 'Forensics', 'Blockchain', 'Web', 'Cryptography', 'Misc'], 'challenge_points': ['500', '498', '406', '468', '453', '461', '100', '461', '187', '436', '461', '406', '312', '100', '474', '100', '100', '10'], 'solve_time': ['2024-12-23T08:05:21.996812Z', '2024-12-23T07:54:23.611951Z', '2024-12-23T05:10:48.127838Z', '2024-12-23T04:22:02.800818Z', '2024-12-23T04:04:53.795899Z', '2024-12-23T03:07:57.093699Z', '2024-12-23T02:15:13.551142Z', '2024-12-23T01:48:13.799250Z', '2024-12-22T23:21:11.739535Z', '2024-12-22T21:34:21.209725Z', '2024-12-22T18:38:45.464872Z', '2024-12-22T17:38:46.057626Z', '2024-12-22T17:20:08.974648Z', '2024-12-22T17:15:55.401583Z', '2024-12-22T16:21:04.382948Z', '2024-12-22T15:51:02.557114Z', '2024-12-22T12:28:47.078225Z', '2024-12-22T12:02:33.928130Z']}"
5933,noreply,"{'challenge_name': [""Dragon's Shield"", 'Torrent Tempest', 'Secure Nonsense', ""My boss's boss's boss?"", 'Burn it!', 'Juggernaut', 'Cascade Chaos Revenge', 'Wabi Sabi', 'Cursed Credential', 'Hashing Frenzy', 'Curvy Pool', 'Puffer Mint', 'Betray your master ;)', 'Cascade Chaos', 'VulnKart', 'EasyPeasyLemonSqueezy', 'I Like McDonalds', 'Welcome'], 'challenge_category': ['Pwn', 'Forensics', 'Cryptography', 'Forensics', 'Misc', 'Web', 'Web', 'Reversing ', 'Forensics', 'Cryptography', 'Blockchain', 'Blockchain', 'Blockchain', 'Web', 'Web', 'Blockchain', 'Cryptography', 'Misc'], 'challenge_points': ['484', '406', '461', '468', '100', '406', '461', '499', '100', '312', '468', '474', '436', '187', '100', '461', '100', '10'], 'solve_time': ['2024-12-23T09:20:08.026240Z', '2024-12-23T07:32:19.319647Z', '2024-12-23T06:42:58.234997Z', '2024-12-23T04:18:16.608717Z', '2024-12-23T03:14:39.356779Z', '2024-12-23T01:31:41.809479Z', '2024-12-23T00:03:46.853024Z', '2024-12-22T23:39:31.606856Z', '2024-12-22T22:12:05.175834Z', '2024-12-22T21:34:27.351741Z', '2024-12-22T21:29:20.815927Z', '2024-12-22T18:53:20.497573Z', '2024-12-22T17:22:20.969867Z', '2024-12-22T16:32:40.840106Z', '2024-12-22T15:49:05.666947Z', '2024-12-22T15:25:54.436160Z', '2024-12-22T12:51:12.214881Z', '2024-12-22T12:03:51.710614Z']}"
5420,justCatTheFish,"{'challenge_name': ['Secure Nonsense', 'AESwap', 'Burn it!', 'Juggernaut', 'Hashing Frenzy', 'A-Complex-Shamir', 'Merry Christmas', 'EasyPeasyLemonSqueezy', 'Happy Golfing', 'Betray your master ;)', 'Curvy Pool', 'VulnKart', 'Puffer Mint', 'Cascade Chaos', 'I Like McDonalds', 'Welcome'], 'challenge_category': ['Cryptography', 'Cryptography', 'Misc', 'Web', 'Cryptography', 'Cryptography', 'Pwn', 'Blockchain', 'Pwn', 'Blockchain', 'Blockchain', 'Web', 'Blockchain', 'Web', 'Cryptography', 'Misc'], 'challenge_points': ['461', '498', '100', '406', '312', '495', '417', '461', '495', '436', '468', '100', '474', '187', '100', '10'], 'solve_time': ['2024-12-23T11:37:24.969708Z', '2024-12-23T09:03:47.400142Z', '2024-12-23T07:33:20.906023Z', '2024-12-23T06:27:34.330225Z', '2024-12-23T06:02:48.390768Z', '2024-12-23T05:26:20.038113Z', '2024-12-22T21:48:34.431521Z', '2024-12-22T15:54:26.286842Z', '2024-12-22T15:21:59.536067Z', '2024-12-22T15:17:01.283756Z', '2024-12-22T14:04:36.140031Z', '2024-12-22T13:48:57.510325Z', '2024-12-22T13:26:16.304740Z', '2024-12-22T12:38:26.974331Z', '2024-12-22T12:30:37.524732Z', '2024-12-22T12:11:37.711373Z']}"
3300,xSTF,"{'challenge_name': [""Dragon's Shield"", 'Cascade Chaos', 'Burn it!', 'A-Complex-Shamir', 'Cursed Credential', 'Decompressor', 'AESwap', 'VulnKart', 'Secure Nonsense', 'Hashing Frenzy', 'I Like McDonalds', 'Welcome'], 'challenge_category': ['Pwn', 'Web', 'Misc', 'Cryptography', 'Forensics', 'Misc', 'Cryptography', 'Web', 'Cryptography', 'Cryptography', 'Cryptography', 'Misc'], 'challenge_points': ['484', '187', '100', '495', '100', '453', '498', '100', '461', '312', '100', '10'], 'solve_time': ['2024-12-23T02:47:40.927220Z', '2024-12-23T00:30:16.220960Z', '2024-12-22T23:56:46.921625Z', '2024-12-22T23:35:42.237032Z', '2024-12-22T22:16:27.691342Z', '2024-12-22T21:25:50.994057Z', '2024-12-22T19:39:37.845051Z', '2024-12-22T19:16:35.560848Z', '2024-12-22T17:54:25.669059Z', '2024-12-22T17:14:17.797522Z', '2024-12-22T16:53:52.296252Z', '2024-12-22T16:09:25.268797Z']}"
3210,Aft3r_7h0ugh7,"{'challenge_name': ['feedback', 'Cascade Chaos', 'Burn it!', 'Curvy Pool', 'EasyPeasyLemonSqueezy', 'Torrent Tempest', 'Puffer Mint', 'Cursed Credential', 'Betray your master ;)', ""My boss's boss's boss?"", 'I Like McDonalds', 'Welcome'], 'challenge_category': ['Misc', 'Web', 'Misc', 'Blockchain', 'Blockchain', 'Forensics', 'Blockchain', 'Forensics', 'Blockchain', 'Forensics', 'Cryptography', 'Misc'], 'challenge_points': ['0', '187', '100', '468', '461', '406', '474', '100', '436', '468', '100', '10'], 'solve_time': ['2024-12-23T11:37:33.114281Z', '2024-12-23T07:23:01.773558Z', '2024-12-22T22:29:02.672181Z', '2024-12-22T22:15:17.394434Z', '2024-12-22T20:26:22.695370Z', '2024-12-22T19:36:29.454047Z', '2024-12-22T17:12:20.293195Z', '2024-12-22T17:09:16.326067Z', '2024-12-22T15:45:38.608007Z', '2024-12-22T15:05:06.165504Z', '2024-12-22T12:45:07.003782Z', '2024-12-22T12:27:15.344358Z']}"
3035,WWFxAkasec,"{'challenge_name': ['Hashing Frenzy', 'Merry Christmas', 'Mario lite', 'Cascade Chaos', 'VulnKart', 'Betray your master ;)', 'Cursed Credential', 'Torrent Tempest', ""My boss's boss's boss?"", 'I Like McDonalds', 'Welcome'], 'challenge_category': ['Cryptography', 'Pwn', 'Reversing ', 'Web', 'Web', 'Blockchain', 'Forensics', 'Forensics', 'Forensics', 'Cryptography', 'Misc'], 'challenge_points': ['312', '417', '499', '187', '100', '436', '100', '406', '468', '100', '10'], 'solve_time': ['2024-12-23T00:14:37.702923Z', '2024-12-22T23:36:15.051929Z', '2024-12-22T22:29:57.077054Z', '2024-12-22T21:27:21.086403Z', '2024-12-22T21:15:46.425023Z', '2024-12-22T19:31:19.713091Z', '2024-12-22T18:46:02.254755Z', '2024-12-22T13:44:14.865915Z', '2024-12-22T12:50:00.567016Z', '2024-12-22T12:41:28.104169Z', '2024-12-22T12:01:00.329813Z']}"
