Position,points,name,challenge
1,10415,RoyalRoppers,"{'challenge_name': ['Mystic Vanguard', 'nicolaefilat', 'blupper', 'mvid', 'Kalle', 'ZetaTwo', 'nOrdan', 'Jono1231', 'g_u_s_t_a_v', 'asalamon', 'sk6315', 'MavrosOplarxigos', 'mkg', 'massimo_potenza', 'strn', 'ntomsic', 'Kabanero', 'tagyieh', 'Daniel77', 'Istlemin', 'iko', 'cseas', 'gjfff', 'Eddfried', 'Teva', 'blupper2', 'diogotcorreia', 'Twix', 'ppr', 'Fallet om KÄRNkraftverket', 'JSFS', 'Heapie', 'Riscy Business 1', 'Kassaskåpet 2 - ""Bättre tur än skicklighet""', 'Protokollkoll', 'Uppvärmning', 'Frågeformulär', 'Red teaming?', 'Autentiseringsknas', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Extraterrestriell Kommunikation', 'Intern 2', 'Zebran, Koordinaterna och Piraterna', 'NeovIM', 'Buggigt', 'Långtidsminne', 'Note', 'KrEncyclopedia', 'Hönan och Ägget', 'Skyltsmedjan', 'Sök', 'Golf-SM', 'HittaHit 2', 'Robotfilter', 'HittaHit 1', 'Fillagringstjänst', 'Packman', 'KaKlickare', 'XML-kontroll'], 'challenge_category': ['Reversering', 'Exploatering', 'Exploatering', 'Exploatering', 'Kryptografi', 'Forensik', 'Reversering', 'Övriga', 'Forensik', 'Reversering', 'Övriga', 'Reversering', 'OSINT', 'Kryptografi', 'Övriga', 'Övriga', 'Forensik', 'Exploatering', 'Kryptografi', 'Övriga', 'Kryptografi', 'Webb', 'Exploatering', 'OSINT', 'Webb', 'OSINT', 'Webb', 'Reversering', 'Webb', 'Webb'], 'challenge_points': ['500', '500', '500', '495', '500', '496', '500', '50', '475', '500', '497', '492', '425', '496', '489', '432', '338', '470', '111', '168', '489', '421', '50', '50', '286', '50', '152', '383', '50', '50'], 'solve_time': ['2024-11-16T20:12:06.847286Z', '2024-11-16T18:58:14.729645Z', '2024-11-16T18:39:33.289658Z', '2024-11-16T18:35:34.469554Z', '2024-11-16T18:18:44.256866Z', '2024-11-16T17:33:51.985389Z', '2024-11-16T17:11:45.297876Z', '2024-11-16T17:01:57.322484Z', '2024-11-16T16:50:17.563555Z', '2024-11-16T16:27:43.865991Z', '2024-11-16T16:02:21.669117Z', '2024-11-16T15:44:29.097926Z', '2024-11-16T15:31:46.957232Z', '2024-11-16T15:28:53.018999Z', '2024-11-16T15:20:49.897466Z', '2024-11-16T15:17:32.277119Z', '2024-11-16T15:11:04.518260Z', '2024-11-16T15:04:19.870840Z', '2024-11-16T14:46:47.875160Z', '2024-11-16T14:43:21.811619Z', '2024-11-16T14:29:22.280390Z', '2024-11-16T14:11:55.048562Z', '2024-11-16T13:57:42.115316Z', '2024-11-16T13:51:17.939676Z', '2024-11-16T13:47:37.082917Z', '2024-11-16T13:28:39.369598Z', '2024-11-16T13:25:40.235520Z', '2024-11-16T13:19:07.233085Z', '2024-11-16T13:15:13.425156Z', '2024-11-16T13:05:24.689731Z']}"
2,9915,KebabEngineers🥙skibidi sammakko🚽🐸Ada pizza...,"{'challenge_name': ['quois', 'LiamoOo', 'freeranger', 'Karoot', 'ripsquid', 'daydun', 'He-Man', 'foraver', 'chopingu', 'Skibidi🚽 Sammakko🐸 Skibidi🚽Matkallaan🚗', 'movitz', 'goben', 'Protokollkoll', 'Uppvärmning', 'JSFS', 'Kassaskåpet 2 - ""Bättre tur än skicklighet""', 'Fallet om KÄRNkraftverket', 'Frågeformulär', 'Red teaming?', 'NeovIM', 'Intern 2', 'Sök', 'Buggigt', 'Heapie', 'Note', 'Zebran, Koordinaterna och Piraterna', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Packman', 'Långtidsminne', 'KrEncyclopedia', 'XML-kontroll', 'HittaHit 2', 'Skyltsmedjan', 'Extraterrestriell Kommunikation', 'HittaHit 1', 'Fillagringstjänst', 'Robotfilter', 'KaKlickare', 'Riscy Business 1', 'Hönan och Ägget', 'Golf-SM'], 'challenge_category': ['Forensik', 'Reversering', 'Exploatering', 'Kryptografi', 'Reversering', 'Övriga', 'Forensik', 'Övriga', 'OSINT', 'Webb', 'Övriga', 'Exploatering', 'Exploatering', 'Kryptografi', 'Övriga', 'Reversering', 'Forensik', 'Kryptografi', 'Webb', 'OSINT', 'Kryptografi', 'Reversering', 'OSINT', 'Webb', 'Webb', 'Webb', 'Exploatering', 'Övriga', 'Exploatering'], 'challenge_points': ['496', '500', '500', '500', '500', '50', '475', '489', '425', '421', '432', '500', '470', '496', '497', '383', '338', '111', '50', '50', '489', '492', '50', '152', '286', '50', '495', '168', '50'], 'solve_time': ['2024-11-16T20:25:09.926470Z', '2024-11-16T19:20:30.213101Z', '2024-11-16T19:18:55.973189Z', '2024-11-16T17:47:46.335607Z', '2024-11-16T17:46:26.783049Z', '2024-11-16T17:01:00.821391Z', '2024-11-16T16:56:58.792188Z', '2024-11-16T16:45:33.118667Z', '2024-11-16T15:44:14.943991Z', '2024-11-16T15:41:57.362461Z', '2024-11-16T15:24:54.844756Z', '2024-11-16T15:17:55.346615Z', '2024-11-16T15:13:53.918747Z', '2024-11-16T15:13:16.287954Z', '2024-11-16T14:39:46.181311Z', '2024-11-16T14:39:31.527560Z', '2024-11-16T14:27:04.884743Z', '2024-11-16T14:19:08.192858Z', '2024-11-16T14:08:22.147985Z', '2024-11-16T14:05:14.331360Z', '2024-11-16T13:56:15.439392Z', '2024-11-16T13:46:50.752128Z', '2024-11-16T13:28:44.670926Z', '2024-11-16T13:22:50.166599Z', '2024-11-16T13:16:51.216356Z', '2024-11-16T13:15:30.428822Z', '2024-11-16T13:06:19.169734Z', '2024-11-16T13:05:22.725647Z', '2024-11-16T13:02:53.019506Z']}"
3,8415,5ca5dd,"{'challenge_name': ['5ca5dd', 'bizzynizzy', 'kejgge', 'dolphinbbq', '4kb0mb', 'Kalops', 'burken4life', 'e_xl', 'KepsMakaren', 'Es', 'roflbin', 'chiefbird', 'javod49', 'kaffe', 'Gruck', 'powner', 'random', 'Protokollkoll', 'Riscy Business 1', 'JSFS', 'Note', 'Robotfilter', 'Kassaskåpet 2 - ""Bättre tur än skicklighet""', 'Frågeformulär', 'Red teaming?', 'Packman', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Intern 2', 'Zebran, Koordinaterna och Piraterna', 'Sök', 'NeovIM', 'Extraterrestriell Kommunikation', 'Buggigt', 'Långtidsminne', 'Skyltsmedjan', 'Fillagringstjänst', 'HittaHit 2', 'HittaHit 1', 'KrEncyclopedia', 'Hönan och Ägget', 'Golf-SM', 'XML-kontroll', 'KaKlickare'], 'challenge_category': ['Forensik', 'Exploatering', 'Exploatering', 'Exploatering', 'Webb', 'Kryptografi', 'Övriga', 'Forensik', 'Reversering', 'Övriga', 'OSINT', 'Kryptografi', 'Webb', 'Övriga', 'Reversering', 'Övriga', 'Forensik', 'Kryptografi', 'Webb', 'OSINT', 'OSINT', 'Kryptografi', 'Övriga', 'Exploatering', 'Webb', 'Webb'], 'challenge_points': ['496', '495', '500', '470', '286', '500', '50', '475', '383', '497', '425', '496', '421', '489', '492', '432', '338', '489', '152', '50', '50', '111', '168', '50', '50', '50'], 'solve_time': ['2024-11-16T20:46:34.018249Z', '2024-11-16T20:36:31.574747Z', '2024-11-16T19:44:20.062492Z', '2024-11-16T18:15:20.449386Z', '2024-11-16T17:34:03.619831Z', '2024-11-16T17:22:47.766769Z', '2024-11-16T17:07:11.660560Z', '2024-11-16T16:44:45.318461Z', '2024-11-16T16:17:51.565239Z', '2024-11-16T16:03:49.029618Z', '2024-11-16T15:52:17.199552Z', '2024-11-16T15:48:51.884933Z', '2024-11-16T15:36:28.250580Z', '2024-11-16T15:34:18.904520Z', '2024-11-16T15:10:02.577470Z', '2024-11-16T15:00:37.621146Z', '2024-11-16T14:55:03.840466Z', '2024-11-16T14:37:05.964713Z', '2024-11-16T14:25:58.910352Z', '2024-11-16T14:00:17.346551Z', '2024-11-16T13:41:06.071030Z', '2024-11-16T13:37:06.432486Z', '2024-11-16T13:30:52.986102Z', '2024-11-16T13:27:01.514240Z', '2024-11-16T13:20:15.444373Z', '2024-11-16T13:04:42.252071Z']}"
4,6434,ChaGU,"{'challenge_name': ['Escape', 'klondike', 'Cogsad', 'Flawl3ssSWE', 'iknek', 'PR0ck', 'Hampus', 'Knuten', 'Ryuzaou', 'SKvalden', 'beneri', 'Kattsson', 'grothica', 'menac3', 'Pongag', 'Redoxo', 'chrysoferium', 'dodgy_camel', 'Peptski', 'kandy', 'Alexion', 'RestlessPig', 'suddenattackdude', 'CPC', 'rhouma', 'ariam', 'DAzizi', 'Extraterrestriell Kommunikation', 'Zebran, Koordinaterna och Piraterna', 'Protokollkoll', 'Skyltsmedjan', 'Red teaming?', 'JSFS', 'Långtidsminne', 'Frågeformulär', 'Note', 'Packman', 'Intern 2', 'Buggigt', 'Hönan och Ägget', 'Sök', 'KrEncyclopedia', 'Golf-SM', 'Fillagringstjänst', 'HittaHit 2', 'HittaHit 1', 'Robotfilter', 'XML-kontroll', 'KaKlickare'], 'challenge_category': ['Reversering', 'Kryptografi', 'Forensik', 'Kryptografi', 'Forensik', 'Exploatering', 'Forensik', 'Övriga', 'Exploatering', 'Reversering', 'OSINT', 'Övriga', 'Övriga', 'Webb', 'Kryptografi', 'Exploatering', 'Webb', 'OSINT', 'OSINT', 'Webb', 'Webb', 'Webb'], 'challenge_points': ['492', '496', '496', '489', '475', '500', '338', '50', '470', '383', '425', '432', '168', '421', '111', '50', '152', '50', '50', '286', '50', '50'], 'solve_time': ['2024-11-16T20:51:02.508523Z', '2024-11-16T19:53:56.795821Z', '2024-11-16T19:11:15.495915Z', '2024-11-16T19:01:25.851428Z', '2024-11-16T18:07:54.610238Z', '2024-11-16T17:53:52.496182Z', '2024-11-16T17:29:49.852702Z', '2024-11-16T17:11:15.822494Z', '2024-11-16T16:03:35.004180Z', '2024-11-16T15:47:15.599600Z', '2024-11-16T15:30:38.739907Z', '2024-11-16T15:05:53.844184Z', '2024-11-16T14:10:25.040173Z', '2024-11-16T14:02:06.845388Z', '2024-11-16T13:48:53.073922Z', '2024-11-16T13:38:45.705941Z', '2024-11-16T13:26:08.831100Z', '2024-11-16T13:25:40.771174Z', '2024-11-16T13:16:52.605667Z', '2024-11-16T13:12:20.760787Z', '2024-11-16T13:06:54.559482Z', '2024-11-16T13:05:55.954097Z']}"
5,6424,GK Enjoyer,"{'challenge_name': ['Bourne', 'ButtonMasher', 'OddJob', '472', 'ShellMan', 'LaZeR', 'cleanHouse', 'klab', 'superduktig', 'MilkEnyoer', 'madvise', 'megam1nd', 'thud764', 'BitBuster', 'Shades', 'Hoodwink', 'jorreborre', 'Red teaming?', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'NeovIM', 'Skyltsmedjan', 'Note', 'Packman', 'Frågeformulär', 'Intern 2', 'Buggigt', 'Extraterrestriell Kommunikation', 'Hönan och Ägget', 'Protokollkoll', 'Sök', 'Långtidsminne', 'Robotfilter', 'XML-kontroll', 'HittaHit 2', 'KaKlickare', 'KrEncyclopedia', 'Fillagringstjänst', 'HittaHit 1', 'Golf-SM'], 'challenge_category': ['Forensik', 'Övriga', 'Övriga', 'Kryptografi', 'Exploatering', 'Reversering', 'Övriga', 'OSINT', 'Övriga', 'Reversering', 'Övriga', 'Forensik', 'Webb', 'Forensik', 'Webb', 'Webb', 'OSINT', 'Webb', 'Kryptografi', 'Webb', 'OSINT', 'Exploatering'], 'challenge_points': ['475', '497', '489', '489', '470', '383', '50', '425', '432', '492', '168', '496', '421', '338', '286', '50', '50', '50', '111', '152', '50', '50'], 'solve_time': ['2024-11-16T20:49:50.411969Z', '2024-11-16T20:30:41.615728Z', '2024-11-16T19:41:04.517188Z', '2024-11-16T19:36:19.994710Z', '2024-11-16T19:33:36.524961Z', '2024-11-16T18:07:58.932792Z', '2024-11-16T17:07:50.022389Z', '2024-11-16T16:55:01.585807Z', '2024-11-16T16:25:56.386676Z', '2024-11-16T16:22:39.148265Z', '2024-11-16T16:04:40.624749Z', '2024-11-16T15:27:59.703130Z', '2024-11-16T15:27:33.767028Z', '2024-11-16T14:57:19.834928Z', '2024-11-16T14:41:28.229229Z', '2024-11-16T14:10:10.552249Z', '2024-11-16T14:00:08.127644Z', '2024-11-16T13:57:20.504960Z', '2024-11-16T13:54:44.207301Z', '2024-11-16T13:51:32.458326Z', '2024-11-16T13:29:03.288365Z', '2024-11-16T13:27:27.226761Z']}"
6,5961,Team Kong,"{'challenge_name': ['Hadar', 'Tester', 'COTTONMOUTH', 'BigWrite', 'viper', 'MewMew', 'lumber.jack', 'WannaCry', 'Vimzard', 'enGin', 'p37r0514n', 'AlpineSwift', 'sausage_elf', 'APA', 'poolean', 'BirdSuite', 'TabbySneeze', 'kingkong', 'Zebran, Koordinaterna och Piraterna', 'Red teaming?', 'Protokollkoll', 'Extraterrestriell Kommunikation', 'Frågeformulär', 'Buggigt', 'Sök', 'Intern 2', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Långtidsminne', 'Packman', 'NeovIM', 'KrEncyclopedia', 'XML-kontroll', 'Fillagringstjänst', 'Robotfilter', 'HittaHit 2', 'Hönan och Ägget', 'KaKlickare', 'Golf-SM', 'HittaHit 1'], 'challenge_category': ['Kryptografi', 'Forensik', 'Forensik', 'Reversering', 'Övriga', 'Övriga', 'Webb', 'OSINT', 'Övriga', 'Forensik', 'Reversering', 'Övriga', 'Kryptografi', 'Webb', 'Webb', 'Webb', 'OSINT', 'Övriga', 'Webb', 'Exploatering', 'OSINT'], 'challenge_points': ['496', '475', '496', '492', '50', '432', '421', '425', '497', '338', '383', '489', '111', '50', '152', '286', '50', '168', '50', '50', '50'], 'solve_time': ['2024-11-16T20:15:58.084589Z', '2024-11-16T20:11:45.027187Z', '2024-11-16T18:58:51.954370Z', '2024-11-16T17:59:23.628930Z', '2024-11-16T17:01:44.307753Z', '2024-11-16T16:44:10.885627Z', '2024-11-16T16:15:02.276748Z', '2024-11-16T15:22:48.711791Z', '2024-11-16T15:13:17.188578Z', '2024-11-16T15:10:57.759447Z', '2024-11-16T15:09:27.900725Z', '2024-11-16T15:05:39.559150Z', '2024-11-16T14:11:12.398276Z', '2024-11-16T13:37:29.587595Z', '2024-11-16T13:35:19.458585Z', '2024-11-16T13:33:58.118882Z', '2024-11-16T13:29:40.565599Z', '2024-11-16T13:26:20.975517Z', '2024-11-16T13:22:08.545456Z', '2024-11-16T13:17:13.375924Z', '2024-11-16T13:16:45.937102Z']}"
7,5617,MSAB,"{'challenge_name': ['simonlindholm', 'Användarnamn', 'raahlb', 'john', 'XML-kontroll', 'Riscy Business 1', 'Note', 'Autentiseringsknas', 'KaKlickare', 'Frågeformulär', 'NeovIM', 'KrEncyclopedia', 'Fillagringstjänst', 'Hönan och Ägget', 'Buggigt', 'Robotfilter', 'Intern 2', 'HittaHit 2', 'HittaHit 1', 'Zebran, Koordinaterna och Piraterna', 'Packman', 'Skyltsmedjan', 'Sök', 'Golf-SM'], 'challenge_category': ['Webb', 'Exploatering', 'Exploatering', 'Reversering', 'Webb', 'Övriga', 'Övriga', 'Kryptografi', 'Webb', 'Övriga', 'Övriga', 'Webb', 'OSINT', 'OSINT', 'OSINT', 'Kryptografi', 'Reversering', 'Kryptografi', 'Webb', 'Exploatering'], 'challenge_points': ['50', '495', '470', '500', '50', '50', '489', '111', '152', '168', '432', '286', '425', '50', '50', '496', '383', '489', '421', '50'], 'solve_time': ['2024-11-16T20:55:55.676968Z', '2024-11-16T20:39:57.577485Z', '2024-11-16T20:32:45.091528Z', '2024-11-16T20:07:50.864339Z', '2024-11-16T17:32:43.504145Z', '2024-11-16T17:31:18.433282Z', '2024-11-16T17:29:00.051623Z', '2024-11-16T17:26:39.245568Z', '2024-11-16T17:20:19.950816Z', '2024-11-16T17:11:28.476374Z', '2024-11-16T16:36:23.228982Z', '2024-11-16T16:22:48.051547Z', '2024-11-16T16:19:42.698481Z', '2024-11-16T16:10:41.945849Z', '2024-11-16T16:01:43.276238Z', '2024-11-16T15:41:21.803002Z', '2024-11-16T15:16:23.172525Z', '2024-11-16T14:59:28.926489Z', '2024-11-16T14:55:00.340035Z', '2024-11-16T13:05:42.756771Z']}"
8,4617,flagbot,"{'challenge_name': ['flagbot', 'KrEncyclopedia', 'Buggigt', 'Hönan och Ägget', 'Extraterrestriell Kommunikation', 'Heapie', 'Intern 2', 'Riscy Business 1', 'HittaHit 1', 'KaKlickare', 'Robotfilter', 'Zebran, Koordinaterna och Piraterna', 'Fillagringstjänst', 'Sök', 'Skyltsmedjan', 'XML-kontroll'], 'challenge_category': ['Kryptografi', 'Övriga', 'Övriga', 'Reversering', 'Exploatering', 'OSINT', 'Exploatering', 'OSINT', 'Webb', 'Webb', 'Kryptografi', 'Webb', 'Webb', 'Kryptografi', 'Webb'], 'challenge_points': ['111', '432', '168', '492', '500', '425', '495', '50', '50', '286', '496', '152', '421', '489', '50'], 'solve_time': ['2024-11-16T20:25:34.768549Z', '2024-11-16T19:34:30.085979Z', '2024-11-16T19:16:37.966305Z', '2024-11-16T17:42:28.118226Z', '2024-11-16T16:57:02.699878Z', '2024-11-16T16:45:29.015695Z', '2024-11-16T15:46:41.388747Z', '2024-11-16T15:24:31.364473Z', '2024-11-16T15:11:15.100703Z', '2024-11-16T15:08:31.309810Z', '2024-11-16T14:47:48.119894Z', '2024-11-16T14:38:27.359719Z', '2024-11-16T14:26:06.977879Z', '2024-11-16T14:24:58.129497Z', '2024-11-16T13:10:12.658785Z']}"
9,4547,DenTyskeMjälten,"{'challenge_name': ['kattenhiahia', 'snowdropper', 'hjalmh', 'challebulle', 'bestbird', 'EO', 'Borealis', 'Red teaming?', 'Fillagringstjänst', 'Protokollkoll', 'NeovIM', 'Frågeformulär', 'Robotfilter', 'Intern 2', 'Buggigt', 'Långtidsminne', 'Packman', 'Extraterrestriell Kommunikation', 'Golf-SM', 'KrEncyclopedia', 'HittaHit 2', 'Hönan och Ägget', 'HittaHit 1', 'KaKlickare', 'XML-kontroll'], 'challenge_category': ['Forensik', 'Webb', 'Forensik', 'Övriga', 'Övriga', 'Webb', 'OSINT', 'Övriga', 'Forensik', 'Reversering', 'Reversering', 'Exploatering', 'Kryptografi', 'OSINT', 'Övriga', 'OSINT', 'Webb', 'Webb'], 'challenge_points': ['475', '152', '496', '489', '50', '286', '425', '432', '338', '383', '492', '50', '111', '50', '168', '50', '50', '50'], 'solve_time': ['2024-11-16T20:13:42.799846Z', '2024-11-16T19:40:19.262822Z', '2024-11-16T19:08:16.869978Z', '2024-11-16T17:50:13.616696Z', '2024-11-16T17:03:00.458026Z', '2024-11-16T16:29:19.618538Z', '2024-11-16T16:22:46.512575Z', '2024-11-16T16:15:28.407843Z', '2024-11-16T16:05:44.784577Z', '2024-11-16T15:10:34.202417Z', '2024-11-16T14:20:17.805912Z', '2024-11-16T14:05:24.853530Z', '2024-11-16T13:45:40.461360Z', '2024-11-16T13:23:27.173466Z', '2024-11-16T13:20:48.434057Z', '2024-11-16T13:19:59.947289Z', '2024-11-16T13:10:23.198470Z', '2024-11-16T13:08:44.330141Z']}"
10,4084,Shellskapsresan,"{'challenge_name': ['laffe', 'alexanderwedlund', 'bob72', 'BobbyTables1337', 'Danvele', 'mounte', 'Red teaming?', 'KrEncyclopedia', 'Packman', 'Note', 'Frågeformulär', 'NeovIM', 'XML-kontroll', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Långtidsminne', 'Buggigt', 'Sök', 'Golf-SM', 'Hönan och Ägget', 'KaKlickare', 'HittaHit 1', 'HittaHit 2'], 'challenge_category': ['Forensik', 'Kryptografi', 'Reversering', 'Exploatering', 'Övriga', 'Övriga', 'Webb', 'Övriga', 'Forensik', 'Övriga', 'Webb', 'Exploatering', 'Övriga', 'Webb', 'OSINT', 'OSINT'], 'challenge_points': ['475', '111', '383', '470', '50', '489', '50', '497', '338', '432', '421', '50', '168', '50', '50', '50'], 'solve_time': ['2024-11-16T20:46:28.120693Z', '2024-11-16T19:50:55.393889Z', '2024-11-16T19:03:10.253376Z', '2024-11-16T18:41:01.652695Z', '2024-11-16T17:02:32.869569Z', '2024-11-16T16:32:57.828987Z', '2024-11-16T16:26:11.666876Z', '2024-11-16T16:02:45.686167Z', '2024-11-16T15:56:21.330579Z', '2024-11-16T15:23:48.690692Z', '2024-11-16T15:02:11.173498Z', '2024-11-16T14:59:26.715585Z', '2024-11-16T14:23:38.317126Z', '2024-11-16T14:10:30.165196Z', '2024-11-16T13:40:51.874524Z', '2024-11-16T13:22:23.714373Z']}"
