points,name,challenge
2665,Team Ireland,"{'challenge_name': ['Temp', 'Old Connections?', 'The Timestamp', 'The Big Fish', 'Not another heist!', ""Tokyo's Hidden Transmission"", 'Visual Heist', 'Find the Elixer', ""California Dreamin'"", 'The Flight', 'Theadmin', 'Twice the Trouble', 'whoIAM', 'Direction', 'Long way to go', 'The Bank Of Spain', 'Something Missing?', 'ENIGMA M3', 'Unlock the Encrypted Flag', 'Unlock the Safe', 'Discord', 'Get Started'], 'challenge_category': ['Web', 'Crypto', 'Forensic', 'OSINT', 'OSINT', 'Forensic', 'Crypto', 'Misc', 'OSINT', 'OSINT', 'Web', 'Reverse', 'Web', 'Web', 'Stego', 'Stego', 'Forensic', 'Crypto', 'Reverse', 'Reverse', 'Misc', 'Misc'], 'challenge_points': ['230', '100', '100', '100', '205', '100', '100', '180', '100', '110', '100', '100', '390', '100', '100', '100', '100', '100', '100', '100', '50', '0'], 'solve_time': ['2024-10-22T17:34:42.518723Z', '2024-10-22T17:30:55.514446Z', '2024-10-22T17:26:12.684833Z', '2024-10-22T17:16:48.117073Z', '2024-10-22T17:10:54.186379Z', '2024-10-22T17:08:14.840393Z', '2024-10-22T17:04:27.422692Z', '2024-10-22T09:00:43.361966Z', '2024-10-22T08:23:42.521035Z', '2024-10-22T08:07:40.760847Z', '2024-10-22T07:59:51.766651Z', '2024-10-22T07:11:44.274425Z', '2024-10-22T07:10:19.225035Z', '2024-10-22T06:59:38.926506Z', '2024-10-22T06:58:54.470368Z', '2024-10-22T06:58:07.138744Z', '2024-10-22T06:47:57.959141Z', '2024-10-22T06:46:59.347903Z', '2024-10-22T06:45:09.782795Z', '2024-10-22T06:44:33.431809Z', '2024-10-22T06:32:59.074783Z', '2024-10-22T06:32:41.108649Z']}"
2665,protocol,"{'challenge_name': ['Temp', 'Old Connections?', 'The Timestamp', 'The Big Fish', ""Tokyo's Hidden Transmission"", 'Not another heist!', 'Visual Heist', 'whoIAM', 'Find the Elixer', ""California Dreamin'"", 'The Flight', 'Theadmin', 'Twice the Trouble', 'Direction', 'The Bank Of Spain', 'Long way to go', 'Something Missing?', 'ENIGMA M3', 'Unlock the Encrypted Flag', 'Unlock the Safe', 'Discord', 'Get Started'], 'challenge_category': ['Web', 'Crypto', 'Forensic', 'OSINT', 'Forensic', 'OSINT', 'Crypto', 'Web', 'Misc', 'OSINT', 'OSINT', 'Web', 'Reverse', 'Web', 'Stego', 'Stego', 'Forensic', 'Crypto', 'Reverse', 'Reverse', 'Misc', 'Misc'], 'challenge_points': ['230', '100', '100', '100', '100', '205', '100', '390', '180', '100', '110', '100', '100', '100', '100', '100', '100', '100', '100', '100', '50', '0'], 'solve_time': ['2024-10-22T17:35:30.401435Z', '2024-10-22T17:31:06.247475Z', '2024-10-22T17:26:28.611924Z', '2024-10-22T17:17:21.691114Z', '2024-10-22T17:11:47.356936Z', '2024-10-22T17:11:03.261858Z', '2024-10-22T17:04:17.378826Z', '2024-10-22T11:29:15.498913Z', '2024-10-22T09:00:55.009819Z', '2024-10-22T08:30:02.149286Z', '2024-10-22T08:07:59.401667Z', '2024-10-22T08:05:18.191416Z', '2024-10-22T07:02:01.353975Z', '2024-10-22T06:59:50.788259Z', '2024-10-22T06:52:33.880299Z', '2024-10-22T06:52:16.893726Z', '2024-10-22T06:48:05.319079Z', '2024-10-22T06:46:48.500539Z', '2024-10-22T06:45:17.832976Z', '2024-10-22T06:44:22.501441Z', '2024-10-22T06:31:39.255381Z', '2024-10-22T06:31:24.838033Z']}"
2665,T.U.S.K,"{'challenge_name': ['Temp', 'Old Connections?', 'Visual Heist', 'The Timestamp', 'The Big Fish', 'Not another heist!', ""Tokyo's Hidden Transmission"", 'Find the Elixer', 'The Flight', ""California Dreamin'"", 'Something Missing?', 'whoIAM', 'Theadmin', 'Get Started', 'Direction', 'Twice the Trouble', 'The Bank Of Spain', 'Long way to go', 'Unlock the Safe', 'Unlock the Encrypted Flag', 'Discord', 'ENIGMA M3'], 'challenge_category': ['Web', 'Crypto', 'Crypto', 'Forensic', 'OSINT', 'OSINT', 'Forensic', 'Misc', 'OSINT', 'OSINT', 'Forensic', 'Web', 'Web', 'Misc', 'Web', 'Reverse', 'Stego', 'Stego', 'Reverse', 'Reverse', 'Misc', 'Crypto'], 'challenge_points': ['230', '100', '100', '100', '100', '205', '100', '180', '110', '100', '100', '390', '100', '0', '100', '100', '100', '100', '100', '100', '50', '100'], 'solve_time': ['2024-10-22T17:41:48.738603Z', '2024-10-22T17:31:47.240083Z', '2024-10-22T17:28:19.398168Z', '2024-10-22T17:26:40.815146Z', '2024-10-22T17:22:06.415337Z', '2024-10-22T17:11:33.260704Z', '2024-10-22T17:09:30.484826Z', '2024-10-22T16:29:35.936244Z', '2024-10-22T13:32:37.585589Z', '2024-10-22T13:04:32.525411Z', '2024-10-22T12:18:20.412128Z', '2024-10-22T11:24:47.641166Z', '2024-10-22T10:12:45.039488Z', '2024-10-22T07:20:04.733346Z', '2024-10-22T06:58:53.844574Z', '2024-10-22T06:56:09.637101Z', '2024-10-22T06:52:51.215976Z', '2024-10-22T06:49:51.048271Z', '2024-10-22T06:46:44.564522Z', '2024-10-22T06:45:35.326925Z', '2024-10-22T06:40:16.650104Z', '2024-10-22T06:36:00.749957Z']}"
2665,BITSkrieg,"{'challenge_name': ['Temp', 'The Timestamp', ""Tokyo's Hidden Transmission"", 'Old Connections?', 'The Big Fish', 'Visual Heist', 'Not another heist!', 'The Flight', ""California Dreamin'"", 'Find the Elixer', 'The Bank Of Spain', 'whoIAM', 'Theadmin', 'Discord', 'Direction', 'ENIGMA M3', 'Twice the Trouble', 'Unlock the Safe', 'Unlock the Encrypted Flag', 'Something Missing?', 'Get Started', 'Long way to go'], 'challenge_category': ['Web', 'Forensic', 'Forensic', 'Crypto', 'OSINT', 'Crypto', 'OSINT', 'OSINT', 'OSINT', 'Misc', 'Stego', 'Web', 'Web', 'Misc', 'Web', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'Forensic', 'Misc', 'Stego'], 'challenge_points': ['230', '100', '100', '100', '100', '100', '205', '110', '100', '180', '100', '390', '100', '50', '100', '100', '100', '100', '100', '100', '0', '100'], 'solve_time': ['2024-10-22T17:45:42.976407Z', '2024-10-22T17:41:35.300479Z', '2024-10-22T17:38:09.611318Z', '2024-10-22T17:37:47.929982Z', '2024-10-22T17:35:44.655972Z', '2024-10-22T17:33:37.624724Z', '2024-10-22T17:17:07.152683Z', '2024-10-22T16:20:07.163355Z', '2024-10-22T15:52:21.864935Z', '2024-10-22T15:46:58.534671Z', '2024-10-22T14:46:16.368868Z', '2024-10-22T12:43:50.665112Z', '2024-10-22T10:14:15.253191Z', '2024-10-22T07:50:50.277649Z', '2024-10-22T07:12:50.876022Z', '2024-10-22T07:00:49.204614Z', '2024-10-22T06:58:17.734546Z', '2024-10-22T06:57:06.976719Z', '2024-10-22T06:55:45.681404Z', '2024-10-22T06:52:02.418169Z', '2024-10-22T06:38:25.639630Z', '2024-10-22T06:32:54.561072Z']}"
2665,> r0/dev/null,"{'challenge_name': ['Temp', 'Old Connections?', 'The Timestamp', 'The Big Fish', 'Visual Heist', ""Tokyo's Hidden Transmission"", 'Not another heist!', 'whoIAM', 'Find the Elixer', ""California Dreamin'"", 'Theadmin', 'The Bank Of Spain', 'Something Missing?', 'The Flight', 'Direction', 'Twice the Trouble', 'Unlock the Safe', 'ENIGMA M3', 'Discord', 'Unlock the Encrypted Flag', 'Get Started', 'Long way to go'], 'challenge_category': ['Web', 'Crypto', 'Forensic', 'OSINT', 'Crypto', 'Forensic', 'OSINT', 'Web', 'Misc', 'OSINT', 'Web', 'Stego', 'Forensic', 'OSINT', 'Web', 'Reverse', 'Reverse', 'Crypto', 'Misc', 'Reverse', 'Misc', 'Stego'], 'challenge_points': ['230', '100', '100', '100', '100', '100', '205', '390', '180', '100', '100', '100', '100', '110', '100', '100', '100', '100', '50', '100', '0', '100'], 'solve_time': ['2024-10-22T17:58:13.845014Z', '2024-10-22T17:30:50.911796Z', '2024-10-22T17:24:48.356437Z', '2024-10-22T17:16:04.600666Z', '2024-10-22T17:13:11.396513Z', '2024-10-22T17:11:43.824109Z', '2024-10-22T17:10:33.806891Z', '2024-10-22T13:23:29.037913Z', '2024-10-22T11:16:43.750120Z', '2024-10-22T10:42:09.819455Z', '2024-10-22T10:31:36.213605Z', '2024-10-22T09:18:03.888738Z', '2024-10-22T08:47:11.333366Z', '2024-10-22T08:42:55.867406Z', '2024-10-22T07:55:07.020189Z', '2024-10-22T07:32:11.191206Z', '2024-10-22T07:25:54.795734Z', '2024-10-22T07:13:45.903436Z', '2024-10-22T07:06:45.704455Z', '2024-10-22T06:50:52.158394Z', '2024-10-22T06:46:30.742351Z', '2024-10-22T06:34:10.226877Z']}"
2665,S™,"{'challenge_name': ['Temp', 'Old Connections?', 'The Timestamp', 'The Big Fish', 'Not another heist!', ""Tokyo's Hidden Transmission"", 'Visual Heist', 'whoIAM', 'Something Missing?', 'The Flight', 'Theadmin', ""California Dreamin'"", 'ENIGMA M3', 'Get Started', 'Discord', 'Find the Elixer', 'The Bank Of Spain', 'Twice the Trouble', 'Unlock the Encrypted Flag', 'Unlock the Safe', 'Long way to go', 'Direction'], 'challenge_category': ['Web', 'Crypto', 'Forensic', 'OSINT', 'OSINT', 'Forensic', 'Crypto', 'Web', 'Forensic', 'OSINT', 'Web', 'OSINT', 'Crypto', 'Misc', 'Misc', 'Misc', 'Stego', 'Reverse', 'Reverse', 'Reverse', 'Stego', 'Web'], 'challenge_points': ['230', '100', '100', '100', '205', '100', '100', '390', '100', '110', '100', '100', '100', '0', '50', '180', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-10-22T18:05:14.368794Z', '2024-10-22T17:30:39.472901Z', '2024-10-22T17:26:05.825568Z', '2024-10-22T17:18:35.803361Z', '2024-10-22T17:13:08.498329Z', '2024-10-22T17:11:33.552783Z', '2024-10-22T17:07:03.096161Z', '2024-10-22T16:35:56.681351Z', '2024-10-22T10:37:08.539099Z', '2024-10-22T09:50:42.529940Z', '2024-10-22T09:26:29.891222Z', '2024-10-22T09:25:13.488191Z', '2024-10-22T09:23:43.831842Z', '2024-10-22T09:18:15.577672Z', '2024-10-22T09:17:13.176846Z', '2024-10-22T09:15:11.443761Z', '2024-10-22T09:14:57.117293Z', '2024-10-22T09:14:47.923785Z', '2024-10-22T09:14:40.698287Z', '2024-10-22T09:14:32.330596Z', '2024-10-22T09:14:05.972685Z', '2024-10-22T09:02:08.489303Z']}"
2665,Crypt0Cr3w,"{'challenge_name': ['whoIAM', 'Temp', 'Not another heist!', 'Theadmin', 'Visual Heist', 'The Timestamp', 'Old Connections?', 'The Big Fish', ""Tokyo's Hidden Transmission"", 'The Bank Of Spain', 'The Flight', 'Find the Elixer', ""California Dreamin'"", 'Something Missing?', 'ENIGMA M3', 'Direction', 'Long way to go', 'Twice the Trouble', 'Unlock the Encrypted Flag', 'Unlock the Safe', 'Get Started', 'Discord'], 'challenge_category': ['Web', 'Web', 'OSINT', 'Web', 'Crypto', 'Forensic', 'Crypto', 'OSINT', 'Forensic', 'Stego', 'OSINT', 'Misc', 'OSINT', 'Forensic', 'Crypto', 'Web', 'Stego', 'Reverse', 'Reverse', 'Reverse', 'Misc', 'Misc'], 'challenge_points': ['390', '230', '205', '100', '100', '100', '100', '100', '100', '100', '110', '180', '100', '100', '100', '100', '100', '100', '100', '100', '0', '50'], 'solve_time': ['2024-10-22T18:22:32.069159Z', '2024-10-22T18:05:44.105096Z', '2024-10-22T17:59:43.990642Z', '2024-10-22T17:53:16.673466Z', '2024-10-22T17:43:06.463594Z', '2024-10-22T17:40:22.275972Z', '2024-10-22T17:37:16.487309Z', '2024-10-22T17:20:16.081817Z', '2024-10-22T17:17:33.351266Z', '2024-10-22T16:29:08.181845Z', '2024-10-22T16:22:35.915693Z', '2024-10-22T14:58:21.257053Z', '2024-10-22T13:45:32.276152Z', '2024-10-22T12:33:45.002035Z', '2024-10-22T11:07:09.897391Z', '2024-10-22T08:14:10.087895Z', '2024-10-22T08:07:00.262494Z', '2024-10-22T07:49:31.558084Z', '2024-10-22T07:48:15.025471Z', '2024-10-22T07:44:05.805541Z', '2024-10-22T07:02:40.984232Z', '2024-10-22T07:00:49.447123Z']}"
2665,SNI,"{'challenge_name': ['Not another heist!', 'The Big Fish', 'The Timestamp', ""Tokyo's Hidden Transmission"", 'Visual Heist', 'Old Connections?', 'Temp', 'whoIAM', 'Theadmin', 'Find the Elixer', 'The Bank Of Spain', 'Direction', ""California Dreamin'"", 'The Flight', 'ENIGMA M3', 'Unlock the Safe', 'Discord', 'Twice the Trouble', 'Get Started', 'Unlock the Encrypted Flag', 'Long way to go', 'Something Missing?'], 'challenge_category': ['OSINT', 'OSINT', 'Forensic', 'Forensic', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Misc', 'Stego', 'Web', 'OSINT', 'OSINT', 'Crypto', 'Reverse', 'Misc', 'Reverse', 'Misc', 'Reverse', 'Stego', 'Forensic'], 'challenge_points': ['205', '100', '100', '100', '100', '100', '230', '390', '100', '180', '100', '100', '100', '110', '100', '100', '50', '100', '0', '100', '100', '100'], 'solve_time': ['2024-10-22T18:24:57.373549Z', '2024-10-22T18:16:38.667577Z', '2024-10-22T18:12:33.213762Z', '2024-10-22T18:11:16.465734Z', '2024-10-22T18:09:23.260458Z', '2024-10-22T18:06:50.891992Z', '2024-10-22T18:02:14.484153Z', '2024-10-22T15:57:16.914681Z', '2024-10-22T11:24:02.821883Z', '2024-10-22T09:59:36.327029Z', '2024-10-22T08:49:14.742894Z', '2024-10-22T08:34:53.316057Z', '2024-10-22T08:27:16.890139Z', '2024-10-22T08:01:00.787807Z', '2024-10-22T07:22:38.754543Z', '2024-10-22T07:13:20.497270Z', '2024-10-22T07:12:52.874133Z', '2024-10-22T07:12:20.919101Z', '2024-10-22T07:11:25.908390Z', '2024-10-22T07:11:13.130434Z', '2024-10-22T07:10:02.207225Z', '2024-10-22T07:08:42.760664Z']}"
2665,Cryptonite,"{'challenge_name': ['Temp', 'Old Connections?', 'The Timestamp', 'The Big Fish', 'Not another heist!', ""Tokyo's Hidden Transmission"", 'Visual Heist', 'whoIAM', 'Theadmin', 'Find the Elixer', ""California Dreamin'"", 'The Flight', 'Direction', 'Twice the Trouble', 'Something Missing?', 'The Bank Of Spain', 'Unlock the Safe', 'ENIGMA M3', 'Long way to go', 'Unlock the Encrypted Flag', 'Get Started', 'Discord'], 'challenge_category': ['Web', 'Crypto', 'Forensic', 'OSINT', 'OSINT', 'Forensic', 'Crypto', 'Web', 'Web', 'Misc', 'OSINT', 'OSINT', 'Web', 'Reverse', 'Forensic', 'Stego', 'Reverse', 'Crypto', 'Stego', 'Reverse', 'Misc', 'Misc'], 'challenge_points': ['230', '100', '100', '100', '205', '100', '100', '390', '100', '180', '100', '110', '100', '100', '100', '100', '100', '100', '100', '100', '0', '50'], 'solve_time': ['2024-10-22T18:33:49.790165Z', '2024-10-22T17:30:44.495347Z', '2024-10-22T17:27:24.499198Z', '2024-10-22T17:16:03.969271Z', '2024-10-22T17:11:52.220823Z', '2024-10-22T17:06:24.063344Z', '2024-10-22T17:05:04.953418Z', '2024-10-22T11:46:42.960402Z', '2024-10-22T09:27:25.177598Z', '2024-10-22T09:01:19.821510Z', '2024-10-22T08:34:58.687577Z', '2024-10-22T08:11:43.204406Z', '2024-10-22T07:52:43.708974Z', '2024-10-22T06:56:20.118339Z', '2024-10-22T06:49:28.812346Z', '2024-10-22T06:48:10.115139Z', '2024-10-22T06:43:42.804595Z', '2024-10-22T06:40:12.644009Z', '2024-10-22T06:38:38.593891Z', '2024-10-22T06:38:00.241754Z', '2024-10-22T06:33:10.135131Z', '2024-10-22T06:32:28.894866Z']}"
2665,BlitzHack,"{'challenge_name': ['Temp', 'Not another heist!', 'Old Connections?', 'The Timestamp', 'The Big Fish', ""Tokyo's Hidden Transmission"", 'Visual Heist', 'whoIAM', 'The Bank Of Spain', 'Find the Elixer', 'Theadmin', 'The Flight', ""California Dreamin'"", 'Direction', 'Something Missing?', 'Twice the Trouble', 'ENIGMA M3', 'Unlock the Safe', 'Unlock the Encrypted Flag', 'Long way to go', 'Discord', 'Get Started'], 'challenge_category': ['Web', 'OSINT', 'Crypto', 'Forensic', 'OSINT', 'Forensic', 'Crypto', 'Web', 'Stego', 'Misc', 'Web', 'OSINT', 'OSINT', 'Web', 'Forensic', 'Reverse', 'Crypto', 'Reverse', 'Reverse', 'Stego', 'Misc', 'Misc'], 'challenge_points': ['230', '205', '100', '100', '100', '100', '100', '390', '100', '180', '100', '110', '100', '100', '100', '100', '100', '100', '100', '100', '50', '0'], 'solve_time': ['2024-10-22T18:56:06.907486Z', '2024-10-22T17:48:13.078858Z', '2024-10-22T17:30:52.195581Z', '2024-10-22T17:25:07.446069Z', '2024-10-22T17:18:05.998245Z', '2024-10-22T17:14:10.983848Z', '2024-10-22T17:09:19.127648Z', '2024-10-22T13:42:06.055039Z', '2024-10-22T11:13:39.419108Z', '2024-10-22T10:50:38.649484Z', '2024-10-22T10:27:22.571940Z', '2024-10-22T10:10:12.025856Z', '2024-10-22T08:34:59.367569Z', '2024-10-22T07:54:06.008780Z', '2024-10-22T07:48:48.827432Z', '2024-10-22T06:55:14.549709Z', '2024-10-22T06:47:14.312375Z', '2024-10-22T06:44:26.193471Z', '2024-10-22T06:43:32.724447Z', '2024-10-22T06:32:57.177964Z', '2024-10-22T06:32:15.881878Z', '2024-10-22T06:30:48.702895Z']}"
