points,name,challenge
12495,ufoufo,"{'challenge_name': ['Агент-новичок', 'Network_is_awesome', 'Forensics Travel 4', 'Forensics Travel 2', 'DRAWER', 'secure_channel', 'ambush_rotate', 'Elder Futhark', 'The_mystery_of_Carlos', 'gena_na', 'Rottier-2', 'PacMan', '1970-01-01', 'Gradius on lesson', 'Forensics Travel 5', 'Forensics Travel 6', 'Forensics Travel 3', 'Что-то на Франко-Американском', 'Призрак заявки', 'Forensics Travel 1', 'BabUshka', 'Забавность', 'BetaMine', 'Опять кошачий', 'Шейкуем', 'Ticket to the Top', 'Circle - Venya', 'Предел возможностей', 'git_happens', 'Rottier', 'Header', 'FStorage'], 'challenge_category': ['Crypto', 'Crypto', 'Forensics', 'Forensics', 'Joy', 'Forensics', 'Stego', 'Crypto', 'Forensics', 'Stego', 'Stego', 'Reverse', 'Stego', 'Reverse', 'Forensics', 'Forensics', 'Forensics', 'Reverse', 'Pwn', 'Forensics', 'Joy', 'Web', 'Web', 'Joy', 'Reverse', 'Pwn', 'Joy', 'Pwn', 'Misc', 'Stego', 'Web', 'Web'], 'challenge_points': ['360', '681', '346', '241', '100', '453', '390', '154', '100', '239', '226', '958', '357', '809', '100', '100', '100', '697', '895', '100', '100', '690', '930', '100', '247', '776', '100', '846', '100', '100', '212', '888'], 'solve_time': ['2024-11-03T21:54:40.436775Z', '2024-11-03T21:54:25.869002Z', '2024-11-03T21:48:06.914210Z', '2024-11-03T21:47:53.526913Z', '2024-11-03T21:38:18.819014Z', '2024-11-03T21:36:31.819665Z', '2024-11-03T21:06:49.390379Z', '2024-11-03T21:04:55.576700Z', '2024-11-03T20:38:43.527439Z', '2024-11-03T20:21:08.516504Z', '2024-11-03T20:08:44.669205Z', '2024-11-03T20:06:00.788878Z', '2024-11-03T20:05:30.228723Z', '2024-11-03T18:21:20.638241Z', '2024-11-03T17:58:38.206808Z', '2024-11-03T17:54:58.772307Z', '2024-11-03T17:48:45.283410Z', '2024-11-03T17:25:51.475132Z', '2024-11-03T16:36:25.747618Z', '2024-11-03T16:30:25.937810Z', '2024-11-03T16:02:39.170108Z', '2024-11-03T15:37:14.700324Z', '2024-11-03T14:53:13.713387Z', '2024-11-03T14:21:34.228824Z', '2024-11-03T12:45:36.303749Z', '2024-11-03T12:19:40.712613Z', '2024-11-03T11:54:25.392484Z', '2024-11-03T11:52:03.014157Z', '2024-11-03T10:23:49.639449Z', '2024-11-03T10:14:52.784677Z', '2024-11-03T09:59:47.313480Z', '2024-11-03T09:33:59.530570Z']}"
12495,RedHazzarTeam,"{'challenge_name': ['Предел возможностей', 'Призрак заявки', 'secure_channel', 'Rottier-2', 'DRAWER', 'Ticket to the Top', 'Forensics Travel 4', 'ambush_rotate', 'Gradius on lesson', 'PacMan', 'gena_na', 'Что-то на Франко-Американском', 'BabUshka', 'BetaMine', 'Забавность', 'Network_is_awesome', 'The_mystery_of_Carlos', 'Elder Futhark', 'Опять кошачий', 'Шейкуем', 'Агент-новичок', 'Forensics Travel 5', 'Forensics Travel 6', 'Forensics Travel 3', 'Forensics Travel 2', 'FStorage', 'Circle - Venya', 'Header', 'Forensics Travel 1', 'git_happens', '1970-01-01', 'Rottier'], 'challenge_category': ['Pwn', 'Pwn', 'Forensics', 'Stego', 'Joy', 'Pwn', 'Forensics', 'Stego', 'Reverse', 'Reverse', 'Stego', 'Reverse', 'Joy', 'Web', 'Web', 'Crypto', 'Forensics', 'Crypto', 'Joy', 'Reverse', 'Crypto', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Web', 'Joy', 'Web', 'Forensics', 'Misc', 'Stego', 'Stego'], 'challenge_points': ['846', '895', '453', '226', '100', '776', '346', '390', '809', '958', '239', '697', '100', '930', '690', '681', '100', '154', '100', '247', '360', '100', '100', '100', '241', '888', '100', '212', '100', '100', '357', '100'], 'solve_time': ['2024-11-03T22:03:34.462431Z', '2024-11-03T21:52:21.928322Z', '2024-11-03T21:39:53.318352Z', '2024-11-03T20:28:38.659952Z', '2024-11-03T20:16:20.765637Z', '2024-11-03T20:15:36.791322Z', '2024-11-03T20:04:25.408373Z', '2024-11-03T20:02:24.455601Z', '2024-11-03T20:01:08.261452Z', '2024-11-03T19:41:50.991924Z', '2024-11-03T19:30:32.070335Z', '2024-11-03T18:24:35.119616Z', '2024-11-03T17:49:34.866818Z', '2024-11-03T17:47:39.068235Z', '2024-11-03T15:38:48.311165Z', '2024-11-03T15:11:18.845267Z', '2024-11-03T14:14:04.388103Z', '2024-11-03T13:49:41.624600Z', '2024-11-03T13:37:42.115540Z', '2024-11-03T13:16:18.025258Z', '2024-11-03T12:54:32.180631Z', '2024-11-03T11:52:09.524504Z', '2024-11-03T11:48:53.789455Z', '2024-11-03T11:42:44.400877Z', '2024-11-03T11:39:53.053458Z', '2024-11-03T11:26:39.472496Z', '2024-11-03T11:20:14.065505Z', '2024-11-03T10:59:30.755992Z', '2024-11-03T10:51:53.692594Z', '2024-11-03T10:17:06.083939Z', '2024-11-03T10:13:55.828797Z', '2024-11-03T09:58:01.410814Z']}"
10642,МНС,"{'challenge_name': ['Network_is_awesome', 'Предел возможностей', 'FStorage', 'Забавность', 'Forensics Travel 2', 'DRAWER', 'Ticket to the Top', 'Агент-новичок', 'ambush_rotate', 'Forensics Travel 4', 'BabUshka', 'BetaMine', 'gena_na', 'Rottier-2', 'Elder Futhark', 'Что-то на Франко-Американском', 'The_mystery_of_Carlos', 'secure_channel', 'Опять кошачий', 'Forensics Travel 6', 'Шейкуем', 'Forensics Travel 5', 'Forensics Travel 3', 'Circle - Venya', '1970-01-01', 'Header', 'Rottier', 'Gradius on lesson', 'git_happens', 'Forensics Travel 1'], 'challenge_category': ['Crypto', 'Pwn', 'Web', 'Web', 'Forensics', 'Joy', 'Pwn', 'Crypto', 'Stego', 'Forensics', 'Joy', 'Web', 'Stego', 'Stego', 'Crypto', 'Reverse', 'Forensics', 'Forensics', 'Joy', 'Forensics', 'Reverse', 'Forensics', 'Forensics', 'Joy', 'Stego', 'Web', 'Stego', 'Reverse', 'Misc', 'Forensics'], 'challenge_points': ['681', '846', '888', '690', '241', '100', '776', '360', '390', '346', '100', '930', '239', '226', '154', '697', '100', '453', '100', '100', '247', '100', '100', '100', '357', '212', '100', '809', '100', '100'], 'solve_time': ['2024-11-04T08:01:06.232038Z', '2024-11-04T07:37:26.926079Z', '2024-11-04T00:16:05.443154Z', '2024-11-03T22:02:32.475656Z', '2024-11-03T21:17:20.063651Z', '2024-11-03T20:23:37.963336Z', '2024-11-03T19:04:32.438881Z', '2024-11-03T18:24:40.400141Z', '2024-11-03T17:37:04.270819Z', '2024-11-03T17:13:01.839443Z', '2024-11-03T16:03:44.520580Z', '2024-11-03T15:29:30.826215Z', '2024-11-03T14:51:13.895756Z', '2024-11-03T14:38:58.582017Z', '2024-11-03T13:42:45.033695Z', '2024-11-03T13:30:30.749892Z', '2024-11-03T13:24:04.818592Z', '2024-11-03T13:10:56.326508Z', '2024-11-03T13:02:08.108832Z', '2024-11-03T12:30:30.222081Z', '2024-11-03T11:59:53.093596Z', '2024-11-03T11:50:13.123788Z', '2024-11-03T11:43:38.099471Z', '2024-11-03T11:18:29.994504Z', '2024-11-03T10:05:20.439630Z', '2024-11-03T09:58:35.276782Z', '2024-11-03T09:46:59.674856Z', '2024-11-03T09:31:39.128605Z', '2024-11-03T09:06:35.361892Z', '2024-11-03T09:06:19.987602Z']}"
10142,m0Th3rH4ck3rS,"{'challenge_name': ['Forensics Travel 4', 'FStorage', 'DRAWER', 'Забавность', 'Gradius on lesson', 'Агент-новичок', 'ambush_rotate', 'Что-то на Франко-Американском', 'BabUshka', 'Elder Futhark', 'The_mystery_of_Carlos', 'Forensics Travel 2', 'Призрак заявки', '1970-01-01', 'secure_channel', 'Предел возможностей', 'Опять кошачий', 'Ticket to the Top', 'Forensics Travel 5', 'Forensics Travel 6', 'Forensics Travel 3', 'Circle - Venya', 'Header', 'Forensics Travel 1', 'Network_is_awesome', 'Шейкуем', 'Rottier', 'git_happens'], 'challenge_category': ['Forensics', 'Web', 'Joy', 'Web', 'Reverse', 'Crypto', 'Stego', 'Reverse', 'Joy', 'Crypto', 'Forensics', 'Forensics', 'Pwn', 'Stego', 'Forensics', 'Pwn', 'Joy', 'Pwn', 'Forensics', 'Forensics', 'Forensics', 'Joy', 'Web', 'Forensics', 'Crypto', 'Reverse', 'Stego', 'Misc'], 'challenge_points': ['346', '888', '100', '690', '809', '360', '390', '697', '100', '154', '100', '241', '895', '357', '453', '846', '100', '776', '100', '100', '100', '100', '212', '100', '681', '247', '100', '100'], 'solve_time': ['2024-11-03T22:42:10.626003Z', '2024-11-03T22:37:13.696767Z', '2024-11-03T20:17:13.191952Z', '2024-11-03T19:47:54.088281Z', '2024-11-03T19:30:12.925744Z', '2024-11-03T17:12:21.804555Z', '2024-11-03T16:22:46.139903Z', '2024-11-03T16:10:21.832073Z', '2024-11-03T16:10:00.536227Z', '2024-11-03T15:56:51.763253Z', '2024-11-03T15:54:49.464690Z', '2024-11-03T15:39:24.658937Z', '2024-11-03T15:10:06.069413Z', '2024-11-03T15:09:31.733414Z', '2024-11-03T14:28:06.167088Z', '2024-11-03T14:02:03.379599Z', '2024-11-03T13:59:31.054397Z', '2024-11-03T13:27:00.759978Z', '2024-11-03T11:56:05.653487Z', '2024-11-03T11:55:16.037005Z', '2024-11-03T11:54:52.751659Z', '2024-11-03T11:41:58.313293Z', '2024-11-03T11:20:11.704463Z', '2024-11-03T11:12:14.628208Z', '2024-11-03T09:49:13.565838Z', '2024-11-03T09:47:57.454050Z', '2024-11-03T09:16:26.400303Z', '2024-11-03T09:06:25.239372Z']}"
10075,Capybaras,"{'challenge_name': ['PacMan', 'Призрак заявки', 'gena_na', 'Агент-новичок', 'DRAWER', 'Предел возможностей', 'FStorage', 'Забавность', 'secure_channel', 'The_mystery_of_Carlos', 'Forensics Travel 4', 'Forensics Travel 6', 'Forensics Travel 5', 'Elder Futhark', 'BabUshka', 'Что-то на Франко-Американском', 'ambush_rotate', 'Rottier-2', 'Опять кошачий', 'Ticket to the Top', 'Forensics Travel 3', 'Rottier', 'Circle - Venya', 'Шейкуем', 'Forensics Travel 2', '1970-01-01', 'Forensics Travel 1', 'Header', 'git_happens'], 'challenge_category': ['Reverse', 'Pwn', 'Stego', 'Crypto', 'Joy', 'Pwn', 'Web', 'Web', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Crypto', 'Joy', 'Reverse', 'Stego', 'Stego', 'Joy', 'Pwn', 'Forensics', 'Stego', 'Joy', 'Reverse', 'Forensics', 'Stego', 'Forensics', 'Web', 'Misc'], 'challenge_points': ['958', '895', '239', '360', '100', '846', '888', '690', '453', '100', '346', '100', '100', '154', '100', '697', '390', '226', '100', '776', '100', '100', '100', '247', '241', '357', '100', '212', '100'], 'solve_time': ['2024-11-04T08:36:56.809095Z', '2024-11-04T08:36:46.754833Z', '2024-11-04T08:21:15.862201Z', '2024-11-04T08:16:17.920834Z', '2024-11-03T21:38:42.300511Z', '2024-11-03T20:44:15.192425Z', '2024-11-03T20:28:52.957662Z', '2024-11-03T18:50:51.278604Z', '2024-11-03T18:23:15.176260Z', '2024-11-03T18:10:55.950204Z', '2024-11-03T17:39:33.677972Z', '2024-11-03T17:37:09.139724Z', '2024-11-03T17:32:27.449339Z', '2024-11-03T16:46:15.704162Z', '2024-11-03T16:01:58.363870Z', '2024-11-03T15:51:21.380466Z', '2024-11-03T15:25:19.939940Z', '2024-11-03T14:28:47.632229Z', '2024-11-03T13:17:52.677794Z', '2024-11-03T12:50:31.971278Z', '2024-11-03T12:24:13.471371Z', '2024-11-03T11:19:35.975562Z', '2024-11-03T11:16:43.913432Z', '2024-11-03T10:52:30.606082Z', '2024-11-03T10:37:13.529462Z', '2024-11-03T10:35:55.105888Z', '2024-11-03T10:31:40.936108Z', '2024-11-03T10:12:20.256803Z', '2024-11-03T09:23:38.005108Z']}"
9980,"name = "" ""","{'challenge_name': ['PacMan', 'Gradius on lesson', 'Призрак заявки', 'DRAWER', 'Забавность', 'Forensics Travel 4', 'secure_channel', 'gena_na', 'The_mystery_of_Carlos', 'BabUshka', 'Предел возможностей', 'Ticket to the Top', '1970-01-01', 'Forensics Travel 2', 'ambush_rotate', 'Elder Futhark', 'Rottier-2', 'Опять кошачий', 'Агент-новичок', 'Forensics Travel 6', 'Forensics Travel 5', 'Forensics Travel 3', 'Circle - Venya', 'Шейкуем', 'Rottier', 'Header', 'Forensics Travel 1', 'git_happens', 'Network_is_awesome'], 'challenge_category': ['Reverse', 'Reverse', 'Pwn', 'Joy', 'Web', 'Forensics', 'Forensics', 'Stego', 'Forensics', 'Joy', 'Pwn', 'Pwn', 'Stego', 'Forensics', 'Stego', 'Crypto', 'Stego', 'Joy', 'Crypto', 'Forensics', 'Forensics', 'Forensics', 'Joy', 'Reverse', 'Stego', 'Web', 'Forensics', 'Misc', 'Crypto'], 'challenge_points': ['958', '809', '895', '100', '690', '346', '453', '239', '100', '100', '846', '776', '357', '241', '390', '154', '226', '100', '360', '100', '100', '100', '100', '247', '100', '212', '100', '100', '681'], 'solve_time': ['2024-11-04T00:22:38.377481Z', '2024-11-03T23:50:25.634522Z', '2024-11-03T22:05:49.516246Z', '2024-11-03T20:57:21.370861Z', '2024-11-03T19:07:30.549487Z', '2024-11-03T18:51:31.514002Z', '2024-11-03T18:01:56.945345Z', '2024-11-03T17:59:51.594188Z', '2024-11-03T16:16:03.937152Z', '2024-11-03T16:03:16.924943Z', '2024-11-03T15:53:39.027929Z', '2024-11-03T15:26:52.866778Z', '2024-11-03T14:57:02.413886Z', '2024-11-03T14:38:41.214744Z', '2024-11-03T14:00:58.766375Z', '2024-11-03T13:44:51.819395Z', '2024-11-03T13:30:53.210702Z', '2024-11-03T13:02:43.280699Z', '2024-11-03T12:59:43.107800Z', '2024-11-03T12:53:56.610280Z', '2024-11-03T12:44:48.970399Z', '2024-11-03T12:34:57.277177Z', '2024-11-03T11:21:17.190209Z', '2024-11-03T10:24:05.165756Z', '2024-11-03T10:14:45.123499Z', '2024-11-03T10:10:04.783190Z', '2024-11-03T09:54:09.476530Z', '2024-11-03T09:37:13.297829Z', '2024-11-03T09:20:39.466182Z']}"
9690,xls team,"{'challenge_name': ['The_mystery_of_Carlos', 'Forensics Travel 2', 'Forensics Travel 4', 'DRAWER', 'Агент-новичок', 'BetaMine', 'gena_na', 'Rottier-2', 'FStorage', 'Что-то на Франко-Американском', 'ambush_rotate', 'secure_channel', 'Шейкуем', 'Призрак заявки', 'Забавность', 'Header', 'BabUshka', 'Rottier', 'Предел возможностей', 'Circle - Venya', 'Опять кошачий', 'Elder Futhark', 'Forensics Travel 3', 'Forensics Travel 5', 'Forensics Travel 6', 'Forensics Travel 1', 'Ticket to the Top', 'git_happens'], 'challenge_category': ['Forensics', 'Forensics', 'Forensics', 'Joy', 'Crypto', 'Web', 'Stego', 'Stego', 'Web', 'Reverse', 'Stego', 'Forensics', 'Reverse', 'Pwn', 'Web', 'Web', 'Joy', 'Stego', 'Pwn', 'Joy', 'Joy', 'Crypto', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Pwn', 'Misc'], 'challenge_points': ['100', '241', '346', '100', '360', '930', '239', '226', '888', '697', '390', '453', '247', '895', '690', '212', '100', '100', '846', '100', '100', '154', '100', '100', '100', '100', '776', '100'], 'solve_time': ['2024-11-04T08:54:23.841472Z', '2024-11-04T08:44:57.531359Z', '2024-11-04T08:21:55.122905Z', '2024-11-04T05:24:20.947612Z', '2024-11-04T00:12:38.194857Z', '2024-11-04T00:06:53.143722Z', '2024-11-03T23:44:46.135546Z', '2024-11-03T23:18:52.576583Z', '2024-11-03T23:03:25.818007Z', '2024-11-03T22:57:46.765624Z', '2024-11-03T22:12:53.982825Z', '2024-11-03T21:58:36.256590Z', '2024-11-03T21:21:13.879564Z', '2024-11-03T20:55:27.802179Z', '2024-11-03T20:47:04.583327Z', '2024-11-03T17:54:17.199773Z', '2024-11-03T16:12:08.801052Z', '2024-11-03T16:11:35.076867Z', '2024-11-03T15:27:40.529610Z', '2024-11-03T14:51:23.059498Z', '2024-11-03T14:45:40.740999Z', '2024-11-03T13:10:23.447311Z', '2024-11-03T12:15:54.051780Z', '2024-11-03T12:14:51.160673Z', '2024-11-03T12:12:13.688425Z', '2024-11-03T11:57:09.297247Z', '2024-11-03T11:34:10.692117Z', '2024-11-03T11:31:45.760950Z']}"
9022,ZelBor Security,"{'challenge_name': ['Ticket to the Top', 'Призрак заявки', 'Gradius on lesson', 'Предел возможностей', 'Forensics Travel 4', 'The_mystery_of_Carlos', 'gena_na', 'Забавность', 'DRAWER', 'BabUshka', 'secure_channel', '1970-01-01', 'Forensics Travel 2', 'ambush_rotate', 'Rottier-2', 'Elder Futhark', 'Forensics Travel 6', 'Forensics Travel 5', 'Опять кошачий', 'Агент-новичок', 'Forensics Travel 3', 'Circle - Venya', 'Шейкуем', 'Forensics Travel 1', 'Header', 'git_happens', 'Rottier', 'Network_is_awesome'], 'challenge_category': ['Pwn', 'Pwn', 'Reverse', 'Pwn', 'Forensics', 'Forensics', 'Stego', 'Web', 'Joy', 'Joy', 'Forensics', 'Stego', 'Forensics', 'Stego', 'Stego', 'Crypto', 'Forensics', 'Forensics', 'Joy', 'Crypto', 'Forensics', 'Joy', 'Reverse', 'Forensics', 'Web', 'Misc', 'Stego', 'Crypto'], 'challenge_points': ['776', '895', '809', '846', '346', '100', '239', '690', '100', '100', '453', '357', '241', '390', '226', '154', '100', '100', '100', '360', '100', '100', '247', '100', '212', '100', '100', '681'], 'solve_time': ['2024-11-04T08:34:33.434679Z', '2024-11-04T08:08:16.924804Z', '2024-11-04T00:56:14.363911Z', '2024-11-04T00:15:00.429220Z', '2024-11-03T23:22:01.252530Z', '2024-11-03T23:12:46.798815Z', '2024-11-03T22:56:57.833517Z', '2024-11-03T20:58:25.302064Z', '2024-11-03T20:54:39.480119Z', '2024-11-03T16:07:23.917824Z', '2024-11-03T15:47:31.155143Z', '2024-11-03T15:37:01.390130Z', '2024-11-03T15:24:49.280835Z', '2024-11-03T14:16:42.641478Z', '2024-11-03T13:33:00.892994Z', '2024-11-03T13:23:18.254529Z', '2024-11-03T13:05:19.459701Z', '2024-11-03T13:04:17.084230Z', '2024-11-03T13:01:31.700964Z', '2024-11-03T12:56:11.771048Z', '2024-11-03T12:44:47.738329Z', '2024-11-03T11:09:20.465661Z', '2024-11-03T10:45:53.361495Z', '2024-11-03T10:40:41.328225Z', '2024-11-03T10:37:13.877428Z', '2024-11-03T09:54:58.503373Z', '2024-11-03T09:50:34.376707Z', '2024-11-03T09:41:54.409399Z']}"
8908,PunchClub,"{'challenge_name': ['Gradius on lesson', 'Забавность', 'Призрак заявки', 'Предел возможностей', 'secure_channel', 'Forensics Travel 2', 'DRAWER', 'Ticket to the Top', 'Что-то на Франко-Американском', 'Forensics Travel 4', 'Network_is_awesome', 'The_mystery_of_Carlos', 'Circle - Venya', 'BabUshka', 'Rottier-2', '1970-01-01', 'Forensics Travel 6', 'Forensics Travel 5', 'Elder Futhark', 'Шейкуем', 'ambush_rotate', 'Forensics Travel 3', 'Опять кошачий', 'git_happens', 'Rottier', 'Forensics Travel 1'], 'challenge_category': ['Reverse', 'Web', 'Pwn', 'Pwn', 'Forensics', 'Forensics', 'Joy', 'Pwn', 'Reverse', 'Forensics', 'Crypto', 'Forensics', 'Joy', 'Joy', 'Stego', 'Stego', 'Forensics', 'Forensics', 'Crypto', 'Reverse', 'Stego', 'Forensics', 'Joy', 'Misc', 'Stego', 'Forensics'], 'challenge_points': ['809', '690', '895', '846', '453', '241', '100', '776', '697', '346', '681', '100', '100', '100', '226', '357', '100', '100', '154', '247', '390', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-04T02:12:02.564018Z', '2024-11-04T01:10:40.070315Z', '2024-11-04T00:55:15.457133Z', '2024-11-04T00:15:48.622282Z', '2024-11-03T23:45:44.810093Z', '2024-11-03T21:11:02.419796Z', '2024-11-03T20:18:06.808313Z', '2024-11-03T19:44:04.214187Z', '2024-11-03T18:54:27.172033Z', '2024-11-03T18:47:25.431064Z', '2024-11-03T17:16:13.451308Z', '2024-11-03T16:33:48.051704Z', '2024-11-03T16:08:43.862574Z', '2024-11-03T16:07:47.848566Z', '2024-11-03T16:05:44.499399Z', '2024-11-03T14:55:43.460518Z', '2024-11-03T14:35:24.178244Z', '2024-11-03T14:33:14.347416Z', '2024-11-03T14:30:25.349854Z', '2024-11-03T13:50:00.549759Z', '2024-11-03T13:21:01.884736Z', '2024-11-03T13:13:56.490318Z', '2024-11-03T13:09:24.082505Z', '2024-11-03T10:48:52.498295Z', '2024-11-03T10:37:05.302175Z', '2024-11-03T09:41:12.386330Z']}"
8583,SOC_Dobriy,"{'challenge_name': ['Elder Futhark', 'Предел возможностей', 'The_mystery_of_Carlos', 'Призрак заявки', 'Network_is_awesome', 'PacMan', 'Rottier-2', 'Forensics Travel 4', 'DRAWER', 'ambush_rotate', 'Опять кошачий', 'gena_na', 'Забавность', 'BabUshka', 'Агент-новичок', 'Forensics Travel 6', 'Forensics Travel 5', 'Header', 'FStorage', 'Forensics Travel 1', 'Forensics Travel 3', 'Forensics Travel 2', 'Circle - Venya', 'git_happens', '1970-01-01', 'Rottier'], 'challenge_category': ['Crypto', 'Pwn', 'Forensics', 'Pwn', 'Crypto', 'Reverse', 'Stego', 'Forensics', 'Joy', 'Stego', 'Joy', 'Stego', 'Web', 'Joy', 'Crypto', 'Forensics', 'Forensics', 'Web', 'Web', 'Forensics', 'Forensics', 'Forensics', 'Joy', 'Misc', 'Stego', 'Stego'], 'challenge_points': ['154', '846', '100', '895', '681', '958', '226', '346', '100', '390', '100', '239', '690', '100', '360', '100', '100', '212', '888', '100', '100', '241', '100', '100', '357', '100'], 'solve_time': ['2024-11-04T06:44:32.545026Z', '2024-11-04T05:14:23.790385Z', '2024-11-04T04:27:56.587801Z', '2024-11-03T22:25:35.248762Z', '2024-11-03T21:59:02.545077Z', '2024-11-03T20:41:34.343240Z', '2024-11-03T20:40:02.829777Z', '2024-11-03T20:20:50.136235Z', '2024-11-03T20:20:32.791461Z', '2024-11-03T20:04:09.146920Z', '2024-11-03T19:36:36.562322Z', '2024-11-03T19:32:01.763052Z', '2024-11-03T18:50:16.169900Z', '2024-11-03T18:43:11.730176Z', '2024-11-03T12:56:06.784966Z', '2024-11-03T11:59:34.588179Z', '2024-11-03T11:59:04.290032Z', '2024-11-03T11:56:08.925305Z', '2024-11-03T11:54:33.383988Z', '2024-11-03T11:51:41.737047Z', '2024-11-03T11:46:05.490905Z', '2024-11-03T11:40:49.659170Z', '2024-11-03T11:19:07.647424Z', '2024-11-03T10:57:13.273089Z', '2024-11-03T10:37:08.558237Z', '2024-11-03T10:36:27.239975Z']}"
