points,name,challenge
6421,1c3Gh3tt0,"{'challenge_name': ['Bro Where Is He', 'mc_OSINT_3.0', 'mc_OSINT_2.0', 'LSD Simulator', 'Make a SillyCTF Meme', 'mc_OSINT_1.0', 'Farting on the Editors', ""It's Turts All the Way Down"", 'Feedback Survey', ""Where's my waffles?"", 'ScratchCrypto0', 'Are You Ready Mr. Krabs', 'geoGRUphical Data', 'You Smell That?', 'Big Mood Energy', 'Wittle Gwean Bwean', 'Documented', 'It Hertz when IP', 'Hash Me, If you Can!', ""Gru's Lab"", 'In Her Mood', 'You Thought I Was Feeling U?', 'Munch Music', 'Frying Chicken?'], 'challenge_category': ['Culture', 'Minecraft', 'Minecraft', 'Culture', 'SillyCTF', 'Minecraft', 'Ice Spice', 'Culture', 'SillyCTF', 'Waffle House', 'Scratch', 'Gallimaufries', 'Minions', 'Ice Spice', 'Ice Spice', 'Gallimaufries', 'The Serious Zone', 'Minions', 'Minions', 'Minions', 'Ice Spice', 'Ice Spice', 'Ice Spice', 'Costco'], 'challenge_points': ['500', '493', '472', '500', '200', '425', '372', '447', '200', '323', '387', '100', '100', '127', '100', '200', '387', '100', '413', '100', '100', '100', '100', '100'], 'solve_time': ['2025-03-29T23:24:30.630655Z', '2025-03-29T21:01:34.654247Z', '2025-03-29T20:35:28.315324Z', '2025-03-29T20:02:18.031581Z', '2025-03-29T19:54:42.693596Z', '2025-03-29T19:48:35.265316Z', '2025-03-29T19:02:07.265044Z', '2025-03-29T18:30:34.500234Z', '2025-03-29T18:28:56.733446Z', '2025-03-29T17:40:29.313230Z', '2025-03-29T17:15:32.356050Z', '2025-03-29T16:47:05.381466Z', '2025-03-29T16:37:47.706578Z', '2025-03-29T16:33:40.995864Z', '2025-03-29T16:28:10.127083Z', '2025-03-29T14:24:33.827449Z', '2025-03-29T14:24:19.918464Z', '2025-03-29T13:36:16.582811Z', '2025-03-29T13:22:26.087519Z', '2025-03-29T13:14:35.098076Z', '2025-03-29T13:07:06.464433Z', '2025-03-29T13:00:25.848178Z', '2025-03-29T12:53:51.274045Z', '2025-03-29T12:36:14.821972Z']}"
5149,ex futuro,"{'challenge_name': ['Randahm Numbah Generatah', ""It's Turts All the Way Down"", 'ScratchCrypto1', 'Hash Me, If you Can!', ""Where's my waffles?"", 'geoGRUphical Data', 'Farting on the Editors', 'Feedback Survey', 'Make a SillyCTF Meme', 'ScratchCrypto0', 'Are You Ready Mr. Krabs', 'Big Mood Energy', 'You Smell That?', 'mc_OSINT_1.0', 'Documented', 'In Her Mood', ""Gru's Lab"", 'Frying Chicken?', 'It Hertz when IP', 'You Thought I Was Feeling U?', 'Munch Music', 'Wittle Gwean Bwean'], 'challenge_category': ['Culture', 'Culture', 'Scratch', 'Minions', 'Waffle House', 'Minions', 'Ice Spice', 'SillyCTF', 'SillyCTF', 'Scratch', 'Gallimaufries', 'Ice Spice', 'Ice Spice', 'Minecraft', 'The Serious Zone', 'Ice Spice', 'Minions', 'Costco', 'Minions', 'Ice Spice', 'Ice Spice', 'Gallimaufries'], 'challenge_points': ['372', '447', '496', '413', '323', '100', '372', '200', '200', '387', '100', '100', '127', '425', '387', '100', '100', '100', '100', '100', '100', '200'], 'solve_time': ['2025-03-29T23:27:13.212508Z', '2025-03-29T23:19:51.739347Z', '2025-03-29T23:05:53.624971Z', '2025-03-29T21:56:37.576586Z', '2025-03-29T21:22:15.740756Z', '2025-03-29T21:07:49.992325Z', '2025-03-29T20:24:10.208765Z', '2025-03-29T19:50:08.877141Z', '2025-03-29T19:48:30.033395Z', '2025-03-29T19:41:47.006472Z', '2025-03-29T18:34:59.150760Z', '2025-03-29T17:25:38.221428Z', '2025-03-29T17:14:22.815036Z', '2025-03-29T16:35:47.649504Z', '2025-03-29T16:31:00.851975Z', '2025-03-29T15:45:55.991875Z', '2025-03-29T15:16:16.472739Z', '2025-03-29T14:59:28.799730Z', '2025-03-29T14:44:16.943433Z', '2025-03-29T14:42:16.429883Z', '2025-03-29T14:29:55.426828Z', '2025-03-29T14:27:19.688629Z']}"
5135,piestexy,"{'challenge_name': ['mc_OSINT_2.0', ""It's Turts All the Way Down"", 'ScratchCrypto0', 'mc_OSINT_3.0', 'Farting on the Editors', 'You Smell That?', 'In Her Mood', 'Big Mood Energy', 'mc_OSINT_1.0', 'Hash Me, If you Can!', 'Feedback Survey', 'Make a SillyCTF Meme', 'String Weaver', 'Wittle Gwean Bwean', 'Are You Ready Mr. Krabs', 'geoGRUphical Data', 'It Hertz when IP', ""Gru's Lab"", 'Munch Music', 'You Thought I Was Feeling U?', 'Frying Chicken?'], 'challenge_category': ['Minecraft', 'Culture', 'Scratch', 'Minecraft', 'Ice Spice', 'Ice Spice', 'Ice Spice', 'Ice Spice', 'Minecraft', 'Minions', 'SillyCTF', 'SillyCTF', 'Gallimaufries', 'Gallimaufries', 'Gallimaufries', 'Minions', 'Minions', 'Minions', 'Ice Spice', 'Ice Spice', 'Costco'], 'challenge_points': ['472', '447', '387', '493', '372', '127', '100', '100', '425', '413', '200', '200', '499', '200', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-03-29T23:56:17.880242Z', '2025-03-29T23:14:56.881000Z', '2025-03-29T23:09:45.945658Z', '2025-03-29T23:01:35.810811Z', '2025-03-29T22:01:11.084425Z', '2025-03-29T21:49:22.411249Z', '2025-03-29T21:17:14.561528Z', '2025-03-29T21:15:32.359247Z', '2025-03-29T20:41:36.047396Z', '2025-03-29T20:07:42.008082Z', '2025-03-29T19:41:56.054112Z', '2025-03-29T19:37:08.147741Z', '2025-03-29T19:34:32.214348Z', '2025-03-29T19:10:16.284143Z', '2025-03-29T18:57:41.680425Z', '2025-03-29T18:31:33.273586Z', '2025-03-29T18:26:26.760331Z', '2025-03-29T18:21:10.027708Z', '2025-03-29T18:05:54.525454Z', '2025-03-29T18:03:45.959309Z', '2025-03-29T17:36:57.095927Z']}"
4859,SquidProxyLovers,"{'challenge_name': ['mc_OSINT_1.0', 'mc_OSINT_3.0', ""It's Turts All the Way Down"", 'Randahm Numbah Generatah', 'In Her Mood', ""Gru's Lab"", ""Where's my waffles?"", 'Make a SillyCTF Meme', 'Wittle Gwean Bwean', 'Farting on the Editors', 'Big Mood Energy', 'Documented', 'Feedback Survey', 'Hash Me, If you Can!', 'Are You Ready Mr. Krabs', 'geoGRUphical Data', 'It Hertz when IP', 'Munch Music', 'You Thought I Was Feeling U?', 'You Smell That?', 'Frying Chicken?'], 'challenge_category': ['Minecraft', 'Minecraft', 'Culture', 'Culture', 'Ice Spice', 'Minions', 'Waffle House', 'SillyCTF', 'Gallimaufries', 'Ice Spice', 'Ice Spice', 'The Serious Zone', 'SillyCTF', 'Minions', 'Gallimaufries', 'Minions', 'Minions', 'Ice Spice', 'Ice Spice', 'Ice Spice', 'Costco'], 'challenge_points': ['425', '493', '447', '372', '100', '100', '323', '200', '200', '372', '100', '387', '200', '413', '100', '100', '100', '100', '100', '127', '100'], 'solve_time': ['2025-03-29T23:58:15.478763Z', '2025-03-29T23:47:44.721607Z', '2025-03-29T23:35:26.850433Z', '2025-03-29T23:35:16.330998Z', '2025-03-29T23:26:28.754465Z', '2025-03-29T22:25:47.130200Z', '2025-03-29T21:48:18.139828Z', '2025-03-29T20:57:53.895966Z', '2025-03-29T20:46:59.955900Z', '2025-03-29T20:38:20.550021Z', '2025-03-29T19:58:28.843956Z', '2025-03-29T19:27:31.439623Z', '2025-03-29T19:16:10.907939Z', '2025-03-29T17:35:57.012115Z', '2025-03-29T17:33:28.658435Z', '2025-03-29T17:27:43.977228Z', '2025-03-29T17:26:33.147914Z', '2025-03-29T17:19:36.121851Z', '2025-03-29T17:18:34.692487Z', '2025-03-29T17:15:01.224616Z', '2025-03-29T16:59:37.338436Z']}"
4836,twosheep,"{'challenge_name': ['Feedback Survey', 'Munch Music', 'Farting on the Editors', 'You Smell That?', 'Hash Me, If you Can!', 'geoGRUphical Data', ""It's Turts All the Way Down"", 'ScratchCrypto1', 'ScratchCrypto0', ""Where's my waffles?"", 'Big Mood Energy', 'In Her Mood', 'String Weaver', 'Are You Ready Mr. Krabs', 'Wittle Gwean Bwean', 'Randahm Numbah Generatah', 'Frying Chicken?', 'It Hertz when IP', ""Gru's Lab"", 'You Thought I Was Feeling U?'], 'challenge_category': ['SillyCTF', 'Ice Spice', 'Ice Spice', 'Ice Spice', 'Minions', 'Minions', 'Culture', 'Scratch', 'Scratch', 'Waffle House', 'Ice Spice', 'Ice Spice', 'Gallimaufries', 'Gallimaufries', 'Gallimaufries', 'Culture', 'Costco', 'Minions', 'Minions', 'Ice Spice'], 'challenge_points': ['200', '100', '372', '127', '413', '100', '447', '496', '387', '323', '100', '100', '499', '100', '200', '372', '100', '100', '100', '100'], 'solve_time': ['2025-03-29T22:58:50.883347Z', '2025-03-29T21:06:21.458006Z', '2025-03-29T20:56:38.651782Z', '2025-03-29T20:49:43.710059Z', '2025-03-29T20:44:27.296217Z', '2025-03-29T20:29:36.100257Z', '2025-03-29T19:48:51.199541Z', '2025-03-29T19:37:59.191061Z', '2025-03-29T19:24:53.590862Z', '2025-03-29T19:20:50.025279Z', '2025-03-29T19:13:57.523753Z', '2025-03-29T19:09:38.886556Z', '2025-03-29T17:09:56.528783Z', '2025-03-29T16:56:21.421369Z', '2025-03-29T16:54:18.047163Z', '2025-03-29T14:33:23.298609Z', '2025-03-29T14:16:28.739500Z', '2025-03-29T13:52:17.086265Z', '2025-03-29T13:50:38.095254Z', '2025-03-29T13:37:25.032211Z']}"
4574,GG Bonds,"{'challenge_name': [""Where's my waffles?"", ""It's Turts All the Way Down"", 'Big Mood Energy', 'In Her Mood', 'Randahm Numbah Generatah', 'You Smell That?', 'Farting on the Editors', 'Make a SillyCTF Meme', 'Feedback Survey', 'ScratchCrypto1', 'Wittle Gwean Bwean', 'Frying Chicken?', 'Are You Ready Mr. Krabs', 'geoGRUphical Data', ""Gru's Lab"", 'Hash Me, If you Can!', 'It Hertz when IP', 'ScratchCrypto0', 'You Thought I Was Feeling U?', 'Munch Music', 'Documented'], 'challenge_category': ['Waffle House', 'Culture', 'Ice Spice', 'Ice Spice', 'Culture', 'Ice Spice', 'Ice Spice', 'SillyCTF', 'SillyCTF', 'Scratch', 'Gallimaufries', 'Costco', 'Gallimaufries', 'Minions', 'Minions', 'Minions', 'Minions', 'Scratch', 'Ice Spice', 'Ice Spice', 'The Serious Zone'], 'challenge_points': ['323', '447', '100', '100', '372', '127', '372', '200', '200', '496', '200', '100', '100', '100', '100', '413', '100', '387', '100', '100', '387'], 'solve_time': ['2025-03-29T23:17:13.349306Z', '2025-03-29T21:02:41.702893Z', '2025-03-29T20:55:58.952228Z', '2025-03-29T20:49:18.582973Z', '2025-03-29T20:13:57.835818Z', '2025-03-29T19:52:32.540610Z', '2025-03-29T19:43:17.966642Z', '2025-03-29T19:33:50.621428Z', '2025-03-29T19:32:44.776960Z', '2025-03-29T19:28:17.985480Z', '2025-03-29T18:30:30.547959Z', '2025-03-29T18:14:35.467894Z', '2025-03-29T17:01:45.140407Z', '2025-03-29T16:56:43.093047Z', '2025-03-29T15:49:24.288117Z', '2025-03-29T15:04:54.855679Z', '2025-03-29T14:55:50.521285Z', '2025-03-29T14:44:19.252446Z', '2025-03-29T14:24:55.960415Z', '2025-03-29T14:21:11.874047Z', '2025-03-29T13:12:17.804988Z']}"
4401,first,"{'challenge_name': ['Randahm Numbah Generatah', 'ScratchCrypto1', 'In Her Mood', 'ScratchSpy', 'Make a SillyCTF Meme', 'Feedback Survey', 'Farting on the Editors', ""It's Turts All the Way Down"", ""Gru's Lab"", 'Big Mood Energy', 'You Smell That?', 'Are You Ready Mr. Krabs', 'geoGRUphical Data', 'Documented', 'It Hertz when IP', 'Frying Chicken?', 'Munch Music', 'Wittle Gwean Bwean', 'You Thought I Was Feeling U?'], 'challenge_category': ['Culture', 'Scratch', 'Ice Spice', 'Scratch', 'SillyCTF', 'SillyCTF', 'Ice Spice', 'Culture', 'Minions', 'Ice Spice', 'Ice Spice', 'Gallimaufries', 'Minions', 'The Serious Zone', 'Minions', 'Costco', 'Ice Spice', 'Gallimaufries', 'Ice Spice'], 'challenge_points': ['372', '496', '100', '500', '200', '200', '372', '447', '100', '100', '127', '100', '100', '387', '100', '100', '100', '200', '100'], 'solve_time': ['2025-03-29T23:42:55.095153Z', '2025-03-29T22:14:46.703173Z', '2025-03-29T21:58:16.468849Z', '2025-03-29T20:41:10.901974Z', '2025-03-29T19:51:38.457044Z', '2025-03-29T19:19:12.983641Z', '2025-03-29T18:41:41.306858Z', '2025-03-29T17:24:55.285672Z', '2025-03-29T17:13:33.111229Z', '2025-03-29T16:48:12.608547Z', '2025-03-29T16:46:49.258229Z', '2025-03-29T16:34:12.318020Z', '2025-03-29T16:25:02.760834Z', '2025-03-29T15:32:42.192562Z', '2025-03-29T15:30:34.895470Z', '2025-03-29T14:57:43.632272Z', '2025-03-29T14:07:22.729354Z', '2025-03-29T14:01:13.074784Z', '2025-03-29T13:56:51.870711Z']}"
4281,Schrodinger Bears,"{'challenge_name': ['mc_OSINT_1.0', 'Randahm Numbah Generatah', 'Make a SillyCTF Meme', 'Farting on the Editors', 'Documented', 'Feedback Survey', 'Big Mood Energy', 'geoGRUphical Data', 'In Her Mood', 'Are You Ready Mr. Krabs', 'You Smell That?', 'Hash Me, If you Can!', ""Where's my waffles?"", 'ScratchCrypto0', 'Wittle Gwean Bwean', ""Gru's Lab"", 'It Hertz when IP', 'Frying Chicken?', 'Munch Music', 'You Thought I Was Feeling U?'], 'challenge_category': ['Minecraft', 'Culture', 'SillyCTF', 'Ice Spice', 'The Serious Zone', 'SillyCTF', 'Ice Spice', 'Minions', 'Ice Spice', 'Gallimaufries', 'Ice Spice', 'Minions', 'Waffle House', 'Scratch', 'Gallimaufries', 'Minions', 'Minions', 'Costco', 'Ice Spice', 'Ice Spice'], 'challenge_points': ['425', '372', '200', '372', '387', '200', '100', '100', '100', '100', '127', '413', '323', '387', '200', '100', '100', '100', '100', '100'], 'solve_time': ['2025-03-29T20:32:57.673046Z', '2025-03-29T20:11:35.436866Z', '2025-03-29T19:48:51.743522Z', '2025-03-29T19:46:36.790788Z', '2025-03-29T18:28:32.601978Z', '2025-03-29T18:18:13.832270Z', '2025-03-29T17:07:32.790808Z', '2025-03-29T16:51:04.224457Z', '2025-03-29T16:44:35.670891Z', '2025-03-29T16:32:24.952478Z', '2025-03-29T16:19:51.160971Z', '2025-03-29T15:40:17.971819Z', '2025-03-29T15:35:00.260590Z', '2025-03-29T14:27:19.239143Z', '2025-03-29T13:58:46.999728Z', '2025-03-29T13:52:19.709818Z', '2025-03-29T13:25:12.106608Z', '2025-03-29T12:59:52.168315Z', '2025-03-29T12:46:40.281644Z', '2025-03-29T12:44:51.062327Z']}"
4253,Awesome Team Name,"{'challenge_name': ['mc_OSINT_2.1', 'mc_OSINT_2.0', 'mc_OSINT_1.0', 'Make a SillyCTF Meme', 'Farting on the Editors', 'In Her Mood', 'Feedback Survey', ""It's Turts All the Way Down"", 'Are You Ready Mr. Krabs', 'geoGRUphical Data', 'Big Mood Energy', 'Documented', ""Gru's Lab"", 'It Hertz when IP', 'Frying Chicken?', 'Munch Music', 'You Thought I Was Feeling U?', 'Wittle Gwean Bwean'], 'challenge_category': ['Minecraft', 'Minecraft', 'Minecraft', 'SillyCTF', 'Ice Spice', 'Ice Spice', 'SillyCTF', 'Culture', 'Gallimaufries', 'Minions', 'Ice Spice', 'The Serious Zone', 'Minions', 'Minions', 'Costco', 'Ice Spice', 'Ice Spice', 'Gallimaufries'], 'challenge_points': ['500', '472', '425', '200', '372', '100', '200', '447', '100', '100', '100', '387', '100', '100', '100', '100', '100', '200'], 'solve_time': ['2025-03-29T23:57:57.222180Z', '2025-03-29T23:34:16.981639Z', '2025-03-29T21:49:12.593200Z', '2025-03-29T19:41:54.048629Z', '2025-03-29T18:57:14.093139Z', '2025-03-29T18:50:39.569560Z', '2025-03-29T18:17:50.919449Z', '2025-03-29T17:17:15.444288Z', '2025-03-29T16:51:29.501892Z', '2025-03-29T16:48:32.035333Z', '2025-03-29T16:27:43.732773Z', '2025-03-29T14:09:32.224468Z', '2025-03-29T13:49:46.160004Z', '2025-03-29T13:36:14.385889Z', '2025-03-29T13:24:29.454227Z', '2025-03-29T12:39:23.886237Z', '2025-03-29T12:38:11.261504Z', '2025-03-29T12:30:49.623968Z']}"
3959,V1t,"{'challenge_name': ['You Smell That?', 'Documented', 'Bro Where Is He', 'Randahm Numbah Generatah', 'Wittle Gwean Bwean', 'Are You Ready Mr. Krabs', 'geoGRUphical Data', 'On The House', ""Where's my waffles?"", 'Big Mood Energy', 'Munch Music', 'It Hertz when IP', ""Gru's Lab"", 'In Her Mood', 'You Thought I Was Feeling U?', 'Frying Chicken?', 'Make a SillyCTF Meme', 'Feedback Survey'], 'challenge_category': ['Ice Spice', 'The Serious Zone', 'Culture', 'Culture', 'Gallimaufries', 'Gallimaufries', 'Minions', 'Waffle House', 'Waffle House', 'Ice Spice', 'Ice Spice', 'Minions', 'Minions', 'Ice Spice', 'Ice Spice', 'Costco', 'SillyCTF', 'SillyCTF'], 'challenge_points': ['127', '387', '500', '372', '200', '100', '100', '500', '323', '100', '100', '100', '100', '100', '100', '100', '200', '200'], 'solve_time': ['2025-03-29T23:56:41.390580Z', '2025-03-29T23:24:09.567033Z', '2025-03-29T23:05:00.900881Z', '2025-03-29T22:32:57.966026Z', '2025-03-29T22:23:49.599129Z', '2025-03-29T22:20:47.004852Z', '2025-03-29T21:44:21.617120Z', '2025-03-29T21:31:47.332363Z', '2025-03-29T20:52:55.239044Z', '2025-03-29T20:09:16.026798Z', '2025-03-29T19:56:57.757181Z', '2025-03-29T19:54:48.510054Z', '2025-03-29T19:51:08.291077Z', '2025-03-29T19:43:22.682893Z', '2025-03-29T19:39:53.108604Z', '2025-03-29T19:36:13.457378Z', '2025-03-29T19:34:00.196106Z', '2025-03-29T19:29:52.556771Z']}"
