points,name,challenge
5295,SquidProxyLovers,"{'challenge_name': ['SongCipher', 'SwampTech Solutions', 'Tinybrain', 'Midi Melody', 'Editor', 'Intercepted communications:', 'Wamp Audio', 'Read Between .tga Lines', 'Messages From The Stars', 'On Thin Ice', 'MaybeHappyEndingGPT', 'Oh my buffer', 'Notecard', 'Contamination', 'Blue', 'Proto Proto 2', 'Party Time! Level 2', 'Proto Proto', 'Homework Help', 'MuddyWater', 'SlowAPI', 'Greeting as a Service', 'Rock my Password', 'Preferential Treatment', 'Sunset Boulevard', 'Hidden Message-Board', 'Beginner Pwn 2', 'Beginner Web', 'Party Time!', 'Planetary Storage', 'Serialies', 'Lost In Translation', 'Pretty Picture: Double Exposure', 'Beginner Pwn 1', 'You Shall Not Passss', 'Join our Discord!'], 'challenge_category': ['Crypto', 'Web', 'Pwn', 'Rev', 'Web', 'Crypto', 'Rev', 'Misc', 'Misc', 'OSInt', 'Web', 'Pwn', 'Pwn', 'Web', 'Misc', 'Forensics', 'OSInt', 'Forensics', 'Forensics', 'Forensics', 'Web', 'Pwn', 'Crypto', 'Forensics', 'Web', 'Web', 'Pwn', 'Web', 'OSInt', 'Forensics', 'Web', 'Misc', 'Misc', 'Pwn', 'Rev', 'Misc'], 'challenge_points': ['148', '200', '194', '184', '150', '150', '298', '85', '193', '84', '300', '258', '294', '150', '209', '289', '150', '214', '50', '200', '50', '192', '150', '150', '100', '50', '50', '100', '50', '200', '20', '158', '25', '25', '150', '25'], 'solve_time': ['2025-03-30T00:21:34.410014Z', '2025-03-29T23:23:51.017827Z', '2025-03-29T23:07:31.633721Z', '2025-03-29T22:31:16.543518Z', '2025-03-29T22:01:14.828650Z', '2025-03-29T21:38:46.690143Z', '2025-03-29T18:19:03.368145Z', '2025-03-29T07:23:24.468070Z', '2025-03-29T05:56:12.455588Z', '2025-03-29T05:34:02.335155Z', '2025-03-29T05:14:31.841316Z', '2025-03-29T03:33:17.267116Z', '2025-03-29T03:12:58.459058Z', '2025-03-29T02:46:37.680527Z', '2025-03-29T02:02:04.996010Z', '2025-03-29T01:46:51.791365Z', '2025-03-29T01:08:15.700029Z', '2025-03-29T00:49:31.513880Z', '2025-03-29T00:37:35.864016Z', '2025-03-29T00:32:53.117393Z', '2025-03-29T00:11:28.823246Z', '2025-03-28T23:40:47.309609Z', '2025-03-28T23:35:49.778715Z', '2025-03-28T23:16:03.674632Z', '2025-03-28T22:59:26.313126Z', '2025-03-28T22:52:27.143101Z', '2025-03-28T22:43:38.447637Z', '2025-03-28T22:41:58.571559Z', '2025-03-28T22:21:43.253025Z', '2025-03-28T22:17:26.551143Z', '2025-03-28T22:03:52.628825Z', '2025-03-28T22:00:49.397492Z', '2025-03-28T21:56:18.133422Z', '2025-03-28T21:48:40.386117Z', '2025-03-28T21:47:01.172172Z', '2025-03-28T21:04:02.370870Z']}"
5295,Hack@Sec,"{'challenge_name': ['Proto Proto 2', 'SwampTech Solutions', 'MuddyWater', 'SongCipher', 'Lost In Translation', 'Wamp Audio', 'Tinybrain', 'Intercepted communications:', 'Editor', 'Midi Melody', 'Contamination', 'MaybeHappyEndingGPT', 'Homework Help', 'Proto Proto', 'Hidden Message-Board', 'Messages From The Stars', 'Sunset Boulevard', 'SlowAPI', 'Serialies', 'Rock my Password', 'On Thin Ice', 'Planetary Storage', 'Preferential Treatment', 'Blue', 'You Shall Not Passss', 'Read Between .tga Lines', 'Party Time! Level 2', 'Party Time!', 'Oh my buffer', 'Notecard', 'Pretty Picture: Double Exposure', 'Beginner Web', 'Greeting as a Service', 'Beginner Pwn 2', 'Beginner Pwn 1', 'Join our Discord!'], 'challenge_category': ['Forensics', 'Web', 'Forensics', 'Crypto', 'Misc', 'Rev', 'Pwn', 'Crypto', 'Web', 'Rev', 'Web', 'Web', 'Forensics', 'Forensics', 'Web', 'Misc', 'Web', 'Web', 'Web', 'Crypto', 'OSInt', 'Forensics', 'Forensics', 'Misc', 'Rev', 'Misc', 'OSInt', 'OSInt', 'Pwn', 'Pwn', 'Misc', 'Web', 'Pwn', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['289', '200', '200', '148', '158', '298', '194', '150', '150', '184', '150', '300', '50', '214', '50', '193', '100', '50', '20', '150', '84', '200', '150', '209', '150', '85', '150', '50', '258', '294', '25', '100', '192', '50', '25', '25'], 'solve_time': ['2025-03-30T04:21:25.905533Z', '2025-03-30T02:22:09.147334Z', '2025-03-30T00:52:51.048473Z', '2025-03-30T00:14:35.967189Z', '2025-03-29T23:17:15.519705Z', '2025-03-29T22:53:29.512067Z', '2025-03-29T22:29:11.681225Z', '2025-03-29T21:58:57.174414Z', '2025-03-29T21:12:17.778648Z', '2025-03-29T19:58:32.119453Z', '2025-03-29T17:45:45.714105Z', '2025-03-29T17:29:53.873886Z', '2025-03-29T13:09:01.112404Z', '2025-03-29T13:01:06.397520Z', '2025-03-29T08:13:13.374047Z', '2025-03-29T07:43:40.190321Z', '2025-03-29T07:39:16.589109Z', '2025-03-29T07:27:17.434409Z', '2025-03-29T06:02:38.535792Z', '2025-03-29T05:53:30.159402Z', '2025-03-29T04:53:13.895305Z', '2025-03-29T04:52:25.387648Z', '2025-03-29T04:44:42.846752Z', '2025-03-29T04:28:43.340961Z', '2025-03-29T04:27:07.420447Z', '2025-03-29T03:38:30.209812Z', '2025-03-29T02:23:35.211162Z', '2025-03-29T01:14:22.829633Z', '2025-03-29T00:53:14.608824Z', '2025-03-28T23:24:12.340988Z', '2025-03-28T23:07:46.989292Z', '2025-03-28T22:48:57.740795Z', '2025-03-28T22:37:59.736690Z', '2025-03-28T21:17:56.766255Z', '2025-03-28T21:13:56.703492Z', '2025-03-28T21:12:04.817927Z']}"
5295,KITCTF,"{'challenge_name': ['Intercepted communications:', 'SwampTech Solutions', 'Tinybrain', 'Editor', 'Proto Proto 2', 'Messages From The Stars', 'Proto Proto', 'SongCipher', 'On Thin Ice', 'Notecard', 'MaybeHappyEndingGPT', 'Read Between .tga Lines', 'Contamination', 'Midi Melody', 'Beginner Pwn 2', 'Planetary Storage', 'Beginner Pwn 1', 'Preferential Treatment', 'Blue', 'Party Time! Level 2', 'Homework Help', 'Wamp Audio', 'MuddyWater', 'You Shall Not Passss', 'Lost In Translation', 'Rock my Password', 'Greeting as a Service', 'Party Time!', 'Sunset Boulevard', 'Hidden Message-Board', 'Serialies', 'Beginner Web', 'Oh my buffer', 'Pretty Picture: Double Exposure', 'SlowAPI', 'Join our Discord!'], 'challenge_category': ['Crypto', 'Web', 'Pwn', 'Web', 'Forensics', 'Misc', 'Forensics', 'Crypto', 'OSInt', 'Pwn', 'Web', 'Misc', 'Web', 'Rev', 'Pwn', 'Forensics', 'Pwn', 'Forensics', 'Misc', 'OSInt', 'Forensics', 'Rev', 'Forensics', 'Rev', 'Misc', 'Crypto', 'Pwn', 'OSInt', 'Web', 'Web', 'Web', 'Web', 'Pwn', 'Misc', 'Web', 'Misc'], 'challenge_points': ['150', '200', '194', '150', '289', '193', '214', '148', '84', '294', '300', '85', '150', '184', '50', '200', '25', '150', '209', '150', '50', '298', '200', '150', '158', '150', '192', '50', '100', '50', '20', '100', '258', '25', '50', '25'], 'solve_time': ['2025-03-30T07:31:31.197924Z', '2025-03-30T00:12:54.080076Z', '2025-03-29T22:09:14.161753Z', '2025-03-29T21:31:32.622489Z', '2025-03-29T16:33:56.321330Z', '2025-03-29T16:05:12.427817Z', '2025-03-29T16:01:38.382768Z', '2025-03-29T15:20:42.500004Z', '2025-03-29T14:48:15.210164Z', '2025-03-29T14:07:43.150979Z', '2025-03-29T13:18:39.244300Z', '2025-03-29T13:01:40.075979Z', '2025-03-29T12:30:12.079278Z', '2025-03-29T11:46:58.299083Z', '2025-03-29T11:22:56.780751Z', '2025-03-29T11:16:47.626538Z', '2025-03-29T11:11:36.968401Z', '2025-03-29T10:56:58.526394Z', '2025-03-29T10:52:05.986586Z', '2025-03-29T10:32:53.667748Z', '2025-03-29T10:22:39.256884Z', '2025-03-29T09:58:57.296866Z', '2025-03-29T09:53:32.024771Z', '2025-03-29T09:14:36.796804Z', '2025-03-29T07:53:56.235988Z', '2025-03-29T07:33:19.981369Z', '2025-03-29T06:52:32.662546Z', '2025-03-29T00:52:01.139423Z', '2025-03-28T23:54:33.960941Z', '2025-03-28T22:57:18.096993Z', '2025-03-28T22:49:10.816009Z', '2025-03-28T22:45:20.927307Z', '2025-03-28T22:09:23.558288Z', '2025-03-28T21:37:57.499837Z', '2025-03-28T21:26:17.161454Z', '2025-03-28T21:01:31.929282Z']}"
5295,inFLAGranti,"{'challenge_name': ['Wamp Audio', 'SwampTech Solutions', 'SongCipher', 'Intercepted communications:', 'Oh my buffer', 'Tinybrain', 'Editor', 'Read Between .tga Lines', 'Proto Proto 2', 'Messages From The Stars', 'Lost In Translation', 'Midi Melody', 'MaybeHappyEndingGPT', 'SlowAPI', 'MuddyWater', 'Contamination', 'Proto Proto', 'On Thin Ice', 'You Shall Not Passss', 'Planetary Storage', 'Preferential Treatment', 'Notecard', 'Pretty Picture: Double Exposure', 'Sunset Boulevard', 'Greeting as a Service', 'Blue', 'Hidden Message-Board', 'Beginner Web', 'Homework Help', 'Rock my Password', 'Party Time! Level 2', 'Serialies', 'Beginner Pwn 2', 'Beginner Pwn 1', 'Party Time!', 'Join our Discord!'], 'challenge_category': ['Rev', 'Web', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Web', 'Misc', 'Forensics', 'Misc', 'Misc', 'Rev', 'Web', 'Web', 'Forensics', 'Web', 'Forensics', 'OSInt', 'Rev', 'Forensics', 'Forensics', 'Pwn', 'Misc', 'Web', 'Pwn', 'Misc', 'Web', 'Web', 'Forensics', 'Crypto', 'OSInt', 'Web', 'Pwn', 'Pwn', 'OSInt', 'Misc'], 'challenge_points': ['298', '200', '148', '150', '258', '194', '150', '85', '289', '193', '158', '184', '300', '50', '200', '150', '214', '84', '150', '200', '150', '294', '25', '100', '192', '209', '50', '100', '50', '150', '150', '20', '50', '25', '50', '25'], 'solve_time': ['2025-03-30T12:20:10.353639Z', '2025-03-30T09:03:15.185023Z', '2025-03-30T08:24:19.560556Z', '2025-03-30T07:10:10.876708Z', '2025-03-30T01:21:39.205267Z', '2025-03-29T23:30:25.530119Z', '2025-03-29T22:22:23.998804Z', '2025-03-29T17:42:25.495314Z', '2025-03-29T16:24:14.715356Z', '2025-03-29T14:14:38.769505Z', '2025-03-29T13:47:39.344072Z', '2025-03-29T13:25:26.523597Z', '2025-03-29T13:19:32.495586Z', '2025-03-29T11:30:39.288463Z', '2025-03-29T10:39:20.957301Z', '2025-03-29T10:14:54.747245Z', '2025-03-29T09:54:59.031174Z', '2025-03-29T09:05:13.274496Z', '2025-03-29T08:53:07.062647Z', '2025-03-29T08:42:12.201440Z', '2025-03-29T08:37:43.801581Z', '2025-03-29T07:35:24.600072Z', '2025-03-29T07:04:55.640786Z', '2025-03-29T00:06:32.085592Z', '2025-03-28T23:41:00.559785Z', '2025-03-28T23:24:27.734359Z', '2025-03-28T23:08:12.849717Z', '2025-03-28T22:43:25.551023Z', '2025-03-28T22:13:13.766340Z', '2025-03-28T22:09:51.418487Z', '2025-03-28T22:07:39.668564Z', '2025-03-28T21:36:10.016183Z', '2025-03-28T21:29:40.562042Z', '2025-03-28T21:11:56.436191Z', '2025-03-28T21:11:05.091136Z', '2025-03-28T21:04:11.628600Z']}"
5195,0xL4ugh - Free Palestine,"{'challenge_name': ['Tinybrain', 'Midi Melody', 'Intercepted communications:', 'SwampTech Solutions', 'Editor', 'SongCipher', 'On Thin Ice', 'Messages From The Stars', 'Wamp Audio', 'Oh my buffer', 'Greeting as a Service', 'Notecard', 'Proto Proto 2', 'Blue', 'Proto Proto', 'Contamination', 'MaybeHappyEndingGPT', 'Sunset Boulevard', 'Party Time! Level 2', 'Hidden Message-Board', 'MuddyWater', 'Lost In Translation', 'Rock my Password', 'Pretty Picture: Double Exposure', 'Beginner Web', 'Beginner Pwn 2', 'You Shall Not Passss', 'Party Time!', 'Beginner Pwn 1', 'Preferential Treatment', 'SlowAPI', 'Serialies', 'Planetary Storage', 'Homework Help', 'Join our Discord!'], 'challenge_category': ['Pwn', 'Rev', 'Crypto', 'Web', 'Web', 'Crypto', 'OSInt', 'Misc', 'Rev', 'Pwn', 'Pwn', 'Pwn', 'Forensics', 'Misc', 'Forensics', 'Web', 'Web', 'Web', 'OSInt', 'Web', 'Forensics', 'Misc', 'Crypto', 'Misc', 'Web', 'Pwn', 'Rev', 'OSInt', 'Pwn', 'Forensics', 'Web', 'Web', 'Forensics', 'Forensics', 'Misc'], 'challenge_points': ['194', '184', '150', '200', '150', '148', '84', '193', '298', '258', '192', '294', '289', '209', '214', '150', '300', '100', '150', '50', '200', '158', '150', '25', '100', '50', '150', '50', '25', '150', '50', '20', '200', '50', '25'], 'solve_time': ['2025-03-30T08:03:06.836850Z', '2025-03-30T02:48:17.225844Z', '2025-03-30T02:15:24.262051Z', '2025-03-30T00:05:54.165210Z', '2025-03-29T21:53:45.622871Z', '2025-03-29T21:49:18.927205Z', '2025-03-29T19:43:05.523119Z', '2025-03-29T18:20:27.680334Z', '2025-03-29T11:33:05.008916Z', '2025-03-29T04:59:22.374527Z', '2025-03-29T04:26:07.481957Z', '2025-03-29T03:37:43.516570Z', '2025-03-29T01:38:06.940434Z', '2025-03-29T00:06:48.326698Z', '2025-03-28T23:45:02.157533Z', '2025-03-28T22:56:06.559069Z', '2025-03-28T22:42:42.416478Z', '2025-03-28T22:04:58.904063Z', '2025-03-28T21:58:41.754441Z', '2025-03-28T21:57:52.611014Z', '2025-03-28T21:48:35.518914Z', '2025-03-28T21:43:33.651397Z', '2025-03-28T21:43:23.303285Z', '2025-03-28T21:39:57.179987Z', '2025-03-28T21:36:22.930610Z', '2025-03-28T21:36:01.428656Z', '2025-03-28T21:28:16.323830Z', '2025-03-28T21:25:05.594171Z', '2025-03-28T21:22:05.190415Z', '2025-03-28T21:18:32.045908Z', '2025-03-28T21:15:17.279685Z', '2025-03-28T21:13:37.687359Z', '2025-03-28T21:10:35.445387Z', '2025-03-28T21:05:04.821253Z', '2025-03-28T21:01:32.236328Z']}"
5062,HCS,"{'challenge_name': ['On Thin Ice', 'Midi Melody', 'Messages From The Stars', 'SwampTech Solutions', 'Tinybrain', 'Intercepted communications:', 'Editor', 'Wamp Audio', 'You Shall Not Passss', 'Proto Proto 2', 'MuddyWater', 'Rock my Password', 'Proto Proto', 'Notecard', 'Lost In Translation', 'Beginner Pwn 2', 'Beginner Pwn 1', 'Serialies', 'Greeting as a Service', 'Contamination', 'Homework Help', 'Sunset Boulevard', 'Hidden Message-Board', 'Oh my buffer', 'Beginner Web', 'Pretty Picture: Double Exposure', 'Join our Discord!', 'SlowAPI', 'Party Time! Level 2', 'Party Time!', 'Blue', 'Planetary Storage', 'MaybeHappyEndingGPT', 'Preferential Treatment'], 'challenge_category': ['OSInt', 'Rev', 'Misc', 'Web', 'Pwn', 'Crypto', 'Web', 'Rev', 'Rev', 'Forensics', 'Forensics', 'Crypto', 'Forensics', 'Pwn', 'Misc', 'Pwn', 'Pwn', 'Web', 'Pwn', 'Web', 'Forensics', 'Web', 'Web', 'Pwn', 'Web', 'Misc', 'Misc', 'Web', 'OSInt', 'OSInt', 'Misc', 'Forensics', 'Web', 'Forensics'], 'challenge_points': ['84', '184', '193', '200', '194', '150', '150', '298', '150', '289', '200', '150', '214', '294', '158', '50', '25', '20', '192', '150', '50', '100', '50', '258', '100', '25', '25', '50', '150', '50', '209', '200', '300', '150'], 'solve_time': ['2025-03-30T05:33:05.757580Z', '2025-03-30T04:33:14.203521Z', '2025-03-30T03:38:27.156356Z', '2025-03-29T23:17:22.273590Z', '2025-03-29T22:24:36.967598Z', '2025-03-29T21:31:25.631500Z', '2025-03-29T21:08:48.972682Z', '2025-03-29T20:16:27.230183Z', '2025-03-29T18:07:50.006088Z', '2025-03-29T15:41:11.739816Z', '2025-03-29T14:17:48.301171Z', '2025-03-29T07:24:41.685611Z', '2025-03-29T06:10:23.878360Z', '2025-03-29T05:20:36.066437Z', '2025-03-29T04:47:02.039428Z', '2025-03-29T04:32:38.667456Z', '2025-03-29T04:27:11.206516Z', '2025-03-29T04:22:24.003674Z', '2025-03-29T03:49:09.163985Z', '2025-03-29T00:23:25.426974Z', '2025-03-28T23:38:41.447546Z', '2025-03-28T23:26:08.081315Z', '2025-03-28T23:11:41.130436Z', '2025-03-28T22:39:38.408636Z', '2025-03-28T22:36:11.075403Z', '2025-03-28T22:30:34.747348Z', '2025-03-28T22:28:34.351282Z', '2025-03-28T22:24:40.783086Z', '2025-03-28T22:09:54.330760Z', '2025-03-28T21:58:29.558882Z', '2025-03-28T21:41:30.352476Z', '2025-03-28T21:40:28.965606Z', '2025-03-28T21:31:56.169396Z', '2025-03-28T21:25:20.930683Z']}"
4813,CSG,"{'challenge_name': ['Notecard', 'Proto Proto 2', 'Proto Proto', 'SwampTech Solutions', 'Tinybrain', 'SongCipher', 'Greeting as a Service', 'Intercepted communications:', 'Editor', 'Messages From The Stars', 'Contamination', 'Read Between .tga Lines', 'Oh my buffer', 'MaybeHappyEndingGPT', 'Lost In Translation', 'On Thin Ice', 'Blue', 'MuddyWater', 'Party Time! Level 2', 'Planetary Storage', 'Homework Help', 'Beginner Pwn 2', 'Beginner Pwn 1', 'You Shall Not Passss', 'Sunset Boulevard', 'Hidden Message-Board', 'SlowAPI', 'Pretty Picture: Double Exposure', 'Preferential Treatment', 'Beginner Web', 'Serialies', 'Party Time!', 'Rock my Password', 'Join our Discord!'], 'challenge_category': ['Pwn', 'Forensics', 'Forensics', 'Web', 'Pwn', 'Crypto', 'Pwn', 'Crypto', 'Web', 'Misc', 'Web', 'Misc', 'Pwn', 'Web', 'Misc', 'OSInt', 'Misc', 'Forensics', 'OSInt', 'Forensics', 'Forensics', 'Pwn', 'Pwn', 'Rev', 'Web', 'Web', 'Web', 'Misc', 'Forensics', 'Web', 'Web', 'OSInt', 'Crypto', 'Misc'], 'challenge_points': ['294', '289', '214', '200', '194', '148', '192', '150', '150', '193', '150', '85', '258', '300', '158', '84', '209', '200', '150', '200', '50', '50', '25', '150', '100', '50', '50', '25', '150', '100', '20', '50', '150', '25'], 'solve_time': ['2025-03-30T20:29:16.294937Z', '2025-03-30T07:07:15.541613Z', '2025-03-30T04:07:55.124201Z', '2025-03-30T02:52:28.414761Z', '2025-03-30T01:55:57.906486Z', '2025-03-30T00:49:46.327114Z', '2025-03-30T00:40:59.737894Z', '2025-03-29T23:50:39.347362Z', '2025-03-29T22:27:33.419116Z', '2025-03-29T22:26:01.399271Z', '2025-03-29T21:53:44.223788Z', '2025-03-29T21:34:11.127181Z', '2025-03-29T20:55:41.235708Z', '2025-03-29T20:45:46.895664Z', '2025-03-29T19:49:28.132153Z', '2025-03-29T19:41:46.774772Z', '2025-03-29T19:16:56.304625Z', '2025-03-29T18:43:51.748612Z', '2025-03-29T18:33:37.627604Z', '2025-03-29T16:36:00.862079Z', '2025-03-29T15:58:16.768317Z', '2025-03-29T06:08:24.905942Z', '2025-03-29T06:04:37.005845Z', '2025-03-29T04:42:25.965399Z', '2025-03-29T03:48:43.746444Z', '2025-03-29T03:19:40.552678Z', '2025-03-29T02:48:05.339297Z', '2025-03-29T02:31:27.180358Z', '2025-03-29T02:15:28.081324Z', '2025-03-29T02:10:16.912324Z', '2025-03-29T02:08:37.159470Z', '2025-03-29T01:12:14.394230Z', '2025-03-29T00:39:31.711753Z', '2025-03-29T00:04:56.875756Z']}"
4719,FlagMotori,"{'challenge_name': ['Midi Melody', 'On Thin Ice', 'SwampTech Solutions', 'SongCipher', 'Oh my buffer', 'Tinybrain', 'Intercepted communications:', 'Editor', 'Notecard', 'Proto Proto 2', 'Proto Proto', 'Greeting as a Service', 'Lost In Translation', 'MuddyWater', 'Contamination', 'MaybeHappyEndingGPT', 'Blue', 'You Shall Not Passss', 'Planetary Storage', 'Preferential Treatment', 'Join our Discord!', 'Party Time! Level 2', 'Homework Help', 'Sunset Boulevard', 'Pretty Picture: Double Exposure', 'Rock my Password', 'Hidden Message-Board', 'Beginner Web', 'Party Time!', 'SlowAPI', 'Serialies', 'Beginner Pwn 1', 'Beginner Pwn 2'], 'challenge_category': ['Rev', 'OSInt', 'Web', 'Crypto', 'Pwn', 'Pwn', 'Crypto', 'Web', 'Pwn', 'Forensics', 'Forensics', 'Pwn', 'Misc', 'Forensics', 'Web', 'Web', 'Misc', 'Rev', 'Forensics', 'Forensics', 'Misc', 'OSInt', 'Forensics', 'Web', 'Misc', 'Crypto', 'Web', 'Web', 'OSInt', 'Web', 'Web', 'Pwn', 'Pwn'], 'challenge_points': ['184', '84', '200', '148', '258', '194', '150', '150', '294', '289', '214', '192', '158', '200', '150', '300', '209', '150', '200', '150', '25', '150', '50', '100', '25', '150', '50', '100', '50', '50', '20', '25', '50'], 'solve_time': ['2025-03-30T20:17:26.300053Z', '2025-03-30T18:36:04.052038Z', '2025-03-30T17:55:19.018039Z', '2025-03-30T17:32:25.549757Z', '2025-03-30T15:47:57.776264Z', '2025-03-30T11:02:09.436397Z', '2025-03-29T22:03:21.136444Z', '2025-03-29T21:26:57.011830Z', '2025-03-29T19:06:08.108254Z', '2025-03-29T17:37:01.484848Z', '2025-03-29T15:40:03.591760Z', '2025-03-29T11:55:50.603987Z', '2025-03-29T06:21:45.608120Z', '2025-03-29T04:09:03.148088Z', '2025-03-29T02:03:24.179758Z', '2025-03-29T00:39:52.451456Z', '2025-03-29T00:33:31.864322Z', '2025-03-29T00:07:49.170314Z', '2025-03-28T23:46:31.190094Z', '2025-03-28T23:35:28.005127Z', '2025-03-28T23:05:43.744864Z', '2025-03-28T23:04:52.694639Z', '2025-03-28T22:44:03.410298Z', '2025-03-28T22:29:30.052194Z', '2025-03-28T22:19:39.257516Z', '2025-03-28T22:16:21.100589Z', '2025-03-28T22:13:10.480280Z', '2025-03-28T22:03:31.848941Z', '2025-03-28T21:56:41.131275Z', '2025-03-28T21:42:14.040614Z', '2025-03-28T21:16:15.555798Z', '2025-03-28T21:13:57.418651Z', '2025-03-28T21:11:36.413983Z']}"
4708,0xHUST,"{'challenge_name': ['Messages From The Stars', 'SongCipher', 'Intercepted communications:', 'Proto Proto', 'Midi Melody', 'MaybeHappyEndingGPT', 'On Thin Ice', 'SwampTech Solutions', 'Tinybrain', 'Editor', 'Lost In Translation', 'MuddyWater', 'Blue', 'Party Time! Level 2', 'Read Between .tga Lines', 'Pretty Picture: Double Exposure', 'Homework Help', 'Notecard', 'Sunset Boulevard', 'Contamination', 'SlowAPI', 'Beginner Web', 'Greeting as a Service', 'Hidden Message-Board', 'Rock my Password', 'Party Time!', 'Join our Discord!', 'Oh my buffer', 'Serialies', 'Beginner Pwn 2', 'Beginner Pwn 1', 'Planetary Storage', 'You Shall Not Passss', 'Preferential Treatment'], 'challenge_category': ['Misc', 'Crypto', 'Crypto', 'Forensics', 'Rev', 'Web', 'OSInt', 'Web', 'Pwn', 'Web', 'Misc', 'Forensics', 'Misc', 'OSInt', 'Misc', 'Misc', 'Forensics', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Pwn', 'Web', 'Crypto', 'OSInt', 'Misc', 'Pwn', 'Web', 'Pwn', 'Pwn', 'Forensics', 'Rev', 'Forensics'], 'challenge_points': ['193', '148', '150', '214', '184', '300', '84', '200', '194', '150', '158', '200', '209', '150', '85', '25', '50', '294', '100', '150', '50', '100', '192', '50', '150', '50', '25', '258', '20', '50', '25', '200', '150', '150'], 'solve_time': ['2025-03-30T17:58:47.795262Z', '2025-03-30T16:17:29.910135Z', '2025-03-30T15:04:33.010253Z', '2025-03-30T08:06:29.788219Z', '2025-03-30T07:53:53.755641Z', '2025-03-30T07:22:34.401048Z', '2025-03-30T06:59:13.763884Z', '2025-03-30T06:37:49.331486Z', '2025-03-30T06:05:39.932593Z', '2025-03-30T03:30:21.586845Z', '2025-03-29T17:45:17.622954Z', '2025-03-29T17:24:46.957599Z', '2025-03-29T16:31:20.481436Z', '2025-03-29T15:53:59.739805Z', '2025-03-29T14:33:53.535506Z', '2025-03-29T13:06:04.739629Z', '2025-03-29T10:23:33.699712Z', '2025-03-29T08:58:33.076296Z', '2025-03-29T08:16:58.301098Z', '2025-03-29T08:09:53.910595Z', '2025-03-29T07:51:00.810098Z', '2025-03-29T07:16:06.334805Z', '2025-03-29T06:48:16.148202Z', '2025-03-29T06:30:55.442483Z', '2025-03-29T05:50:06.656050Z', '2025-03-29T04:54:40.816881Z', '2025-03-29T03:03:36.078140Z', '2025-03-29T02:47:29.730980Z', '2025-03-29T02:37:21.064941Z', '2025-03-29T01:44:18.598393Z', '2025-03-29T01:40:10.620951Z', '2025-03-28T23:49:19.491389Z', '2025-03-28T22:07:48.935029Z', '2025-03-28T22:00:43.437904Z']}"
4551,saladstream,"{'challenge_name': ['Wamp Audio', 'Tinybrain', 'Midi Melody', 'Messages From The Stars', 'SwampTech Solutions', 'Intercepted communications:', 'Contamination', 'Editor', 'Read Between .tga Lines', 'Sunset Boulevard', 'SlowAPI', 'Blue', 'Lost In Translation', 'MuddyWater', 'SongCipher', 'Proto Proto 2', 'Homework Help', 'Proto Proto', 'Beginner Pwn 2', 'Beginner Pwn 1', 'Planetary Storage', 'Pretty Picture: Double Exposure', 'MaybeHappyEndingGPT', 'Preferential Treatment', 'Hidden Message-Board', 'Beginner Web', 'Rock my Password', 'On Thin Ice', 'Party Time! Level 2', 'Serialies', 'Party Time!', 'You Shall Not Passss', 'Join our Discord!'], 'challenge_category': ['Rev', 'Pwn', 'Rev', 'Misc', 'Web', 'Crypto', 'Web', 'Web', 'Misc', 'Web', 'Web', 'Misc', 'Misc', 'Forensics', 'Crypto', 'Forensics', 'Forensics', 'Forensics', 'Pwn', 'Pwn', 'Forensics', 'Misc', 'Web', 'Forensics', 'Web', 'Web', 'Crypto', 'OSInt', 'OSInt', 'Web', 'OSInt', 'Rev', 'Misc'], 'challenge_points': ['298', '194', '184', '193', '200', '150', '150', '150', '85', '100', '50', '209', '158', '200', '148', '289', '50', '214', '50', '25', '200', '25', '300', '150', '50', '100', '150', '84', '150', '20', '50', '150', '25'], 'solve_time': ['2025-03-30T20:54:41.138402Z', '2025-03-30T09:25:07.963731Z', '2025-03-30T07:07:56.552723Z', '2025-03-30T04:39:29.172842Z', '2025-03-30T02:58:09.220424Z', '2025-03-30T00:38:05.726870Z', '2025-03-30T00:19:07.758480Z', '2025-03-29T23:06:51.928207Z', '2025-03-29T19:32:38.923576Z', '2025-03-29T19:28:06.618038Z', '2025-03-29T19:00:52.979081Z', '2025-03-29T18:50:58.098637Z', '2025-03-29T18:27:16.057426Z', '2025-03-29T17:58:41.140342Z', '2025-03-29T04:05:24.215840Z', '2025-03-29T02:18:06.094688Z', '2025-03-29T01:37:10.984051Z', '2025-03-29T01:00:50.102640Z', '2025-03-29T01:00:34.350858Z', '2025-03-29T00:46:24.837041Z', '2025-03-29T00:26:02.202530Z', '2025-03-28T23:58:38.954926Z', '2025-03-28T23:57:32.384397Z', '2025-03-28T23:54:16.601868Z', '2025-03-28T23:42:25.700643Z', '2025-03-28T23:34:18.039171Z', '2025-03-28T23:23:45.872283Z', '2025-03-28T22:53:22.377077Z', '2025-03-28T22:49:51.778404Z', '2025-03-28T22:18:02.199766Z', '2025-03-28T22:10:43.605082Z', '2025-03-28T21:52:19.793687Z', '2025-03-28T21:09:12.640591Z']}"
