points,name,challenge
7613,SPRUSH,"{'challenge_name': ['Free the monsters', 'Molly Revenge', 'What the hecc', '/dev/mem', 'factordb.com', 'ASCQL', 'Perfect Bird', 'Baby Sandbox', 'Magic Curves', 'LLL', 'lepton2', 'Molly', 'Vectorial RSA', 'RuleMaster', 'factor.com', 'zStego', 'Lepton', 'Online Python Editor', 'Indianess', 'sudo kurl https://spacewar', 'Er Titus', 'Sanity Check'], 'challenge_category': ['Pwn', 'Rev', 'Crypto', 'Pwn', 'Crypto', 'Web', 'Misc', 'Web', 'Crypto', 'Rev', 'Crypto', 'Rev', 'Crypto', 'Rev', 'Crypto', 'Web', 'Crypto', 'Web', 'Rev', 'Rev', 'Misc', 'Misc'], 'challenge_points': ['454', '500', '494', '499', '328', '496', '405', '442', '489', '492', '460', '498', '405', '489', '183', '475', '50', '50', '254', '50', '50', '50'], 'solve_time': ['2025-02-23T11:26:26.972432Z', '2025-02-23T10:19:48.128524Z', '2025-02-23T08:18:38.018551Z', '2025-02-23T04:19:26.156586Z', '2025-02-23T02:14:13.468238Z', '2025-02-23T01:15:28.650051Z', '2025-02-22T23:51:36.232188Z', '2025-02-22T23:13:39.816301Z', '2025-02-22T22:53:48.689144Z', '2025-02-22T22:43:02.712983Z', '2025-02-22T22:23:10.113221Z', '2025-02-22T21:14:37.156694Z', '2025-02-22T20:24:13.250254Z', '2025-02-22T19:41:43.782782Z', '2025-02-22T18:27:21.240717Z', '2025-02-22T18:08:14.879547Z', '2025-02-22T17:55:46.229194Z', '2025-02-22T16:42:24.117259Z', '2025-02-22T16:09:08.116529Z', '2025-02-22T14:57:21.497146Z', '2025-02-22T14:09:40.716496Z', '2025-02-22T14:04:44.717067Z']}"
6595,BKISC,"{'challenge_name': ['Baby DLP', 'lepton2', 'What the hecc', 'Magic Curves', 'zStego', 'RuleMaster', 'Vectorial RSA', 'LLL', 'factor.com', 'Perfect Bird', 'Virtual Insanity', 'Er Titus', 'Baby Sandbox', 'Molly', 'Indianess', 'Lepton', 'sudo kurl https://spacewar', 'Online Python Editor', 'factordb.com', 'Sanity Check'], 'challenge_category': ['Crypto', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Rev', 'Crypto', 'Rev', 'Crypto', 'Misc', 'Pwn', 'Misc', 'Web', 'Rev', 'Rev', 'Crypto', 'Rev', 'Web', 'Crypto', 'Misc'], 'challenge_points': ['489', '460', '494', '489', '475', '489', '405', '492', '183', '405', '442', '50', '442', '498', '254', '50', '50', '50', '328', '50'], 'solve_time': ['2025-02-23T13:54:10.655408Z', '2025-02-23T13:35:36.587233Z', '2025-02-23T13:35:18.200966Z', '2025-02-23T08:14:47.689036Z', '2025-02-23T06:21:38.885591Z', '2025-02-23T05:46:38.708062Z', '2025-02-23T03:40:36.469111Z', '2025-02-23T02:37:57.359099Z', '2025-02-23T02:19:01.997845Z', '2025-02-23T01:11:50.310158Z', '2025-02-22T19:42:04.730299Z', '2025-02-22T17:39:39.778495Z', '2025-02-22T17:35:23.167709Z', '2025-02-22T17:29:19.683299Z', '2025-02-22T16:59:52.868138Z', '2025-02-22T16:32:50.047756Z', '2025-02-22T16:07:39.916269Z', '2025-02-22T15:24:00.289694Z', '2025-02-22T14:50:43.953955Z', '2025-02-22T14:15:22.265471Z']}"
5721,MNGA,"{'challenge_name': ['Golf', 'What the hecc', 'Indianess', 'sudo kurl https://spacewar', 'Free the monsters', 'Brainrot', 'Canon Event', 'lepton2', 'Magic Curves', 'Vectorial RSA', 'Baby DLP', 'Lepton', 'Online Python Editor', 'factordb.com', 'Virtual Insanity', 'Er Titus', 'factor.com', 'Sanity Check'], 'challenge_category': ['Misc', 'Crypto', 'Rev', 'Rev', 'Pwn', 'Crypto', 'Pwn', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Crypto', 'Pwn', 'Misc', 'Crypto', 'Misc'], 'challenge_points': ['482', '494', '254', '50', '454', '499', '492', '460', '489', '405', '489', '50', '50', '328', '442', '50', '183', '50'], 'solve_time': ['2025-02-23T13:52:29.175019Z', '2025-02-23T11:55:14.834058Z', '2025-02-23T07:24:57.577441Z', '2025-02-23T06:35:02.914993Z', '2025-02-23T06:17:04.436132Z', '2025-02-23T05:43:23.206437Z', '2025-02-23T00:05:21.609089Z', '2025-02-22T19:34:42.676693Z', '2025-02-22T18:18:01.502343Z', '2025-02-22T16:45:42.553443Z', '2025-02-22T16:44:17.200181Z', '2025-02-22T15:44:47.373135Z', '2025-02-22T15:18:56.597998Z', '2025-02-22T15:12:28.071993Z', '2025-02-22T14:45:02.846645Z', '2025-02-22T14:27:53.822559Z', '2025-02-22T14:20:00.363442Z', '2025-02-22T14:01:39.058608Z']}"
5183,Srdnlen,"{'challenge_name': ['Feedback Form', 'Indianess', 'Golf', 'sudo kurl https://spacewar', 'lepton2', 'What the hecc', 'factordb.com', 'Perfect Bird', 'Vectorial RSA', 'Baby Sandbox', 'Canon Event', 'Brainrot', 'Online Python Editor', 'Baby DLP', 'Lepton', 'factor.com', 'Er Titus', 'Sanity Check'], 'challenge_category': ['Misc', 'Rev', 'Misc', 'Rev', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Crypto', 'Web', 'Pwn', 'Crypto', 'Web', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Misc'], 'challenge_points': ['0', '254', '482', '50', '460', '494', '328', '405', '405', '442', '492', '499', '50', '489', '50', '183', '50', '50'], 'solve_time': ['2025-02-23T12:38:53.635079Z', '2025-02-23T12:17:00.646118Z', '2025-02-23T11:09:50.036571Z', '2025-02-23T11:08:21.078123Z', '2025-02-23T02:41:09.246607Z', '2025-02-23T01:15:19.521415Z', '2025-02-22T22:59:40.964697Z', '2025-02-22T22:43:18.189592Z', '2025-02-22T21:43:34.905096Z', '2025-02-22T20:31:08.437439Z', '2025-02-22T19:01:14.109271Z', '2025-02-22T16:57:40.714404Z', '2025-02-22T16:31:53.698024Z', '2025-02-22T16:03:12.158075Z', '2025-02-22T15:58:10.450377Z', '2025-02-22T15:48:27.723257Z', '2025-02-22T14:11:56.398802Z', '2025-02-22T14:00:37.796929Z']}"
4785,The Flat Network Society,"{'challenge_name': ['Perfect Bird', 'Sanity Check', 'LLL', '/dev/mem', 'RuleMaster', 'Canon Event', 'Lepton', 'Vectorial RSA', 'Baby DLP', 'Er Titus', 'sudo kurl https://spacewar', 'Brainrot', 'Indianess', 'Online Python Editor', 'factor.com', 'factordb.com'], 'challenge_category': ['Misc', 'Misc', 'Rev', 'Pwn', 'Rev', 'Pwn', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Rev', 'Crypto', 'Rev', 'Web', 'Crypto', 'Crypto'], 'challenge_points': ['405', '50', '492', '499', '489', '492', '50', '405', '489', '50', '50', '499', '254', '50', '183', '328'], 'solve_time': ['2025-02-23T12:54:04.065015Z', '2025-02-23T12:08:23.609785Z', '2025-02-23T01:21:15.365079Z', '2025-02-22T23:56:42.330667Z', '2025-02-22T23:06:28.462064Z', '2025-02-22T21:45:13.444395Z', '2025-02-22T19:37:52.642862Z', '2025-02-22T19:24:50.641245Z', '2025-02-22T18:34:57.609070Z', '2025-02-22T15:55:22.802592Z', '2025-02-22T15:48:52.855312Z', '2025-02-22T15:24:25.699103Z', '2025-02-22T14:49:53.584063Z', '2025-02-22T14:49:35.922219Z', '2025-02-22T14:31:23.304899Z', '2025-02-22T14:06:18.444454Z']}"
4736,Thread in the Needle,"{'challenge_name': ['Feedback Form', 'zStego', 'Molly Revenge', 'Baby DLP', 'factordb.com', 'Magic Curves', 'Perfect Bird', 'Molly', 'Vectorial RSA', 'Indianess', 'factor.com', 'lepton2', 'Lepton', 'Online Python Editor', 'Er Titus', 'Sanity Check', 'sudo kurl https://spacewar'], 'challenge_category': ['Misc', 'Web', 'Rev', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Rev', 'Crypto', 'Rev', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Misc', 'Misc', 'Rev'], 'challenge_points': ['0', '475', '500', '489', '328', '489', '405', '498', '405', '254', '183', '460', '50', '50', '50', '50', '50'], 'solve_time': ['2025-02-23T13:01:01.084619Z', '2025-02-23T10:32:14.412646Z', '2025-02-23T10:06:31.984458Z', '2025-02-23T02:04:02.898070Z', '2025-02-23T01:20:13.189053Z', '2025-02-23T00:48:52.650293Z', '2025-02-22T23:30:19.085742Z', '2025-02-22T22:47:45.706159Z', '2025-02-22T21:33:50.703790Z', '2025-02-22T20:22:06.965434Z', '2025-02-22T19:15:05.599868Z', '2025-02-22T18:41:34.314280Z', '2025-02-22T18:24:30.498709Z', '2025-02-22T17:06:58.687826Z', '2025-02-22T15:48:26.787118Z', '2025-02-22T15:45:11.401460Z', '2025-02-22T14:50:13.543162Z']}"
4683,chat are we cooked,"{'challenge_name': ['lepton2', 'Baby DLP', 'Feedback Form', 'Baby Sandbox', 'ASCQL', 'RuleMaster', 'Vectorial RSA', 'Golf', 'Online Python Editor', 'Indianess', 'sudo kurl https://spacewar', 'Lepton', 'factordb.com', 'factor.com', 'Perfect Bird', 'Er Titus', 'Sanity Check'], 'challenge_category': ['Crypto', 'Crypto', 'Misc', 'Web', 'Web', 'Rev', 'Crypto', 'Misc', 'Web', 'Rev', 'Rev', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['460', '489', '0', '442', '496', '489', '405', '482', '50', '254', '50', '50', '328', '183', '405', '50', '50'], 'solve_time': ['2025-02-23T13:57:10.261520Z', '2025-02-23T13:50:34.946925Z', '2025-02-23T12:39:32.339161Z', '2025-02-23T01:36:31.345910Z', '2025-02-23T00:19:28.958047Z', '2025-02-22T19:34:31.349584Z', '2025-02-22T18:34:53.985693Z', '2025-02-22T18:15:57.115507Z', '2025-02-22T18:10:57.115924Z', '2025-02-22T16:34:57.338479Z', '2025-02-22T16:17:53.777712Z', '2025-02-22T15:25:15.260939Z', '2025-02-22T15:02:13.584691Z', '2025-02-22T14:51:34.376166Z', '2025-02-22T14:37:59.877957Z', '2025-02-22T14:10:09.383255Z', '2025-02-22T14:00:17.588114Z']}"
4677,Tower of Hanoi,"{'challenge_name': ['Free the monsters', 'Golf', '/dev/mem', 'zStego', 'Lost', 'Vectorial RSA', 'sudo kurl https://spacewar', 'Perfect Bird', 'factor.com', 'LLL', 'factordb.com', 'Online Python Editor', 'Indianess', 'Er Titus', 'Sanity Check'], 'challenge_category': ['Pwn', 'Misc', 'Pwn', 'Web', 'Misc', 'Crypto', 'Rev', 'Misc', 'Crypto', 'Rev', 'Crypto', 'Web', 'Rev', 'Misc', 'Misc'], 'challenge_points': ['454', '482', '499', '475', '500', '405', '50', '405', '183', '492', '328', '50', '254', '50', '50'], 'solve_time': ['2025-02-23T12:59:21.328009Z', '2025-02-23T12:14:49.266420Z', '2025-02-23T11:05:31.146841Z', '2025-02-23T07:52:29.663640Z', '2025-02-22T23:14:02.881189Z', '2025-02-22T21:48:11.369091Z', '2025-02-22T20:56:30.441567Z', '2025-02-22T19:30:48.791919Z', '2025-02-22T18:49:06.126322Z', '2025-02-22T18:42:14.631982Z', '2025-02-22T18:32:19.798518Z', '2025-02-22T16:09:13.487207Z', '2025-02-22T14:27:57.317769Z', '2025-02-22T14:03:51.508382Z', '2025-02-22T14:00:32.496873Z']}"
4676,The Something Something,"{'challenge_name': ['Free the monsters', 'factor.com', 'Magic Curves', 'zStego', 'Vectorial RSA', 'What the hecc', 'lepton2', 'Virtual Insanity', 'Indianess', 'Baby Sandbox', 'Er Titus', 'Online Python Editor', 'sudo kurl https://spacewar', 'Lepton', 'factordb.com', 'Sanity Check'], 'challenge_category': ['Pwn', 'Crypto', 'Crypto', 'Web', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Rev', 'Web', 'Misc', 'Web', 'Rev', 'Crypto', 'Crypto', 'Misc'], 'challenge_points': ['454', '183', '489', '475', '405', '494', '460', '442', '254', '442', '50', '50', '50', '50', '328', '50'], 'solve_time': ['2025-02-23T11:41:37.021129Z', '2025-02-23T10:45:29.356485Z', '2025-02-23T10:08:56.073698Z', '2025-02-23T06:59:20.058989Z', '2025-02-22T21:26:21.859290Z', '2025-02-22T20:21:02.783174Z', '2025-02-22T19:26:21.994345Z', '2025-02-22T18:50:52.559118Z', '2025-02-22T17:57:10.162431Z', '2025-02-22T17:40:56.778692Z', '2025-02-22T15:53:29.927035Z', '2025-02-22T15:37:56.754163Z', '2025-02-22T15:28:51.532632Z', '2025-02-22T15:14:12.089103Z', '2025-02-22T15:04:04.207642Z', '2025-02-22T14:48:23.733030Z']}"
4355,MadrHacks,"{'challenge_name': ['Canon Event', 'Free the monsters', 'LLL', 'Magic Curves', 'Vectorial RSA', 'RuleMaster', 'Perfect Bird', 'factor.com', 'Virtual Insanity', 'Indianess', 'Lepton', 'sudo kurl https://spacewar', 'Online Python Editor', 'Er Titus', 'Sanity Check'], 'challenge_category': ['Pwn', 'Pwn', 'Rev', 'Crypto', 'Crypto', 'Rev', 'Misc', 'Crypto', 'Pwn', 'Rev', 'Crypto', 'Rev', 'Web', 'Misc', 'Misc'], 'challenge_points': ['492', '454', '492', '489', '405', '489', '405', '183', '442', '254', '50', '50', '50', '50', '50'], 'solve_time': ['2025-02-23T12:56:09.885121Z', '2025-02-23T10:15:08.762782Z', '2025-02-23T01:25:11.768518Z', '2025-02-22T23:23:43.473679Z', '2025-02-22T20:16:42.225304Z', '2025-02-22T20:07:23.393230Z', '2025-02-22T18:01:41.939103Z', '2025-02-22T17:25:27.347193Z', '2025-02-22T16:38:18.641731Z', '2025-02-22T16:12:20.997129Z', '2025-02-22T16:10:48.102128Z', '2025-02-22T15:39:06.216568Z', '2025-02-22T14:39:53.991304Z', '2025-02-22T14:01:22.367209Z', '2025-02-22T14:00:54.007163Z']}"
