points,name,challenge
14796,thehackerscrew,"{'challenge_name': ['Chat', 'Down the Rabbit Hole', 'E-Corp Part 2', 'Three Words 3', 'Three Words 1', 'Number Champion', 'Finally, an un-strings-able problem', 'OTP', 'Autokey Cipher', 'secbof', 'Maps', 'Safe Word', 'RETirement Plan', 'Three Words 2', 'Tic Tac Toe', 'Trapped in Plain Sight 2', 'Retro Cookie Clicker', 'Trapped in Plain Sight 1', 'Forgotten Footprints', 'Espathra-Csatu-Banette', 'Streamified', 'Ostrich Algorithm', 'DCΔ', 'RSA'], 'challenge_category': ['Web', 'Misc', 'Binary Exploitation', 'OSINT', 'OSINT', 'Web', 'Forensics', 'Web', 'Cryptography', 'Binary Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'Binary Exploitation', 'OSINT', 'Binary Exploitation', 'Misc', 'Reverse Engineering', 'Misc', 'Forensics', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Cryptography', 'Cryptography'], 'challenge_points': ['983', '892', '991', '804', '769', '400', '944', '784', '142', '844', '896', '852', '799', '651', '701', '100', '778', '100', '691', '775', '100', '600', '100', '100'], 'solve_time': ['2025-03-15T08:12:15.786831Z', '2025-03-15T07:05:15.320597Z', '2025-03-15T06:40:48.334083Z', '2025-03-15T05:38:05.677942Z', '2025-03-15T04:30:29.049393Z', '2025-03-15T04:12:17.673793Z', '2025-03-15T04:00:14.188920Z', '2025-03-15T03:35:25.412169Z', '2025-03-15T02:38:26.411754Z', '2025-03-15T02:12:09.282734Z', '2025-03-15T01:38:12.623427Z', '2025-03-15T01:27:47.340287Z', '2025-03-15T01:19:36.255978Z', '2025-03-15T01:16:37.986015Z', '2025-03-15T00:38:27.757730Z', '2025-03-15T00:35:56.008626Z', '2025-03-15T00:29:30.287109Z', '2025-03-15T00:23:11.521504Z', '2025-03-15T00:19:06.566783Z', '2025-03-15T00:18:01.163254Z', '2025-03-14T23:49:01.027770Z', '2025-03-14T23:38:55.120040Z', '2025-03-14T23:16:20.947257Z', '2025-03-14T23:14:29.408162Z']}"
14796,Never Stop Exploiting,"{'challenge_name': ['Down the Rabbit Hole', 'E-Corp Part 2', 'Three Words 3', 'Chat', 'Three Words 2', 'Three Words 1', 'Finally, an un-strings-able problem', 'Number Champion', 'Trapped in Plain Sight 2', 'Espathra-Csatu-Banette', 'OTP', 'secbof', 'Forgotten Footprints', 'Maps', 'Tic Tac Toe', 'Retro Cookie Clicker', 'RETirement Plan', 'Safe Word', 'Trapped in Plain Sight 1', 'Ostrich Algorithm', 'Autokey Cipher', 'Streamified', 'DCΔ', 'RSA'], 'challenge_category': ['Misc', 'Binary Exploitation', 'OSINT', 'Web', 'OSINT', 'OSINT', 'Forensics', 'Web', 'Misc', 'Cryptography', 'Web', 'Binary Exploitation', 'Forensics', 'Reverse Engineering', 'Binary Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Reverse Engineering', 'Misc', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['892', '991', '804', '983', '651', '769', '944', '400', '100', '775', '784', '844', '691', '896', '701', '778', '799', '852', '100', '600', '142', '100', '100', '100'], 'solve_time': ['2025-03-15T11:38:50.091741Z', '2025-03-15T10:16:06.858442Z', '2025-03-15T08:48:15.778622Z', '2025-03-15T08:36:27.425926Z', '2025-03-15T08:34:46.122727Z', '2025-03-15T07:55:27.707863Z', '2025-03-15T07:16:57.338278Z', '2025-03-15T05:47:23.181703Z', '2025-03-15T03:28:51.662162Z', '2025-03-15T03:25:47.719432Z', '2025-03-15T03:08:11.390484Z', '2025-03-15T03:04:15.671405Z', '2025-03-15T02:57:25.391507Z', '2025-03-15T02:38:50.386828Z', '2025-03-15T02:37:57.883245Z', '2025-03-15T02:11:31.611195Z', '2025-03-15T01:59:31.019873Z', '2025-03-15T01:03:13.099520Z', '2025-03-15T00:58:29.276835Z', '2025-03-15T00:37:24.221538Z', '2025-03-14T23:38:16.782587Z', '2025-03-14T23:23:24.327221Z', '2025-03-14T23:18:30.479458Z', '2025-03-14T23:15:59.112750Z']}"
14796,no rev/pwn no life,"{'challenge_name': ['Chat', 'Three Words 3', 'Down the Rabbit Hole', 'E-Corp Part 2', 'Finally, an un-strings-able problem', 'Forgotten Footprints', 'Three Words 1', 'Number Champion', 'Espathra-Csatu-Banette', 'Three Words 2', 'Maps', 'Safe Word', 'secbof', 'Autokey Cipher', 'Ostrich Algorithm', 'RETirement Plan', 'Retro Cookie Clicker', 'OTP', 'Streamified', 'Tic Tac Toe', 'Trapped in Plain Sight 2', 'DCΔ', 'Trapped in Plain Sight 1', 'RSA'], 'challenge_category': ['Web', 'OSINT', 'Misc', 'Binary Exploitation', 'Forensics', 'Forensics', 'OSINT', 'Web', 'Cryptography', 'OSINT', 'Reverse Engineering', 'Reverse Engineering', 'Binary Exploitation', 'Cryptography', 'Reverse Engineering', 'Binary Exploitation', 'Reverse Engineering', 'Web', 'Forensics', 'Binary Exploitation', 'Misc', 'Cryptography', 'Misc', 'Cryptography'], 'challenge_points': ['983', '804', '892', '991', '944', '691', '769', '400', '775', '651', '896', '852', '844', '142', '600', '799', '778', '784', '100', '701', '100', '100', '100', '100'], 'solve_time': ['2025-03-15T12:24:24.119149Z', '2025-03-15T10:17:49.919935Z', '2025-03-15T10:12:12.890590Z', '2025-03-15T09:49:43.248898Z', '2025-03-15T07:45:12.924315Z', '2025-03-15T07:44:27.602850Z', '2025-03-15T06:39:49.151472Z', '2025-03-15T05:23:35.404974Z', '2025-03-15T04:44:19.310162Z', '2025-03-15T04:23:50.918384Z', '2025-03-15T04:22:26.768672Z', '2025-03-15T04:07:05.498226Z', '2025-03-15T03:10:43.006544Z', '2025-03-15T02:38:54.592753Z', '2025-03-15T02:29:42.929336Z', '2025-03-15T02:18:48.264263Z', '2025-03-15T02:07:12.937541Z', '2025-03-15T01:58:57.543780Z', '2025-03-15T01:03:59.708980Z', '2025-03-15T01:02:06.385242Z', '2025-03-15T00:59:33.309211Z', '2025-03-15T00:46:40.376989Z', '2025-03-15T00:42:30.211421Z', '2025-03-15T00:37:17.786445Z']}"
14796,DeadSec,"{'challenge_name': ['Finally, an un-strings-able problem', 'Chat', 'Down the Rabbit Hole', 'E-Corp Part 2', 'Three Words 1', 'Forgotten Footprints', 'Three Words 3', 'Three Words 2', 'Espathra-Csatu-Banette', 'Autokey Cipher', 'OTP', 'Number Champion', 'Retro Cookie Clicker', 'Maps', 'Safe Word', 'secbof', 'Ostrich Algorithm', 'Tic Tac Toe', 'Trapped in Plain Sight 2', 'RETirement Plan', 'Trapped in Plain Sight 1', 'Streamified', 'RSA', 'DCΔ'], 'challenge_category': ['Forensics', 'Web', 'Misc', 'Binary Exploitation', 'OSINT', 'Forensics', 'OSINT', 'OSINT', 'Cryptography', 'Cryptography', 'Web', 'Web', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Binary Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Misc', 'Binary Exploitation', 'Misc', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['944', '983', '892', '991', '769', '691', '804', '651', '775', '142', '784', '400', '778', '896', '852', '844', '600', '701', '100', '799', '100', '100', '100', '100'], 'solve_time': ['2025-03-15T14:13:11.016364Z', '2025-03-15T13:28:32.813247Z', '2025-03-15T12:13:46.278682Z', '2025-03-15T09:44:37.740745Z', '2025-03-15T09:40:24.322405Z', '2025-03-15T07:31:21.004233Z', '2025-03-15T07:25:46.759578Z', '2025-03-15T07:00:53.935982Z', '2025-03-15T06:50:52.006164Z', '2025-03-15T05:56:30.219067Z', '2025-03-15T05:55:12.415464Z', '2025-03-15T05:53:49.386450Z', '2025-03-15T05:37:00.492288Z', '2025-03-15T05:34:55.882137Z', '2025-03-15T03:49:52.176584Z', '2025-03-15T03:45:28.072955Z', '2025-03-15T03:32:46.884783Z', '2025-03-15T02:43:52.061239Z', '2025-03-15T02:23:06.089818Z', '2025-03-15T02:12:56.779074Z', '2025-03-15T02:12:31.440699Z', '2025-03-15T00:58:59.535054Z', '2025-03-14T23:18:33.263159Z', '2025-03-14T23:17:26.750507Z']}"
14796,infobahn,"{'challenge_name': ['E-Corp Part 2', 'Chat', 'Finally, an un-strings-able problem', 'Number Champion', 'Down the Rabbit Hole', 'Espathra-Csatu-Banette', 'Tic Tac Toe', 'secbof', 'OTP', 'RETirement Plan', 'Safe Word', 'Three Words 3', 'Three Words 2', 'Ostrich Algorithm', 'Autokey Cipher', 'Retro Cookie Clicker', 'Forgotten Footprints', 'Three Words 1', 'Trapped in Plain Sight 2', 'Trapped in Plain Sight 1', 'Maps', 'Streamified', 'DCΔ', 'RSA'], 'challenge_category': ['Binary Exploitation', 'Web', 'Forensics', 'Web', 'Misc', 'Cryptography', 'Binary Exploitation', 'Binary Exploitation', 'Web', 'Binary Exploitation', 'Reverse Engineering', 'OSINT', 'OSINT', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Forensics', 'OSINT', 'Misc', 'Misc', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['991', '983', '944', '400', '892', '775', '701', '844', '784', '799', '852', '804', '651', '600', '142', '778', '691', '769', '100', '100', '896', '100', '100', '100'], 'solve_time': ['2025-03-15T15:04:37.187463Z', '2025-03-15T09:06:35.822663Z', '2025-03-15T08:00:52.795454Z', '2025-03-15T07:30:15.720656Z', '2025-03-15T05:16:42.196706Z', '2025-03-15T03:48:01.493864Z', '2025-03-15T03:01:27.514204Z', '2025-03-15T02:41:05.712623Z', '2025-03-15T02:27:50.927037Z', '2025-03-15T01:50:01.039173Z', '2025-03-15T01:09:00.849542Z', '2025-03-15T00:41:25.486454Z', '2025-03-15T00:40:16.373439Z', '2025-03-15T00:29:50.770797Z', '2025-03-15T00:25:33.200242Z', '2025-03-15T00:25:11.313588Z', '2025-03-15T00:22:25.502880Z', '2025-03-15T00:13:46.340094Z', '2025-03-15T00:03:41.325594Z', '2025-03-14T23:38:18.245182Z', '2025-03-14T23:36:45.522495Z', '2025-03-14T23:25:43.440793Z', '2025-03-14T23:13:06.099473Z', '2025-03-14T23:11:23.475383Z']}"
14796,Maple Bacon,"{'challenge_name': ['Chat', 'Maps', 'Espathra-Csatu-Banette', 'Safe Word', 'E-Corp Part 2', 'Finally, an un-strings-able problem', 'Autokey Cipher', 'Retro Cookie Clicker', 'Ostrich Algorithm', 'Forgotten Footprints', 'Down the Rabbit Hole', 'secbof', 'Tic Tac Toe', 'Number Champion', 'RETirement Plan', 'OTP', 'Trapped in Plain Sight 2', 'Three Words 3', 'Trapped in Plain Sight 1', 'Streamified', 'Three Words 1', 'Three Words 2', 'RSA', 'DCΔ'], 'challenge_category': ['Web', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Binary Exploitation', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Misc', 'Binary Exploitation', 'Binary Exploitation', 'Web', 'Binary Exploitation', 'Web', 'Misc', 'OSINT', 'Misc', 'Forensics', 'OSINT', 'OSINT', 'Cryptography', 'Cryptography'], 'challenge_points': ['983', '896', '775', '852', '991', '944', '142', '778', '600', '691', '892', '844', '701', '400', '799', '784', '100', '804', '100', '100', '769', '651', '100', '100'], 'solve_time': ['2025-03-15T15:51:43.599367Z', '2025-03-15T09:31:04.528892Z', '2025-03-15T09:15:45.008760Z', '2025-03-15T09:13:09.870682Z', '2025-03-15T07:36:36.696335Z', '2025-03-15T07:16:18.655887Z', '2025-03-15T06:57:50.686392Z', '2025-03-15T06:44:58.559331Z', '2025-03-15T06:34:14.541397Z', '2025-03-15T06:15:47.547981Z', '2025-03-15T06:05:39.777231Z', '2025-03-15T05:20:55.589303Z', '2025-03-15T04:16:40.814795Z', '2025-03-15T04:04:19.464889Z', '2025-03-15T03:50:23.574388Z', '2025-03-15T03:47:16.901198Z', '2025-03-15T02:24:30.128615Z', '2025-03-15T02:18:03.253487Z', '2025-03-15T01:46:29.576551Z', '2025-03-15T01:36:43.687926Z', '2025-03-15T01:26:53.731422Z', '2025-03-15T00:45:46.442847Z', '2025-03-14T23:26:20.068700Z', '2025-03-14T23:26:00.474240Z']}"
14796,Squid Proxy Lovers,"{'challenge_name': ['E-Corp Part 2', 'Chat', 'Maps', 'Safe Word', 'Number Champion', 'Tic Tac Toe', 'OTP', 'Retro Cookie Clicker', 'Finally, an un-strings-able problem', 'secbof', 'Espathra-Csatu-Banette', 'RETirement Plan', 'Down the Rabbit Hole', 'Three Words 2', 'Forgotten Footprints', 'Three Words 1', 'Ostrich Algorithm', 'Trapped in Plain Sight 2', 'Three Words 3', 'Autokey Cipher', 'Trapped in Plain Sight 1', 'Streamified', 'DCΔ', 'RSA'], 'challenge_category': ['Binary Exploitation', 'Web', 'Reverse Engineering', 'Reverse Engineering', 'Web', 'Binary Exploitation', 'Web', 'Reverse Engineering', 'Forensics', 'Binary Exploitation', 'Cryptography', 'Binary Exploitation', 'Misc', 'OSINT', 'Forensics', 'OSINT', 'Reverse Engineering', 'Misc', 'OSINT', 'Cryptography', 'Misc', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['991', '983', '896', '852', '400', '701', '784', '778', '944', '844', '775', '799', '892', '651', '691', '769', '600', '100', '804', '142', '100', '100', '100', '100'], 'solve_time': ['2025-03-15T22:01:54.620045Z', '2025-03-15T11:32:36.950065Z', '2025-03-15T06:20:36.739010Z', '2025-03-15T05:56:13.374941Z', '2025-03-15T04:16:31.833322Z', '2025-03-15T04:05:20.110057Z', '2025-03-15T02:53:23.588561Z', '2025-03-15T02:24:34.767330Z', '2025-03-15T02:13:16.796339Z', '2025-03-15T02:05:01.605514Z', '2025-03-15T01:27:00.204613Z', '2025-03-15T01:26:09.541793Z', '2025-03-15T01:07:11.922082Z', '2025-03-15T00:33:43.591372Z', '2025-03-15T00:21:53.296916Z', '2025-03-15T00:07:48.254789Z', '2025-03-15T00:03:05.374954Z', '2025-03-14T23:54:32.658969Z', '2025-03-14T23:50:36.317759Z', '2025-03-14T23:47:57.489125Z', '2025-03-14T23:39:14.598801Z', '2025-03-14T23:24:05.643949Z', '2025-03-14T23:17:23.775283Z', '2025-03-14T23:13:34.865760Z']}"
14796,STT,"{'challenge_name': ['Chat', 'secbof', 'Safe Word', 'E-Corp Part 2', 'Maps', 'Finally, an un-strings-able problem', 'Three Words 1', 'Tic Tac Toe', 'Forgotten Footprints', 'Down the Rabbit Hole', 'RETirement Plan', 'Ostrich Algorithm', 'Retro Cookie Clicker', 'Three Words 2', 'Three Words 3', 'Number Champion', 'OTP', 'Espathra-Csatu-Banette', 'Streamified', 'Autokey Cipher', 'Trapped in Plain Sight 1', 'Trapped in Plain Sight 2', 'DCΔ', 'RSA'], 'challenge_category': ['Web', 'Binary Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Reverse Engineering', 'Forensics', 'OSINT', 'Binary Exploitation', 'Forensics', 'Misc', 'Binary Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'OSINT', 'OSINT', 'Web', 'Web', 'Cryptography', 'Forensics', 'Cryptography', 'Misc', 'Misc', 'Cryptography', 'Cryptography'], 'challenge_points': ['983', '844', '852', '991', '896', '944', '769', '701', '691', '892', '799', '600', '778', '651', '804', '400', '784', '775', '100', '142', '100', '100', '100', '100'], 'solve_time': ['2025-03-16T01:05:54.757356Z', '2025-03-15T20:34:30.347301Z', '2025-03-15T20:33:35.533176Z', '2025-03-15T20:32:13.031231Z', '2025-03-15T20:21:40.802234Z', '2025-03-15T19:45:20.143339Z', '2025-03-15T18:14:51.538734Z', '2025-03-15T17:35:18.999329Z', '2025-03-15T17:11:34.033656Z', '2025-03-15T17:10:24.352190Z', '2025-03-15T16:31:08.836356Z', '2025-03-15T16:10:18.000235Z', '2025-03-15T15:48:08.549100Z', '2025-03-15T13:47:57.666825Z', '2025-03-15T13:09:12.704026Z', '2025-03-15T13:01:57.845473Z', '2025-03-15T11:36:54.970226Z', '2025-03-15T02:17:43.839558Z', '2025-03-15T01:11:05.690853Z', '2025-03-15T00:50:52.569627Z', '2025-03-15T00:18:59.771019Z', '2025-03-14T23:56:16.244614Z', '2025-03-14T23:26:50.089764Z', '2025-03-14T23:15:44.640677Z']}"
14796,L3ak,"{'challenge_name': ['Chat', 'E-Corp Part 2', 'Number Champion', 'Espathra-Csatu-Banette', 'OTP', 'secbof', 'Retro Cookie Clicker', 'RETirement Plan', 'Tic Tac Toe', 'Autokey Cipher', 'Down the Rabbit Hole', 'Three Words 2', 'Safe Word', 'Maps', 'Three Words 3', 'Finally, an un-strings-able problem', 'Trapped in Plain Sight 2', 'Forgotten Footprints', 'Trapped in Plain Sight 1', 'Three Words 1', 'Ostrich Algorithm', 'Streamified', 'DCΔ', 'RSA'], 'challenge_category': ['Web', 'Binary Exploitation', 'Web', 'Cryptography', 'Web', 'Binary Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Binary Exploitation', 'Cryptography', 'Misc', 'OSINT', 'Reverse Engineering', 'Reverse Engineering', 'OSINT', 'Forensics', 'Misc', 'Forensics', 'Misc', 'OSINT', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['983', '991', '400', '775', '784', '844', '778', '799', '701', '142', '892', '651', '852', '896', '804', '944', '100', '691', '100', '769', '600', '100', '100', '100'], 'solve_time': ['2025-03-16T03:23:24.367137Z', '2025-03-15T07:07:33.688874Z', '2025-03-15T05:06:36.735288Z', '2025-03-15T04:38:03.039045Z', '2025-03-15T04:16:12.800416Z', '2025-03-15T03:29:17.864007Z', '2025-03-15T02:39:54.537979Z', '2025-03-15T02:05:02.699797Z', '2025-03-15T01:51:47.191436Z', '2025-03-15T01:16:26.175450Z', '2025-03-15T00:49:06.675096Z', '2025-03-15T00:42:42.159541Z', '2025-03-15T00:35:41.488102Z', '2025-03-15T00:32:11.833822Z', '2025-03-15T00:25:17.204493Z', '2025-03-15T00:20:54.673538Z', '2025-03-14T23:49:45.607442Z', '2025-03-14T23:49:38.564160Z', '2025-03-14T23:43:37.081003Z', '2025-03-14T23:34:57.954632Z', '2025-03-14T23:24:59.316696Z', '2025-03-14T23:17:36.702186Z', '2025-03-14T23:17:00.104498Z', '2025-03-14T23:13:12.173570Z']}"
14796,UniverSea,"{'challenge_name': ['Chat', 'Three Words 3', 'Down the Rabbit Hole', 'E-Corp Part 2', 'Three Words 2', 'Espathra-Csatu-Banette', 'Finally, an un-strings-able problem', 'Retro Cookie Clicker', 'secbof', 'Autokey Cipher', 'Number Champion', 'Tic Tac Toe', 'Safe Word', 'OTP', 'Three Words 1', 'RETirement Plan', 'Maps', 'Forgotten Footprints', 'Streamified', 'Ostrich Algorithm', 'Trapped in Plain Sight 2', 'Trapped in Plain Sight 1', 'DCΔ', 'RSA'], 'challenge_category': ['Web', 'OSINT', 'Misc', 'Binary Exploitation', 'OSINT', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Binary Exploitation', 'Cryptography', 'Web', 'Binary Exploitation', 'Reverse Engineering', 'Web', 'OSINT', 'Binary Exploitation', 'Reverse Engineering', 'Forensics', 'Forensics', 'Reverse Engineering', 'Misc', 'Misc', 'Cryptography', 'Cryptography'], 'challenge_points': ['983', '804', '892', '991', '651', '775', '944', '778', '844', '142', '400', '701', '852', '784', '769', '799', '896', '691', '100', '600', '100', '100', '100', '100'], 'solve_time': ['2025-03-16T07:44:37.435972Z', '2025-03-16T05:11:36.739606Z', '2025-03-16T04:15:55.466812Z', '2025-03-15T19:37:48.978647Z', '2025-03-15T17:37:52.754556Z', '2025-03-15T15:29:40.328581Z', '2025-03-15T15:27:10.492079Z', '2025-03-15T08:17:10.271756Z', '2025-03-15T07:58:58.509096Z', '2025-03-15T07:57:45.888992Z', '2025-03-15T06:45:24.980849Z', '2025-03-15T06:41:01.836350Z', '2025-03-15T04:57:31.889673Z', '2025-03-15T04:51:07.446868Z', '2025-03-15T04:27:34.078970Z', '2025-03-15T04:14:11.705408Z', '2025-03-15T04:04:42.948340Z', '2025-03-15T03:54:10.230627Z', '2025-03-15T03:51:07.903998Z', '2025-03-15T03:39:16.141782Z', '2025-03-15T01:04:25.726884Z', '2025-03-15T00:23:37.683747Z', '2025-03-14T23:37:13.359399Z', '2025-03-14T23:32:25.949614Z']}"
