points,name,challenge
15121,NUS Greyhats,"{'challenge_name': ['isogeny', 'lpn', 'lwe', ""Wizard's Chamber"", 'Feedback', 'Watermarked?', ""Rick'S Algorithm 2"", 'Death Star 2.0', 'World 2', 'Secret 2', 'World 3', 'The DCM Meta', 'Gentleman', 'World 1', 'curve', 'Warmup 2', 'Hohoho 3 continue', 'Bank Vaults', 'WordMarket', 'screenwriter', 'Christmas GIFt', 'Drivers', 'Credentials', 'Unwanted Meow', 'Dear Admin', 'Sudoku', 'Tricky Malware', 'Stones', ""Rick'S Algorithm"", 'Invisible Ink', 'Guess it', 'Oh Man', 'Dungeons and Naga', 'Hohoho 3', 'I Cant Manipulate People'], 'challenge_category': ['Post-quantum Cryptography', 'Post-quantum Cryptography', 'Post-quantum Cryptography', 'Web', 'Feedback', 'Misc', 'Crypto', 'Blockchain', 'Game', 'Web', 'Game', 'Misc', 'Blockchain', 'Game', 'Post-quantum Cryptography', 'Web', 'Crypto', 'Blockchain', 'Web', 'Pwn', 'Misc', 'Reverse', 'Crypto', 'Forensic', 'Web', 'Reverse', 'Forensic', 'Reverse', 'Crypto', 'Misc', 'Blockchain', 'Forensic', 'Blockchain', 'Crypto', 'Forensic'], 'challenge_points': ['500', '500', '500', '499', '94', '499', '498', '497', '498', '500', '498', '310', '499', '490', '500', '499', '494', '499', '498', '497', '94', '500', '50', '328', '500', '492', '481', '481', '477', '388', '484', '445', '495', '487', '50'], 'solve_time': ['2024-12-28T14:42:17.684716Z', '2024-12-28T14:26:46.448040Z', '2024-12-28T13:33:45.600512Z', '2024-12-28T13:32:09.525325Z', '2024-12-28T13:23:46.074451Z', '2024-12-28T13:09:24.139907Z', '2024-12-28T12:22:56.338732Z', '2024-12-28T11:57:21.031460Z', '2024-12-28T11:20:33.110363Z', '2024-12-28T11:12:37.023397Z', '2024-12-28T10:57:38.789673Z', '2024-12-28T10:28:57.633814Z', '2024-12-28T10:16:21.325846Z', '2024-12-28T09:37:41.033159Z', '2024-12-28T09:30:00.254211Z', '2024-12-28T08:58:48.109328Z', '2024-12-28T08:45:53.790427Z', '2024-12-28T07:53:34.037752Z', '2024-12-28T07:43:42.223085Z', '2024-12-28T07:22:41.612218Z', '2024-12-28T06:55:13.202575Z', '2024-12-28T06:49:53.888725Z', '2024-12-28T05:56:19.179692Z', '2024-12-28T04:30:14.918223Z', '2024-12-28T02:39:49.065275Z', '2024-12-27T23:16:30.183812Z', '2024-12-27T22:47:47.543487Z', '2024-12-27T20:33:58.248898Z', '2024-12-27T20:19:46.843382Z', '2024-12-27T17:45:24.196838Z', '2024-12-27T16:51:47.580595Z', '2024-12-27T16:44:27.263098Z', '2024-12-27T16:40:45.134849Z', '2024-12-27T16:14:57.594185Z', '2024-12-27T16:10:28.725998Z']}"
10635,R00TK1T,"{'challenge_name': ['Death Star 2.0', 'Feedback', 'Dungeons and Naga', 'Secret 2', 'Warmup 2', 'Drivers', 'The DCM Meta', ""Rick'S Algorithm"", 'Credentials', 'World 3', 'World 2', 'WordMarket', 'World 1', 'Christmas GIFt', 'Sudoku', ""Wizard's Chamber"", 'Invisible Ink', 'Unwanted Meow', 'Tricky Malware', 'Guess it', 'Stones', 'myFile', 'Dear Admin', 'Hohoho 3', 'Oh Man', 'I Cant Manipulate People'], 'challenge_category': ['Blockchain', 'Feedback', 'Blockchain', 'Web', 'Web', 'Reverse', 'Misc', 'Crypto', 'Crypto', 'Game', 'Game', 'Web', 'Game', 'Misc', 'Reverse', 'Web', 'Misc', 'Forensic', 'Forensic', 'Blockchain', 'Reverse', 'Web', 'Web', 'Crypto', 'Forensic', 'Forensic'], 'challenge_points': ['497', '94', '495', '500', '499', '500', '310', '477', '50', '498', '498', '498', '490', '94', '492', '499', '388', '328', '481', '484', '481', '500', '500', '487', '445', '50'], 'solve_time': ['2024-12-28T15:58:15.673333Z', '2024-12-28T15:26:23.950341Z', '2024-12-28T15:03:12.392132Z', '2024-12-28T12:09:41.262722Z', '2024-12-28T11:49:17.263849Z', '2024-12-28T10:42:15.187195Z', '2024-12-28T09:11:11.656348Z', '2024-12-28T08:19:11.645914Z', '2024-12-28T07:10:07.383497Z', '2024-12-28T06:33:27.489421Z', '2024-12-28T06:17:06.916769Z', '2024-12-28T06:10:20.763653Z', '2024-12-28T06:06:03.271068Z', '2024-12-28T04:54:03.240601Z', '2024-12-28T02:03:44.565588Z', '2024-12-28T01:34:39.729222Z', '2024-12-28T01:30:23.971526Z', '2024-12-28T01:29:27.352546Z', '2024-12-28T00:29:58.415794Z', '2024-12-27T20:51:06.513596Z', '2024-12-27T20:23:19.047376Z', '2024-12-27T20:06:40.813150Z', '2024-12-27T19:39:41.894275Z', '2024-12-27T17:22:17.663505Z', '2024-12-27T16:58:01.122451Z', '2024-12-27T16:05:11.184266Z']}"
10634,HotBirdGl4z3rs,"{'challenge_name': ['WordMarket', 'Warmup 2', '迅帝', 'Feedback', 'myFile', 'Watermarked?', 'World 3', 'World 1', 'World 2', 'The DCM Meta', 'Credentials', 'Christmas GIFt', 'Sudoku', 'Hohoho 3 continue', 'Tricky Malware', 'Scanner', 'Unwanted Meow', 'isogeny', 'Stones', 'Guess it', 'Invisible Ink', 'Hohoho 3', 'screenwriter', 'Oh Man', ""Rick'S Algorithm"", 'I Cant Manipulate People'], 'challenge_category': ['Web', 'Web', 'OSINT', 'Feedback', 'Web', 'Misc', 'Game', 'Game', 'Game', 'Misc', 'Crypto', 'Misc', 'Reverse', 'Crypto', 'Forensic', 'Pwn', 'Forensic', 'Post-quantum Cryptography', 'Reverse', 'Blockchain', 'Misc', 'Crypto', 'Pwn', 'Forensic', 'Crypto', 'Forensic'], 'challenge_points': ['498', '499', '500', '94', '500', '499', '498', '490', '498', '310', '50', '94', '492', '494', '481', '500', '328', '500', '481', '484', '388', '487', '497', '445', '477', '50'], 'solve_time': ['2024-12-28T15:40:26.280589Z', '2024-12-28T14:54:42.478793Z', '2024-12-28T13:31:43.583129Z', '2024-12-28T13:16:13.661571Z', '2024-12-28T13:09:26.454040Z', '2024-12-28T13:06:41.070839Z', '2024-12-28T12:26:28.689813Z', '2024-12-28T08:56:10.616768Z', '2024-12-28T08:45:02.211747Z', '2024-12-28T04:41:58.370369Z', '2024-12-28T04:27:19.284314Z', '2024-12-28T04:11:08.061888Z', '2024-12-28T04:00:55.097777Z', '2024-12-28T03:14:50.661675Z', '2024-12-28T03:03:10.007020Z', '2024-12-28T02:35:26.741756Z', '2024-12-27T23:17:34.536848Z', '2024-12-27T21:33:21.533866Z', '2024-12-27T19:32:57.693825Z', '2024-12-27T18:44:17.329581Z', '2024-12-27T18:17:33.173563Z', '2024-12-27T17:38:39.779822Z', '2024-12-27T17:30:10.860666Z', '2024-12-27T16:57:57.125128Z', '2024-12-27T16:27:51.248081Z', '2024-12-27T16:10:38.556393Z']}"
9669,HCS,"{'challenge_name': ['World 3', 'World 2', 'Feedback', 'Death Star 2.0', 'World 1', 'Stones', ""Wizard's Chamber"", 'The DCM Meta', 'Credentials', 'Tricky Malware', 'Invisible Ink', 'Christmas GIFt', 'WordMarket', 'Unwanted Meow', 'Gentleman', 'Sudoku', 'Warmup 2', 'Bank Vaults', 'Dear Admin', 'Oh Man', 'myFile', 'Guess it', 'I Cant Manipulate People', 'Dungeons and Naga'], 'challenge_category': ['Game', 'Game', 'Feedback', 'Blockchain', 'Game', 'Reverse', 'Web', 'Misc', 'Crypto', 'Forensic', 'Misc', 'Misc', 'Web', 'Forensic', 'Blockchain', 'Reverse', 'Web', 'Blockchain', 'Web', 'Forensic', 'Web', 'Blockchain', 'Forensic', 'Blockchain'], 'challenge_points': ['498', '498', '94', '497', '490', '481', '499', '310', '50', '481', '388', '94', '498', '328', '499', '492', '499', '499', '500', '445', '500', '484', '50', '495'], 'solve_time': ['2024-12-28T13:56:37.967569Z', '2024-12-28T13:36:00.726215Z', '2024-12-28T13:18:36.853331Z', '2024-12-28T13:10:32.817207Z', '2024-12-28T11:59:45.739317Z', '2024-12-28T10:04:42.371274Z', '2024-12-28T09:58:34.881599Z', '2024-12-28T06:46:49.792899Z', '2024-12-28T06:40:36.338484Z', '2024-12-28T05:36:44.166008Z', '2024-12-28T05:29:43.501962Z', '2024-12-28T04:40:25.668883Z', '2024-12-28T04:25:50.780742Z', '2024-12-28T03:29:20.025154Z', '2024-12-28T02:36:58.230887Z', '2024-12-28T01:47:20.013483Z', '2024-12-28T00:57:45.352451Z', '2024-12-27T23:49:04.899988Z', '2024-12-27T18:51:23.851444Z', '2024-12-27T18:42:28.845964Z', '2024-12-27T17:23:51.604790Z', '2024-12-27T16:53:36.955582Z', '2024-12-27T16:35:22.870673Z', '2024-12-27T16:31:17.310763Z']}"
9640,The Few Chosen,"{'challenge_name': ['Feedback', 'Scanner', 'WordMarket', 'Death Star 2.0', 'Watermarked?', 'isogeny', 'Stones', 'Hohoho 3 continue', 'Gentleman', 'The DCM Meta', 'Credentials', 'Christmas GIFt', ""Rick'S Algorithm 2"", 'Bank Vaults', 'Sudoku', 'Tricky Malware', 'Unwanted Meow', 'Dungeons and Naga', 'Invisible Ink', 'Guess it', 'Oh Man', 'Hohoho 3', ""Rick'S Algorithm"", 'I Cant Manipulate People'], 'challenge_category': ['Feedback', 'Pwn', 'Web', 'Blockchain', 'Misc', 'Post-quantum Cryptography', 'Reverse', 'Crypto', 'Blockchain', 'Misc', 'Crypto', 'Misc', 'Crypto', 'Blockchain', 'Reverse', 'Forensic', 'Forensic', 'Blockchain', 'Misc', 'Blockchain', 'Forensic', 'Crypto', 'Crypto', 'Forensic'], 'challenge_points': ['94', '500', '498', '497', '499', '500', '481', '494', '499', '310', '50', '94', '498', '499', '492', '481', '328', '495', '388', '484', '445', '487', '477', '50'], 'solve_time': ['2024-12-28T13:15:44.560534Z', '2024-12-28T12:18:04.290301Z', '2024-12-28T12:16:37.841476Z', '2024-12-28T11:54:59.846024Z', '2024-12-28T10:45:58.532267Z', '2024-12-28T10:25:02.984882Z', '2024-12-28T09:53:47.511630Z', '2024-12-28T06:13:33.894609Z', '2024-12-28T06:05:36.658954Z', '2024-12-28T05:29:12.724859Z', '2024-12-28T04:42:55.493907Z', '2024-12-28T04:13:51.261055Z', '2024-12-28T02:34:24.502473Z', '2024-12-27T23:45:47.631508Z', '2024-12-27T23:13:19.614979Z', '2024-12-27T23:02:12.793100Z', '2024-12-27T22:36:46.416976Z', '2024-12-27T21:36:04.499097Z', '2024-12-27T20:58:48.140590Z', '2024-12-27T20:23:55.281986Z', '2024-12-27T19:59:52.130616Z', '2024-12-27T18:59:57.970748Z', '2024-12-27T18:10:30.683404Z', '2024-12-27T17:17:35.702755Z']}"
7179,Caliphal Hounds,"{'challenge_name': ['World 2', 'World 3', 'WordMarket', 'World 1', 'Feedback', '迅帝', 'Tricky Malware', 'Watermarked?', 'The DCM Meta', 'Christmas GIFt', 'Credentials', 'Unwanted Meow', ""Rick'S Algorithm 2"", 'Hohoho 3 continue', 'Hohoho 3', 'Oh Man', ""Rick'S Algorithm"", 'I Cant Manipulate People', 'Invisible Ink'], 'challenge_category': ['Game', 'Game', 'Web', 'Game', 'Feedback', 'OSINT', 'Forensic', 'Misc', 'Misc', 'Misc', 'Crypto', 'Forensic', 'Crypto', 'Crypto', 'Crypto', 'Forensic', 'Crypto', 'Forensic', 'Misc'], 'challenge_points': ['498', '498', '498', '490', '94', '500', '481', '499', '310', '94', '50', '328', '498', '494', '487', '445', '477', '50', '388'], 'solve_time': ['2024-12-28T15:58:54.279346Z', '2024-12-28T15:54:51.995065Z', '2024-12-28T15:45:46.217715Z', '2024-12-28T15:40:01.608478Z', '2024-12-28T14:22:28.232282Z', '2024-12-28T12:57:50.602992Z', '2024-12-28T12:20:37.393758Z', '2024-12-28T11:56:55.563063Z', '2024-12-28T09:00:20.317441Z', '2024-12-28T08:36:43.053152Z', '2024-12-28T08:28:08.149975Z', '2024-12-28T01:42:23.648821Z', '2024-12-28T01:13:09.489550Z', '2024-12-27T22:28:55.121696Z', '2024-12-27T22:20:33.832034Z', '2024-12-27T20:06:11.752522Z', '2024-12-27T19:30:40.614491Z', '2024-12-27T16:34:51.010792Z', '2024-12-27T16:11:05.059526Z']}"
6652,CSI,"{'challenge_name': ['Tricky Malware', 'Unwanted Meow', 'Invisible Ink', 'The DCM Meta', 'Feedback', 'Oh Man', 'Christmas GIFt', 'Death Star 2.0', 'Bank Vaults', 'Dungeons and Naga', 'Guess it', 'Hohoho 3 continue', 'Hohoho 3', ""Rick'S Algorithm 2"", 'Credentials', 'Stones', 'I Cant Manipulate People', ""Rick'S Algorithm""], 'challenge_category': ['Forensic', 'Forensic', 'Misc', 'Misc', 'Feedback', 'Forensic', 'Misc', 'Blockchain', 'Blockchain', 'Blockchain', 'Blockchain', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Reverse', 'Forensic', 'Crypto'], 'challenge_points': ['481', '328', '388', '310', '94', '445', '94', '497', '499', '495', '484', '494', '487', '498', '50', '481', '50', '477'], 'solve_time': ['2024-12-28T15:17:32.253273Z', '2024-12-28T14:46:54.962885Z', '2024-12-28T14:44:35.240489Z', '2024-12-28T14:04:07.955129Z', '2024-12-28T13:53:23.323509Z', '2024-12-28T13:34:48.404270Z', '2024-12-28T12:58:18.604455Z', '2024-12-28T12:53:22.108681Z', '2024-12-28T12:44:33.284701Z', '2024-12-28T12:06:54.847363Z', '2024-12-28T11:36:22.621527Z', '2024-12-28T11:16:56.678287Z', '2024-12-28T11:16:03.152897Z', '2024-12-28T11:14:35.972495Z', '2024-12-28T06:00:24.291748Z', '2024-12-28T01:54:06.385489Z', '2024-12-27T18:25:10.490573Z', '2024-12-27T18:06:07.037029Z']}"
5977,TRX,"{'challenge_name': ['curve', 'Credentials', ""Rick'S Algorithm 2"", 'Death Star 2.0', 'Hohoho 3 continue', 'Gentleman', 'Scanner', 'Bank Vaults', 'Hohoho 3', ""Rick'S Algorithm"", 'Dungeons and Naga', 'screenwriter', 'Guess it'], 'challenge_category': ['Post-quantum Cryptography', 'Crypto', 'Crypto', 'Blockchain', 'Crypto', 'Blockchain', 'Pwn', 'Blockchain', 'Crypto', 'Crypto', 'Blockchain', 'Pwn', 'Blockchain'], 'challenge_points': ['500', '50', '498', '497', '494', '499', '500', '499', '487', '477', '495', '497', '484'], 'solve_time': ['2024-12-28T13:52:07.285142Z', '2024-12-28T12:19:05.880464Z', '2024-12-28T12:13:27.547493Z', '2024-12-28T11:56:49.342159Z', '2024-12-28T02:13:52.984886Z', '2024-12-28T00:47:29.149756Z', '2024-12-27T23:49:42.195878Z', '2024-12-27T23:18:54.195160Z', '2024-12-27T17:30:42.585202Z', '2024-12-27T17:13:36.226593Z', '2024-12-27T17:09:09.147700Z', '2024-12-27T16:55:10.220932Z', '2024-12-27T16:26:53.544532Z']}"
5400,FetchOrbisX,"{'challenge_name': ['Feedback', ""Wizard's Chamber"", 'Credentials', 'WordMarket', 'Tricky Malware', '迅帝', 'Sudoku', 'Dear Admin', 'Christmas GIFt', 'Unwanted Meow', 'Oh Man', 'Invisible Ink', 'Stones', 'myFile', 'I Cant Manipulate People'], 'challenge_category': ['Feedback', 'Web', 'Crypto', 'Web', 'Forensic', 'OSINT', 'Reverse', 'Web', 'Misc', 'Forensic', 'Forensic', 'Misc', 'Reverse', 'Web', 'Forensic'], 'challenge_points': ['94', '499', '50', '498', '481', '500', '492', '500', '94', '328', '445', '388', '481', '500', '50'], 'solve_time': ['2024-12-28T13:18:59.282379Z', '2024-12-28T09:36:15.491129Z', '2024-12-28T08:09:53.830112Z', '2024-12-28T07:31:15.672560Z', '2024-12-28T07:23:44.847397Z', '2024-12-28T06:30:47.779355Z', '2024-12-28T05:43:17.043413Z', '2024-12-28T05:30:45.374988Z', '2024-12-28T04:39:09.520673Z', '2024-12-28T00:42:47.266229Z', '2024-12-27T21:14:13.861182Z', '2024-12-27T19:11:51.120478Z', '2024-12-27T18:55:43.821824Z', '2024-12-27T17:25:45.953199Z', '2024-12-27T17:07:07.114722Z']}"
4100,Roti Canai,"{'challenge_name': ['Feedback', 'Credentials', 'Hohoho 3', 'Hohoho 3 continue', ""Rick'S Algorithm"", 'lwe', 'lpn', ""Rick'S Algorithm 2"", 'curve', 'isogeny'], 'challenge_category': ['Feedback', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Post-quantum Cryptography', 'Post-quantum Cryptography', 'Crypto', 'Post-quantum Cryptography', 'Post-quantum Cryptography'], 'challenge_points': ['94', '50', '487', '494', '477', '500', '500', '498', '500', '500'], 'solve_time': ['2024-12-28T14:38:14.920825Z', '2024-12-28T13:54:35.114027Z', '2024-12-28T13:53:06.281755Z', '2024-12-28T13:51:41.989252Z', '2024-12-28T13:19:00.716544Z', '2024-12-28T12:49:19.246211Z', '2024-12-28T08:30:14.728891Z', '2024-12-28T02:19:10.133441Z', '2024-12-27T17:57:01.258074Z', '2024-12-27T16:30:18.916222Z']}"
