points,name,challenge
9297,BITSkrieg,"{'challenge_name': ['Cookie', 'A Honest Businessman', 'Personal Website', 'Book of Advanced Secrets', 'blues', 'Subtracting and Strumming', 'Shrine', 'work hard', 'xQcOW', 'svgosu', 'objects in the mirror', 'sparsely populated', 'git-lost', 'Hyperdimensional Treasure Hunt', 'Zocchihedron', 'zip bomb', 'game of three', ""Rick's Diary"", 'The Missing Identity', 'Welcome'], 'challenge_category': ['web', 'osint', 'web', 'cryptography', 'forensics', 'functional programming', 'osint', 'functional programming', 'forensics', 'misc', 'forensics', 'cryptography', 'misc', 'scripting', 'cryptography', 'forensics', 'pwn', 'forensics', 'osint', 'misc'], 'challenge_points': ['492', '472', '499', '499', '497', '500', '477', '500', '489', '498', '463', '499', '499', '499', '495', '498', '494', '489', '388', '50'], 'solve_time': ['2024-11-10T08:20:21.763966Z', '2024-11-09T21:05:31.781896Z', '2024-11-09T20:04:21.832957Z', '2024-11-09T19:36:48.221486Z', '2024-11-09T19:02:29.599420Z', '2024-11-09T15:36:39.878538Z', '2024-11-09T14:11:08.231316Z', '2024-11-09T14:08:46.472992Z', '2024-11-09T13:53:30.173018Z', '2024-11-09T10:54:23.391948Z', '2024-11-09T01:42:44.686472Z', '2024-11-08T23:19:22.975478Z', '2024-11-08T23:04:23.206145Z', '2024-11-08T20:47:27.707535Z', '2024-11-08T19:46:56.330018Z', '2024-11-08T17:10:25.020372Z', '2024-11-08T15:38:59.245213Z', '2024-11-08T15:01:29.969818Z', '2024-11-08T14:33:18.646191Z', '2024-11-08T13:03:01.226466Z']}"
8767,Cryptonite,"{'challenge_name': ['Cookie', 'blues', 'A Honest Businessman', 'Book of Advanced Secrets', 'Subtracting and Strumming', 'Shrine', 'xQcOW', 'Personal Website', 'svgosu', 'objects in the mirror', 'Hyperdimensional Treasure Hunt', 'git-lost', 'zip bomb', 'Zocchihedron', ""Rick's Diary"", 'game of three', 'sparsely populated', 'The Missing Identity', 'Welcome'], 'challenge_category': ['web', 'forensics', 'osint', 'cryptography', 'functional programming', 'osint', 'forensics', 'web', 'misc', 'forensics', 'scripting', 'misc', 'forensics', 'cryptography', 'forensics', 'pwn', 'cryptography', 'osint', 'misc'], 'challenge_points': ['492', '497', '472', '499', '500', '477', '489', '499', '498', '463', '499', '499', '498', '495', '489', '494', '499', '388', '50'], 'solve_time': ['2024-11-10T08:25:30.669854Z', '2024-11-09T18:35:19.405207Z', '2024-11-09T17:51:38.186792Z', '2024-11-09T17:47:04.967538Z', '2024-11-09T17:04:16.358921Z', '2024-11-09T14:25:25.224303Z', '2024-11-09T13:44:58.451081Z', '2024-11-09T06:16:38.105690Z', '2024-11-09T03:14:53.398362Z', '2024-11-09T01:25:30.984380Z', '2024-11-08T21:04:05.485546Z', '2024-11-08T20:27:49.192579Z', '2024-11-08T16:14:34.646023Z', '2024-11-08T14:51:07.494525Z', '2024-11-08T14:35:42.542892Z', '2024-11-08T14:32:12.552484Z', '2024-11-08T13:43:54.346844Z', '2024-11-08T13:37:10.172995Z', '2024-11-08T13:00:21.053535Z']}"
8335,H3K3R_B01S,"{'challenge_name': ['Book of Advanced Secrets', 'A Honest Businessman', 'Personal Website', 'game of three', 'git-lost', 'svgosu', 'Shrine', 'The Missing Identity', 'zip bomb', 'Cookie', 'blues', 'xQcOW', 'sparsely populated', 'Subtracting and Strumming', 'work hard', 'Zocchihedron', ""Rick's Diary"", 'Welcome'], 'challenge_category': ['cryptography', 'osint', 'web', 'pwn', 'misc', 'misc', 'osint', 'osint', 'forensics', 'web', 'forensics', 'forensics', 'cryptography', 'functional programming', 'functional programming', 'cryptography', 'forensics', 'misc'], 'challenge_points': ['499', '472', '499', '494', '499', '498', '477', '388', '498', '492', '497', '489', '499', '500', '500', '495', '489', '50'], 'solve_time': ['2024-11-10T12:05:47.013839Z', '2024-11-10T12:05:16.808809Z', '2024-11-10T11:45:01.102415Z', '2024-11-10T11:19:52.359253Z', '2024-11-10T11:07:05.995881Z', '2024-11-10T10:19:34.407935Z', '2024-11-10T09:42:48.802766Z', '2024-11-10T09:09:14.747999Z', '2024-11-10T08:59:17.324302Z', '2024-11-10T08:26:03.609013Z', '2024-11-10T08:23:55.618539Z', '2024-11-10T08:00:59.215998Z', '2024-11-10T07:34:18.557915Z', '2024-11-09T13:12:16.584659Z', '2024-11-09T13:01:33.800826Z', '2024-11-09T08:09:43.147167Z', '2024-11-08T19:01:35.639565Z', '2024-11-08T13:00:25.395655Z']}"
8299,‎,"{'challenge_name': ['work hard', 'blues', 'Cookie', 'Subtracting and Strumming', 'A Honest Businessman', 'Shrine', 'zip bomb', 'xQcOW', 'game of three', 'Book of Advanced Secrets', 'Hyperdimensional Treasure Hunt', 'Zocchihedron', 'svgosu', 'sparsely populated', ""Rick's Diary"", 'objects in the mirror', 'The Missing Identity', 'Welcome'], 'challenge_category': ['functional programming', 'forensics', 'web', 'functional programming', 'osint', 'osint', 'forensics', 'forensics', 'pwn', 'cryptography', 'scripting', 'cryptography', 'misc', 'cryptography', 'forensics', 'forensics', 'osint', 'misc'], 'challenge_points': ['500', '497', '492', '500', '472', '477', '498', '489', '494', '499', '499', '495', '498', '499', '489', '463', '388', '50'], 'solve_time': ['2024-11-10T10:52:07.831683Z', '2024-11-10T08:36:29.685090Z', '2024-11-10T08:29:57.428484Z', '2024-11-10T06:02:32.442802Z', '2024-11-09T21:35:48.356471Z', '2024-11-09T20:16:53.592067Z', '2024-11-09T18:37:35.596515Z', '2024-11-09T17:09:17.942159Z', '2024-11-09T16:17:53.513424Z', '2024-11-09T14:09:11.858393Z', '2024-11-09T13:35:23.066502Z', '2024-11-09T12:07:21.206648Z', '2024-11-09T12:02:34.506585Z', '2024-11-09T11:55:57.911764Z', '2024-11-09T11:48:33.859540Z', '2024-11-09T11:32:52.257238Z', '2024-11-09T08:55:21.599400Z', '2024-11-08T14:09:00.631805Z']}"
8297,broski,"{'challenge_name': ['sparsely populated', 'Cookie', 'blues', 'A Honest Businessman', 'game of three', 'Shrine', 'Book of Advanced Secrets', 'xQcOW', 'Hyperdimensional Treasure Hunt', 'Personal Website', 'objects in the mirror', 'svgosu', 'git-lost', 'Zocchihedron', 'zip bomb', 'The Missing Identity', 'Welcome', ""Rick's Diary""], 'challenge_category': ['cryptography', 'web', 'forensics', 'osint', 'pwn', 'osint', 'cryptography', 'forensics', 'scripting', 'web', 'forensics', 'misc', 'misc', 'cryptography', 'forensics', 'osint', 'misc', 'forensics'], 'challenge_points': ['499', '492', '497', '472', '494', '477', '499', '489', '499', '499', '463', '498', '499', '495', '498', '388', '50', '489'], 'solve_time': ['2024-11-10T12:27:32.084970Z', '2024-11-10T11:30:36.555191Z', '2024-11-10T10:58:38.197834Z', '2024-11-09T17:41:12.875187Z', '2024-11-09T15:39:21.102850Z', '2024-11-09T14:35:01.214415Z', '2024-11-09T14:04:54.697840Z', '2024-11-09T13:41:01.593068Z', '2024-11-09T11:52:57.761455Z', '2024-11-09T09:33:52.939949Z', '2024-11-09T07:18:00.582966Z', '2024-11-09T07:09:44.406880Z', '2024-11-09T06:22:37.435446Z', '2024-11-08T18:53:05.006759Z', '2024-11-08T18:24:40.117252Z', '2024-11-08T15:03:12.844446Z', '2024-11-08T14:42:58.961251Z', '2024-11-08T14:37:34.576611Z']}"
7299,n00b_t34m,"{'challenge_name': ['Cookie', 'Book of Advanced Secrets', 'blues', 'A Honest Businessman', 'Shrine', 'Hyperdimensional Treasure Hunt', 'sparsely populated', 'Zocchihedron', 'xQcOW', ""Rick's Diary"", 'game of three', 'svgosu', 'zip bomb', 'objects in the mirror', 'The Missing Identity', 'Welcome'], 'challenge_category': ['web', 'cryptography', 'forensics', 'osint', 'osint', 'scripting', 'cryptography', 'cryptography', 'forensics', 'forensics', 'pwn', 'misc', 'forensics', 'forensics', 'osint', 'misc'], 'challenge_points': ['492', '499', '497', '472', '477', '499', '499', '495', '489', '489', '494', '498', '498', '463', '388', '50'], 'solve_time': ['2024-11-10T08:20:54.472054Z', '2024-11-10T04:17:40.258043Z', '2024-11-10T04:15:11.778834Z', '2024-11-09T18:40:49.132229Z', '2024-11-09T18:39:19.222268Z', '2024-11-09T14:50:46.462327Z', '2024-11-09T14:13:04.701478Z', '2024-11-09T13:58:22.039335Z', '2024-11-09T13:34:41.236234Z', '2024-11-09T13:15:19.850696Z', '2024-11-09T13:10:11.494232Z', '2024-11-09T10:43:43.661153Z', '2024-11-09T08:41:17.599489Z', '2024-11-09T08:41:08.981943Z', '2024-11-08T13:53:53.114627Z', '2024-11-08T13:00:20.773212Z']}"
5811,43h1,"{'challenge_name': ['Book of Advanced Secrets', 'A Honest Businessman', 'Shrine', 'xQcOW', 'game of three', 'sparsely populated', 'Zocchihedron', 'svgosu', ""Rick's Diary"", 'The Missing Identity', 'objects in the mirror', 'zip bomb', 'Welcome'], 'challenge_category': ['cryptography', 'osint', 'osint', 'forensics', 'pwn', 'cryptography', 'cryptography', 'misc', 'forensics', 'osint', 'forensics', 'forensics', 'misc'], 'challenge_points': ['499', '472', '477', '489', '494', '499', '495', '498', '489', '388', '463', '498', '50'], 'solve_time': ['2024-11-09T18:17:21.987508Z', '2024-11-09T17:47:18.599590Z', '2024-11-09T16:21:06.942778Z', '2024-11-09T14:30:00.184414Z', '2024-11-09T14:12:25.066572Z', '2024-11-09T12:51:40.892602Z', '2024-11-09T11:45:21.158409Z', '2024-11-09T11:38:05.685942Z', '2024-11-09T11:21:13.346110Z', '2024-11-09T08:49:11.481686Z', '2024-11-09T08:37:32.640552Z', '2024-11-09T07:49:36.382399Z', '2024-11-08T16:30:57.615876Z']}"
5311,VCubed,"{'challenge_name': ['Shrine', 'Cookie', 'xQcOW', 'A Honest Businessman', 'Personal Website', 'svgosu', ""Rick's Diary"", 'objects in the mirror', 'Zocchihedron', 'Hyperdimensional Treasure Hunt', 'The Missing Identity', 'Welcome'], 'challenge_category': ['osint', 'web', 'forensics', 'osint', 'web', 'misc', 'forensics', 'forensics', 'cryptography', 'scripting', 'osint', 'misc'], 'challenge_points': ['477', '492', '489', '472', '499', '498', '489', '463', '495', '499', '388', '50'], 'solve_time': ['2024-11-10T09:09:15.022818Z', '2024-11-10T08:28:01.208686Z', '2024-11-10T05:40:56.094563Z', '2024-11-09T18:13:32.688065Z', '2024-11-09T09:14:17.255154Z', '2024-11-09T08:26:34.378895Z', '2024-11-09T07:42:01.295155Z', '2024-11-09T06:32:36.327506Z', '2024-11-08T21:24:45.181819Z', '2024-11-08T19:21:49.215951Z', '2024-11-08T14:05:15.507912Z', '2024-11-08T13:12:04.601357Z']}"
4317,Pokémon,"{'challenge_name': ['Cookie', 'blues', 'A Honest Businessman', 'Shrine', 'xQcOW', 'objects in the mirror', 'Zocchihedron', 'game of three', 'The Missing Identity', 'Welcome'], 'challenge_category': ['web', 'forensics', 'osint', 'osint', 'forensics', 'forensics', 'cryptography', 'pwn', 'osint', 'misc'], 'challenge_points': ['492', '497', '472', '477', '489', '463', '495', '494', '388', '50'], 'solve_time': ['2024-11-10T12:02:10.300740Z', '2024-11-10T07:58:06.588566Z', '2024-11-10T04:03:25.480012Z', '2024-11-09T18:55:33.381126Z', '2024-11-09T15:33:48.530848Z', '2024-11-09T08:23:06.625501Z', '2024-11-09T08:05:04.205240Z', '2024-11-08T20:23:36.183815Z', '2024-11-08T13:39:18.288864Z', '2024-11-08T13:00:19.134079Z']}"
3824,Ch4kr4vyuh,"{'challenge_name': ['Shrine', 'blues', 'A Honest Businessman', ""Rick's Diary"", 'objects in the mirror', 'xQcOW', 'git-lost', 'The Missing Identity', 'Welcome'], 'challenge_category': ['osint', 'forensics', 'osint', 'forensics', 'forensics', 'forensics', 'misc', 'osint', 'misc'], 'challenge_points': ['477', '497', '472', '489', '463', '489', '499', '388', '50'], 'solve_time': ['2024-11-10T06:59:51.579765Z', '2024-11-09T21:28:41.731289Z', '2024-11-09T19:58:42.846838Z', '2024-11-09T19:09:37.193090Z', '2024-11-09T15:30:07.033459Z', '2024-11-09T14:33:15.591367Z', '2024-11-09T09:35:14.375911Z', '2024-11-08T18:42:58.597537Z', '2024-11-08T16:42:24.606246Z']}"
