position,points,name,challenge
1,10513,kalmarunionen,"{'challenge_name': ['alcoholic_variety', 'hxp_silicon_foundaries_hack3', 'hxp_silicon_foundaries_hack2', 'yasashiimon', 'wreckme_again', 'suboptimal_pwning', 'NeedForSpeed', 'phpnotes', 'hxp_silicon_foundaries_hack1', 'mbins', 'Fajny Jagazyn Wartości Kluczy', 'HaRlEm ShAkE', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
2,7645,Friendly Maltese Citizens,"{'challenge_name': ['Chromowana Tęcza 🌈', 'hxp_silicon_foundaries_hack2', 'yasashiimon', 'wreckme_again', 'hxp_silicon_foundaries_hack1', 'mbins', 'Fajny Jagazyn Wartości Kluczy', 'HaRlEm ShAkE', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
3,7135,SuperDiceCode,"{'challenge_name': ['Chromowana Tęcza 🌈', 'hxp_silicon_foundaries_hack2', 'suboptimal_pwning', 'NeedForSpeed', 'phpnotes', 'hxp_silicon_foundaries_hack1', 'Fajny Jagazyn Wartości Kluczy', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
4,6025,More Smoked Leet Chicken,"{'challenge_name': ['alcoholic_variety', 'hxp_silicon_foundaries_hack3', 'suboptimal_pwning', 'NeedForSpeed', 'Fajny Jagazyn Wartości Kluczy', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
5,5514,FluxFingers,"{'challenge_name': ['hxp_silicon_foundaries_hack3', 'hxp_silicon_foundaries_hack2', 'phpnotes', 'mbins', 'Fajny Jagazyn Wartości Kluczy', 'HaRlEm ShAkE', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
6,5440,Never Stop Exploiting,"{'challenge_name': ['wreckme_again', 'suboptimal_pwning', 'phpnotes', 'mbins', 'HaRlEm ShAkE', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
7,4227,RePokemonedCollections,"{'challenge_name': ['wreckme_again', 'suboptimal_pwning', 'HaRlEm ShAkE', 'spiky_elf', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
8,3687,organizers,"{'challenge_name': ['yasashiimon', 'Fajny Jagazyn Wartości Kluczy', 'HaRlEm ShAkE', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
9,3440,*0xA,"{'challenge_name': ['yasashiimon', 'wreckme_again', 'HaRlEm ShAkE', 'spiky_elf', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
10,3436,The Flat Network Society,"{'challenge_name': ['phpnotes', 'mbins', 'Fajny Jagazyn Wartości Kluczy', 'HaRlEm ShAkE', 'respectable_nft', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
11,3375,justCatTheFish,"{'challenge_name': ['Chromowana Tęcza 🌈', 'phpnotes', 'hxp_silicon_foundaries_hack4', 'respectable_nft', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
12,2385,MMM,"{'challenge_name': ['yasashiimon', 'mbins', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
13,2348,KuK Hofhackerei,"{'challenge_name': ['phpnotes', 'Fajny Jagazyn Wartości Kluczy', 'hxp_silicon_foundaries_hack4', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
14,2226,f0f,"{'challenge_name': ['NeedForSpeed', 'spiky_elf', 'cccccircus', 'Ser Szwajcarski 🧀', 'cccircus', 'circus', 'haschbargeld']}"
