points,name,challenge
3886,thehackerscrew,"{'challenge_name': ['odd-bacon', 'coinflip', 'Matrixfun', 'kleinvieh_2', 'wasmup', 'backtrack', 'Temptation', 'ZONEy', 'driving', 'semaphore', 'Sess.io', 'Crahp', 'oscilloscope', 'Paginator v2', 'abroad study notes', 'many caesars', 'Ancient Paper', 'Numberizer', 'hateful2', 'Powerplay', 'Bfail', 'hateful', 'scrambled', 'registration', 'USBnet', 'Paginator', 'next-level', 'flag checker', 'Mr Unlucky', 'kleinvieh', 'Profound thought', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'cry', 'cry', 'cry', 'pwn', 'rev', 'web', 'web', 'misc', 'misc', 'web', 'web', 'rev', 'web', 'misc', 'cry', 'misc', 'web', 'pwn', 'misc', 'web', 'pwn', 'rev', 'cry', 'misc', 'web', 'cry', 'rev', 'pwn', 'cry', 'misc', 'sanity check'], 'challenge_points': ['442', '212', '304', '50', '338', '328', '50', '241', '50', '421', '50', '50', '379', '50', '120', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-01T18:01:11.688442Z', '2025-02-01T17:18:38.771145Z', '2025-02-01T17:14:12.504678Z', '2025-02-01T16:47:08.904329Z', '2025-02-01T14:01:41.765305Z', '2025-02-01T13:42:13.064133Z', '2025-02-01T12:29:57.257780Z', '2025-02-01T11:58:40.369494Z', '2025-02-01T11:57:31.025847Z', '2025-02-01T11:55:42.635719Z', '2025-02-01T11:40:42.266470Z', '2025-02-01T10:28:24.988050Z', '2025-02-01T10:16:24.779429Z', '2025-02-01T10:10:15.317129Z', '2025-02-01T10:08:22.436603Z', '2025-02-01T09:50:26.520141Z', '2025-02-01T09:44:07.451232Z', '2025-02-01T09:29:06.163914Z', '2025-02-01T09:22:42.934489Z', '2025-02-01T09:21:29.353720Z', '2025-02-01T09:16:17.426319Z', '2025-02-01T09:10:57.509750Z', '2025-02-01T09:05:32.990419Z', '2025-02-01T09:01:51.859978Z', '2025-02-01T08:52:57.460542Z', '2025-02-01T08:52:29.166129Z', '2025-02-01T08:47:14.564117Z', '2025-02-01T08:41:48.351673Z', '2025-02-01T08:40:22.058088Z', '2025-02-01T08:39:41.715793Z', '2025-02-01T08:36:11.977482Z', '2025-02-01T08:30:21.761823Z']}"
3886,Infobahn,"{'challenge_name': ['odd-bacon', 'kleinvieh_2', 'Matrixfun', 'coinflip', 'semaphore', 'abroad study notes', 'oscilloscope', 'ZONEy', 'wasmup', 'Ancient Paper', 'backtrack', 'driving', 'Sess.io', 'Temptation', 'Crahp', 'Mr Unlucky', 'Powerplay', 'hateful2', 'Paginator v2', 'Numberizer', 'many caesars', 'scrambled', 'USBnet', 'Bfail', 'hateful', 'flag checker', 'registration', 'Profound thought', 'Paginator', 'next-level', 'kleinvieh', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'cry', 'cry', 'cry', 'misc', 'misc', 'rev', 'web', 'pwn', 'misc', 'rev', 'misc', 'web', 'web', 'web', 'pwn', 'misc', 'pwn', 'web', 'web', 'cry', 'rev', 'misc', 'web', 'pwn', 'rev', 'cry', 'misc', 'web', 'cry', 'cry', 'sanity check'], 'challenge_points': ['442', '50', '304', '212', '421', '120', '379', '241', '338', '50', '328', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-01T18:59:45.482425Z', '2025-02-01T17:22:31.067751Z', '2025-02-01T17:08:01.028887Z', '2025-02-01T17:01:14.823202Z', '2025-02-01T15:19:46.861814Z', '2025-02-01T15:06:53.667360Z', '2025-02-01T14:35:51.799893Z', '2025-02-01T13:46:34.230393Z', '2025-02-01T13:38:16.726271Z', '2025-02-01T13:09:07.169836Z', '2025-02-01T12:29:14.702368Z', '2025-02-01T11:08:35.086717Z', '2025-02-01T10:41:33.848688Z', '2025-02-01T10:26:17.596428Z', '2025-02-01T10:20:29.543252Z', '2025-02-01T10:19:33.233305Z', '2025-02-01T10:05:47.214709Z', '2025-02-01T09:57:37.328449Z', '2025-02-01T09:51:14.509689Z', '2025-02-01T09:51:00.958661Z', '2025-02-01T09:47:29.577524Z', '2025-02-01T09:34:46.503886Z', '2025-02-01T09:31:05.255899Z', '2025-02-01T09:18:00.304862Z', '2025-02-01T09:16:51.221185Z', '2025-02-01T09:11:33.246667Z', '2025-02-01T09:10:16.927721Z', '2025-02-01T09:05:44.475272Z', '2025-02-01T08:49:13.507484Z', '2025-02-01T08:46:37.206316Z', '2025-02-01T08:39:14.922721Z', '2025-02-01T08:30:12.631215Z']}"
3886,chat are we cooked,"{'challenge_name': ['oscilloscope', 'odd-bacon', 'semaphore', 'coinflip', 'Matrixfun', 'kleinvieh_2', 'wasmup', 'abroad study notes', 'Paginator v2', 'ZONEy', 'backtrack', 'registration', 'Ancient Paper', 'Temptation', 'Crahp', 'driving', 'Powerplay', 'Sess.io', 'USBnet', 'many caesars', 'kleinvieh', 'Mr Unlucky', 'Numberizer', 'scrambled', 'Bfail', 'hateful2', 'flag checker', 'hateful', 'next-level', 'Paginator', 'Profound thought', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['rev', 'cry', 'misc', 'cry', 'cry', 'cry', 'pwn', 'misc', 'web', 'web', 'rev', 'cry', 'misc', 'web', 'web', 'misc', 'misc', 'web', 'misc', 'cry', 'cry', 'pwn', 'web', 'rev', 'web', 'pwn', 'rev', 'pwn', 'cry', 'web', 'misc', 'sanity check'], 'challenge_points': ['379', '442', '421', '212', '304', '50', '338', '120', '50', '241', '328', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-01T21:07:01.620299Z', '2025-02-01T19:29:56.869068Z', '2025-02-01T19:04:07.577479Z', '2025-02-01T18:45:06.040129Z', '2025-02-01T17:44:06.664749Z', '2025-02-01T17:36:47.018598Z', '2025-02-01T16:43:36.672966Z', '2025-02-01T15:55:55.191838Z', '2025-02-01T15:24:35.190747Z', '2025-02-01T15:15:23.326111Z', '2025-02-01T14:17:06.657388Z', '2025-02-01T12:50:07.361860Z', '2025-02-01T12:39:19.996254Z', '2025-02-01T12:29:04.449629Z', '2025-02-01T12:09:54.554851Z', '2025-02-01T12:00:32.829595Z', '2025-02-01T11:51:06.016073Z', '2025-02-01T11:27:46.704552Z', '2025-02-01T11:16:40.626670Z', '2025-02-01T11:04:59.805653Z', '2025-02-01T09:57:13.025367Z', '2025-02-01T09:52:27.710512Z', '2025-02-01T09:48:06.540093Z', '2025-02-01T09:28:51.638912Z', '2025-02-01T09:22:49.327565Z', '2025-02-01T09:18:37.651203Z', '2025-02-01T09:12:19.668432Z', '2025-02-01T09:02:11.566318Z', '2025-02-01T09:00:42.875023Z', '2025-02-01T08:51:08.198031Z', '2025-02-01T08:41:17.764120Z', '2025-02-01T08:30:06.005516Z']}"
3886,noreply,"{'challenge_name': ['ZONEy', 'odd-bacon', 'oscilloscope', 'kleinvieh_2', 'Matrixfun', 'coinflip', 'backtrack', 'semaphore', 'wasmup', 'abroad study notes', 'Powerplay', 'Ancient Paper', 'driving', 'Paginator v2', 'Sess.io', 'Temptation', 'registration', 'Crahp', 'Bfail', 'scrambled', 'many caesars', 'Numberizer', 'kleinvieh', 'flag checker', 'hateful2', 'Mr Unlucky', 'hateful', 'USBnet', 'Paginator', 'next-level', 'Profound thought', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['web', 'cry', 'rev', 'cry', 'cry', 'cry', 'rev', 'misc', 'pwn', 'misc', 'misc', 'misc', 'misc', 'web', 'web', 'web', 'cry', 'web', 'web', 'rev', 'cry', 'web', 'cry', 'rev', 'pwn', 'pwn', 'pwn', 'misc', 'web', 'cry', 'misc', 'sanity check'], 'challenge_points': ['241', '442', '379', '50', '304', '212', '328', '421', '338', '120', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-01T22:40:18.968543Z', '2025-02-01T22:05:59.878507Z', '2025-02-01T19:42:26.911770Z', '2025-02-01T19:24:47.785703Z', '2025-02-01T18:37:25.026495Z', '2025-02-01T17:57:37.401814Z', '2025-02-01T17:45:08.348228Z', '2025-02-01T16:38:41.915979Z', '2025-02-01T16:04:44.260000Z', '2025-02-01T15:37:40.582965Z', '2025-02-01T13:41:01.287301Z', '2025-02-01T12:28:51.746525Z', '2025-02-01T12:19:22.562510Z', '2025-02-01T12:18:43.456513Z', '2025-02-01T12:16:13.138125Z', '2025-02-01T11:43:46.161498Z', '2025-02-01T11:12:08.840181Z', '2025-02-01T11:12:05.139384Z', '2025-02-01T10:53:00.264571Z', '2025-02-01T10:47:04.999934Z', '2025-02-01T10:45:03.192973Z', '2025-02-01T10:37:21.518743Z', '2025-02-01T10:32:37.913475Z', '2025-02-01T10:20:40.435504Z', '2025-02-01T10:15:46.607500Z', '2025-02-01T09:57:45.397348Z', '2025-02-01T09:46:07.588060Z', '2025-02-01T09:21:05.278658Z', '2025-02-01T09:20:46.016430Z', '2025-02-01T09:20:29.231982Z', '2025-02-01T09:16:05.347706Z', '2025-02-01T09:14:54.014761Z']}"
3886,Platypwnies,"{'challenge_name': ['ZONEy', 'semaphore', 'odd-bacon', 'Matrixfun', 'wasmup', 'kleinvieh_2', 'backtrack', 'kleinvieh', 'many caesars', 'abroad study notes', 'coinflip', 'scrambled', 'registration', 'oscilloscope', 'driving', 'Sess.io', 'Powerplay', 'Mr Unlucky', 'hateful2', 'Ancient Paper', 'flag checker', 'Temptation', 'hateful', 'Crahp', 'Paginator v2', 'Bfail', 'USBnet', 'next-level', 'Profound thought', 'Numberizer', 'Paginator', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['web', 'misc', 'cry', 'cry', 'pwn', 'cry', 'rev', 'cry', 'cry', 'misc', 'cry', 'rev', 'cry', 'rev', 'misc', 'web', 'misc', 'pwn', 'pwn', 'misc', 'rev', 'web', 'pwn', 'web', 'web', 'web', 'misc', 'cry', 'misc', 'web', 'web', 'sanity check'], 'challenge_points': ['241', '421', '442', '304', '338', '50', '328', '50', '50', '120', '212', '50', '50', '379', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-02T00:18:35.812774Z', '2025-02-01T23:42:18.499391Z', '2025-02-01T22:35:02.540418Z', '2025-02-01T20:07:17.187502Z', '2025-02-01T19:30:07.434086Z', '2025-02-01T18:37:08.692673Z', '2025-02-01T17:51:29.211587Z', '2025-02-01T17:50:21.262987Z', '2025-02-01T17:23:29.122648Z', '2025-02-01T17:17:29.276349Z', '2025-02-01T17:04:45.942429Z', '2025-02-01T16:45:56.063048Z', '2025-02-01T16:16:22.807196Z', '2025-02-01T15:28:40.493915Z', '2025-02-01T15:23:23.073813Z', '2025-02-01T14:56:39.638379Z', '2025-02-01T14:35:33.296291Z', '2025-02-01T14:13:05.842424Z', '2025-02-01T13:53:42.316632Z', '2025-02-01T13:25:54.029079Z', '2025-02-01T12:58:54.908966Z', '2025-02-01T12:18:47.655873Z', '2025-02-01T12:03:09.518452Z', '2025-02-01T11:42:46.337598Z', '2025-02-01T11:32:25.748384Z', '2025-02-01T11:24:02.285964Z', '2025-02-01T11:15:37.084696Z', '2025-02-01T10:56:51.476052Z', '2025-02-01T10:30:50.260818Z', '2025-02-01T09:40:45.601767Z', '2025-02-01T09:26:09.979234Z', '2025-02-01T08:30:11.130454Z']}"
3886,no rev/pwn no life,"{'challenge_name': ['odd-bacon', 'coinflip', 'Matrixfun', 'kleinvieh_2', 'ZONEy', 'abroad study notes', 'Sess.io', 'semaphore', 'oscilloscope', 'driving', 'wasmup', 'many caesars', 'USBnet', 'backtrack', 'registration', 'Paginator v2', 'Powerplay', 'hateful2', 'Ancient Paper', 'Crahp', 'Temptation', 'scrambled', 'next-level', 'hateful', 'kleinvieh', 'Numberizer', 'Paginator', 'Mr Unlucky', 'Bfail', 'Profound thought', 'flag checker', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'cry', 'cry', 'cry', 'web', 'misc', 'web', 'misc', 'rev', 'misc', 'pwn', 'cry', 'misc', 'rev', 'cry', 'web', 'misc', 'pwn', 'misc', 'web', 'web', 'rev', 'cry', 'pwn', 'cry', 'web', 'web', 'pwn', 'web', 'misc', 'rev', 'sanity check'], 'challenge_points': ['442', '212', '304', '50', '241', '120', '50', '421', '379', '50', '338', '50', '50', '328', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-02T02:16:55.456852Z', '2025-02-01T18:02:18.351096Z', '2025-02-01T17:28:21.844752Z', '2025-02-01T17:09:33.980632Z', '2025-02-01T13:43:46.352690Z', '2025-02-01T13:26:53.538222Z', '2025-02-01T12:57:34.800525Z', '2025-02-01T12:55:23.568681Z', '2025-02-01T12:12:38.594219Z', '2025-02-01T11:42:53.290222Z', '2025-02-01T11:40:30.143158Z', '2025-02-01T10:40:56.684908Z', '2025-02-01T10:10:31.410493Z', '2025-02-01T10:02:38.168792Z', '2025-02-01T09:55:11.146369Z', '2025-02-01T09:49:44.254678Z', '2025-02-01T09:47:48.633336Z', '2025-02-01T09:26:54.840270Z', '2025-02-01T09:22:44.869626Z', '2025-02-01T09:21:10.070372Z', '2025-02-01T09:19:48.735619Z', '2025-02-01T09:14:23.614026Z', '2025-02-01T09:08:04.505095Z', '2025-02-01T09:07:38.029135Z', '2025-02-01T09:01:10.331206Z', '2025-02-01T09:00:23.252479Z', '2025-02-01T08:50:08.254642Z', '2025-02-01T08:45:40.530638Z', '2025-02-01T08:44:43.481226Z', '2025-02-01T08:43:13.883248Z', '2025-02-01T08:34:31.904594Z', '2025-02-01T08:30:19.276055Z']}"
3886,slight_smile,"{'challenge_name': ['odd-bacon', 'Matrixfun', 'coinflip', 'kleinvieh_2', 'semaphore', 'ZONEy', 'Paginator v2', 'abroad study notes', 'registration', 'wasmup', 'Sess.io', 'driving', 'Mr Unlucky', 'oscilloscope', 'Temptation', 'hateful2', 'Crahp', 'Ancient Paper', 'backtrack', 'Powerplay', 'Bfail', 'USBnet', 'hateful', 'many caesars', 'Profound thought', 'Numberizer', 'Paginator', 'kleinvieh', 'next-level', 'scrambled', 'flag checker', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'cry', 'cry', 'cry', 'misc', 'web', 'web', 'misc', 'cry', 'pwn', 'web', 'misc', 'pwn', 'rev', 'web', 'pwn', 'web', 'misc', 'rev', 'misc', 'web', 'misc', 'pwn', 'cry', 'misc', 'web', 'web', 'cry', 'cry', 'rev', 'rev', 'sanity check'], 'challenge_points': ['442', '304', '212', '50', '421', '241', '50', '120', '50', '338', '50', '50', '50', '379', '50', '50', '50', '50', '328', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-02T04:54:07.649571Z', '2025-02-02T03:04:57.852517Z', '2025-02-01T19:17:43.818273Z', '2025-02-01T17:45:26.667272Z', '2025-02-01T16:19:11.745632Z', '2025-02-01T15:45:03.750498Z', '2025-02-01T15:04:23.570929Z', '2025-02-01T15:02:26.216140Z', '2025-02-01T14:30:25.870119Z', '2025-02-01T14:08:48.688651Z', '2025-02-01T14:02:23.174339Z', '2025-02-01T13:51:28.183393Z', '2025-02-01T13:23:49.542250Z', '2025-02-01T13:16:08.046576Z', '2025-02-01T12:59:55.022878Z', '2025-02-01T12:52:28.986896Z', '2025-02-01T12:13:31.468272Z', '2025-02-01T11:19:50.742923Z', '2025-02-01T11:03:14.686240Z', '2025-02-01T11:02:25.715325Z', '2025-02-01T10:45:51.642813Z', '2025-02-01T10:44:31.250262Z', '2025-02-01T10:35:06.481021Z', '2025-02-01T10:20:55.013699Z', '2025-02-01T09:51:31.844692Z', '2025-02-01T09:43:27.402858Z', '2025-02-01T09:36:03.774192Z', '2025-02-01T09:19:52.861974Z', '2025-02-01T09:13:08.325193Z', '2025-02-01T09:01:20.119368Z', '2025-02-01T08:37:59.036207Z', '2025-02-01T08:30:25.453154Z']}"
3498,Superflat,"{'challenge_name': ['Matrixfun', 'backtrack', 'coinflip', 'registration', 'next-level', 'many caesars', 'odd-bacon', 'kleinvieh_2', 'driving', 'Profound thought', 'oscilloscope', 'Powerplay', 'abroad study notes', 'scrambled', 'Paginator v2', 'Ancient Paper', 'semaphore', 'ZONEy', 'Sess.io', 'Mr Unlucky', 'USBnet', 'flag checker', 'hateful', 'Temptation', 'Crahp', 'Paginator', 'Bfail', 'Numberizer', 'kleinvieh', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'rev', 'cry', 'cry', 'cry', 'cry', 'cry', 'cry', 'misc', 'misc', 'rev', 'misc', 'misc', 'rev', 'web', 'misc', 'misc', 'web', 'web', 'pwn', 'misc', 'rev', 'pwn', 'web', 'web', 'web', 'web', 'web', 'cry', 'sanity check'], 'challenge_points': ['304', '328', '212', '50', '50', '50', '442', '50', '50', '50', '379', '50', '120', '50', '50', '50', '421', '241', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-01T22:46:59.157490Z', '2025-02-01T21:28:11.661199Z', '2025-02-01T20:13:54.120915Z', '2025-02-01T19:58:59.925357Z', '2025-02-01T19:53:24.702142Z', '2025-02-01T19:29:51.515108Z', '2025-02-01T19:26:58.367855Z', '2025-02-01T17:31:49.053365Z', '2025-02-01T17:04:15.776774Z', '2025-02-01T16:42:36.444225Z', '2025-02-01T16:17:48.115090Z', '2025-02-01T15:53:12.734096Z', '2025-02-01T15:51:08.217962Z', '2025-02-01T15:16:47.843029Z', '2025-02-01T15:05:06.581540Z', '2025-02-01T15:04:04.472991Z', '2025-02-01T14:48:12.239702Z', '2025-02-01T14:46:19.503189Z', '2025-02-01T14:14:23.217528Z', '2025-02-01T13:12:01.348595Z', '2025-02-01T12:49:19.443897Z', '2025-02-01T12:43:20.193119Z', '2025-02-01T12:33:18.662910Z', '2025-02-01T12:16:20.018685Z', '2025-02-01T11:57:20.491034Z', '2025-02-01T11:18:34.928105Z', '2025-02-01T11:16:18.387490Z', '2025-02-01T11:15:35.237502Z', '2025-02-01T11:02:04.554727Z', '2025-02-01T09:39:48.601849Z']}"
3465,InfoSecIITR,"{'challenge_name': ['Matrixfun', 'odd-bacon', 'oscilloscope', 'backtrack', 'wasmup', 'kleinvieh_2', 'ZONEy', 'coinflip', 'Powerplay', 'Sess.io', 'driving', 'Temptation', 'Ancient Paper', 'Paginator v2', 'hateful2', 'Crahp', 'hateful', 'registration', 'Numberizer', 'scrambled', 'next-level', 'Bfail', 'many caesars', 'flag checker', 'abroad study notes', 'kleinvieh', 'USBnet', 'Paginator', 'Mr Unlucky', 'Profound thought', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'cry', 'rev', 'rev', 'pwn', 'cry', 'web', 'cry', 'misc', 'web', 'misc', 'web', 'misc', 'web', 'pwn', 'web', 'pwn', 'cry', 'web', 'rev', 'cry', 'web', 'cry', 'rev', 'misc', 'cry', 'misc', 'web', 'pwn', 'misc', 'sanity check'], 'challenge_points': ['304', '442', '379', '328', '338', '50', '241', '212', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '120', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-02T08:06:59.021627Z', '2025-02-02T07:50:21.055707Z', '2025-02-02T06:26:43.271365Z', '2025-02-02T06:10:50.963855Z', '2025-02-01T22:09:19.126556Z', '2025-02-01T19:18:37.062195Z', '2025-02-01T18:57:22.628576Z', '2025-02-01T18:45:39.394682Z', '2025-02-01T12:04:49.584924Z', '2025-02-01T11:35:24.323775Z', '2025-02-01T10:48:43.691001Z', '2025-02-01T10:41:11.001779Z', '2025-02-01T10:12:45.232907Z', '2025-02-01T10:01:01.111765Z', '2025-02-01T09:40:35.843520Z', '2025-02-01T09:37:46.866328Z', '2025-02-01T09:25:57.423452Z', '2025-02-01T09:24:20.732667Z', '2025-02-01T09:22:49.987464Z', '2025-02-01T09:14:42.492254Z', '2025-02-01T09:10:13.918056Z', '2025-02-01T09:08:04.401146Z', '2025-02-01T09:06:09.596251Z', '2025-02-01T08:55:42.727973Z', '2025-02-01T08:50:11.528231Z', '2025-02-01T08:45:09.185563Z', '2025-02-01T08:45:06.109766Z', '2025-02-01T08:44:06.731484Z', '2025-02-01T08:42:33.902461Z', '2025-02-01T08:41:09.294741Z', '2025-02-01T08:34:07.475429Z']}"
3203,S1uM4i,"{'challenge_name': ['coinflip', 'kleinvieh_2', 'Matrixfun', 'oscilloscope', 'abroad study notes', 'Temptation', 'wasmup', 'semaphore', 'Sess.io', 'hateful2', 'hateful', 'many caesars', 'Crahp', 'Powerplay', 'Mr Unlucky', 'backtrack', 'driving', 'Paginator v2', 'registration', 'USBnet', 'scrambled', 'Profound thought', 'Numberizer', 'Ancient Paper', 'Bfail', 'next-level', 'Paginator', 'kleinvieh', 'flag checker', 'Welcome to Nullcon HackIM CTF'], 'challenge_category': ['cry', 'cry', 'cry', 'rev', 'misc', 'web', 'pwn', 'misc', 'web', 'pwn', 'pwn', 'cry', 'web', 'misc', 'pwn', 'rev', 'misc', 'web', 'cry', 'misc', 'rev', 'misc', 'web', 'misc', 'web', 'cry', 'web', 'cry', 'rev', 'sanity check'], 'challenge_points': ['212', '50', '304', '379', '120', '50', '338', '421', '50', '50', '50', '50', '50', '50', '50', '328', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '1'], 'solve_time': ['2025-02-01T20:01:03.487720Z', '2025-02-01T18:40:13.890067Z', '2025-02-01T18:01:10.963921Z', '2025-02-01T17:20:36.520863Z', '2025-02-01T16:08:03.141639Z', '2025-02-01T15:38:07.100672Z', '2025-02-01T13:46:02.957916Z', '2025-02-01T13:14:40.028193Z', '2025-02-01T13:11:39.389320Z', '2025-02-01T12:08:05.399828Z', '2025-02-01T11:39:39.761421Z', '2025-02-01T11:30:24.536281Z', '2025-02-01T10:56:32.300912Z', '2025-02-01T10:28:17.815232Z', '2025-02-01T10:20:59.950396Z', '2025-02-01T10:07:53.024501Z', '2025-02-01T09:56:06.372339Z', '2025-02-01T09:49:33.415101Z', '2025-02-01T09:42:10.478528Z', '2025-02-01T09:28:32.101077Z', '2025-02-01T09:23:01.506255Z', '2025-02-01T09:21:37.508540Z', '2025-02-01T09:20:45.314447Z', '2025-02-01T09:19:43.621131Z', '2025-02-01T09:19:04.557408Z', '2025-02-01T09:07:18.459930Z', '2025-02-01T09:04:17.459655Z', '2025-02-01T09:00:21.126313Z', '2025-02-01T08:57:48.613707Z', '2025-02-01T08:30:12.787010Z']}"
